(3, 512, 512)
Starting vanilla DIP on 3 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.302384525325227'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
At step '17200', psnr is '28.600356926684107', noisy psnr is '20.8373053001136'
At step '17400', psnr is '28.66684205614884', noisy psnr is '20.84114560098611'
At step '17600', psnr is '28.782575470138806', noisy psnr is '20.858453848455554'
At step '17800', psnr is '28.75771541119928', noisy psnr is '20.8637309171085'
At step '18000', psnr is '28.59113701087981', noisy psnr is '20.855526758957765'
At step '18200', psnr is '28.37044945476324', noisy psnr is '20.810199849766615'
At step '18400', psnr is '28.729463267884455', noisy psnr is '20.866862596759095'
At step '18600', psnr is '28.440894559402132', noisy psnr is '20.82948837153076'
At step '18800', psnr is '28.523987746987874', noisy psnr is '20.825165986642542'
At step '19000', psnr is '28.70027705418543', noisy psnr is '20.87007616248039'
At step '19200', psnr is '28.597946658572035', noisy psnr is '20.83307093286688'
At step '19400', psnr is '28.738794489612904', noisy psnr is '20.861746591944495'
At step '19600', psnr is '28.787642990611122', noisy psnr is '20.87333363832583'
At step '19800', psnr is '28.674449884669237', noisy psnr is '20.855169940244057'
At step '20000', psnr is '28.763773384683205', noisy psnr is '20.891904970319732'
At step '20200', psnr is '28.758049839718304', noisy psnr is '20.881979192004426'
At step '20400', psnr is '28.71709394914329', noisy psnr is '20.88322258065888'
At step '20600', psnr is '28.562012125307245', noisy psnr is '20.84673853206921'
At step '20800', psnr is '28.769937356941288', noisy psnr is '20.89335507020001'
At step '21000', psnr is '28.591257558210476', noisy psnr is '20.857027347617844'
At step '21200', psnr is '28.766650623465317', noisy psnr is '20.880290048423397'
At step '21400', psnr is '28.70584161864263', noisy psnr is '20.892136870596953'
At step '21600', psnr is '28.579827744838862', noisy psnr is '20.85881890212403'
At step '21800', psnr is '28.71641801000313', noisy psnr is '20.885315939965526'
At step '22000', psnr is '28.53158451590378', noisy psnr is '20.87386765903819'
At step '22200', psnr is '28.724246346096795', noisy psnr is '20.894868271771514'
At step '22400', psnr is '28.675995702655207', noisy psnr is '20.876888145447538'
At step '22600', psnr is '28.54525137936724', noisy psnr is '20.866403572776548'
At step '22800', psnr is '28.648656204135087', noisy psnr is '20.87719405177859'
At step '23000', psnr is '28.700724664073718', noisy psnr is '20.89751916807196'
At step '23200', psnr is '28.675808849998468', noisy psnr is '20.888957283864773'
At step '23400', psnr is '28.7912721119918', noisy psnr is '20.90469106874931'
At step '23600', psnr is '28.65030031159826', noisy psnr is '20.877636071077795'
At step '23800', psnr is '28.64173404761853', noisy psnr is '20.87712979261572'
At step '24000', psnr is '28.60075662391498', noisy psnr is '20.891934177263774'
At step '24200', psnr is '28.562806757097945', noisy psnr is '20.884231265881148'
At step '24400', psnr is '28.512983689949117', noisy psnr is '20.87096311661655'
At step '24600', psnr is '28.510274646857113', noisy psnr is '20.86547416700681'
At step '24800', psnr is '28.632047519133913', noisy psnr is '20.874162429197106'
At step '25000', psnr is '28.570034684010707', noisy psnr is '20.86365278130107'
At step '25200', psnr is '28.501380978384333', noisy psnr is '20.87919304163908'
At step '25400', psnr is '28.674082939158954', noisy psnr is '20.90592718598902'
At step '25600', psnr is '28.51597103783472', noisy psnr is '20.875325878437412'
At step '25800', psnr is '28.59321103686673', noisy psnr is '20.883737821950085'
At step '26000', psnr is '28.655218291556864', noisy psnr is '20.893065994107584'
At step '26200', psnr is '28.564330409026766', noisy psnr is '20.884215554771384'
At step '26400', psnr is '28.585321745648024', noisy psnr is '20.879704769584087'
At step '26600', psnr is '28.6560826882118', noisy psnr is '20.89415361238676'
At step '26800', psnr is '28.699735926673124', noisy psnr is '20.898697274455927'
At step '27000', psnr is '28.651185556619296', noisy psnr is '20.89327460450812'
At step '27200', psnr is '28.543247509713616', noisy psnr is '20.883530260805383'
At step '27400', psnr is '28.5694591283055', noisy psnr is '20.901076111587486'
At step '27600', psnr is '28.56353051735443', noisy psnr is '20.900952024334142'
At step '27800', psnr is '28.609287312019987', noisy psnr is '20.90486982971571'
At step '28000', psnr is '28.58307057838332', noisy psnr is '20.892244991125946'
At step '28200', psnr is '28.58597482016533', noisy psnr is '20.8968834744673'
At step '28400', psnr is '28.610376688978533', noisy psnr is '20.906110690767857'
At step '28600', psnr is '28.598604110303864', noisy psnr is '20.90068531477435'
At step '28800', psnr is '28.31191664555363', noisy psnr is '20.853235788177173'
At step '29000', psnr is '28.607442204184338', noisy psnr is '20.90790389328641'
At step '29200', psnr is '28.45706425862039', noisy psnr is '20.877425959713854'
At step '29400', psnr is '28.49271677465535', noisy psnr is '20.881444094908236'
At step '29600', psnr is '28.513245215661435', noisy psnr is '20.897201907657816'
At step '29800', psnr is '28.551367645073803', noisy psnr is '20.89819004247093'
At step '30000', psnr is '28.545143535784373', noisy psnr is '20.891163058249408'
At step '30200', psnr is '28.61238763653737', noisy psnr is '20.914127315301126'
At step '30400', psnr is '28.332469115889634', noisy psnr is '20.862445768773377'
At step '30600', psnr is '28.518316213664402', noisy psnr is '20.9069163357756'
At step '30800', psnr is '28.530379286983955', noisy psnr is '20.898535876938308'
At step '31000', psnr is '28.619113188382677', noisy psnr is '20.90836096269673'
At step '31200', psnr is '28.55724289358716', noisy psnr is '20.901336674565112'
At step '31400', psnr is '28.537192769723365', noisy psnr is '20.91358277704'
At step '31600', psnr is '28.63769203663539', noisy psnr is '20.917258854454555'
At step '31800', psnr is '28.56613122974897', noisy psnr is '20.918643032520784'
At step '32000', psnr is '28.6383105457461', noisy psnr is '20.91544768418284'
At step '32200', psnr is '28.34388135136958', noisy psnr is '20.863747487242744'
At step '32400', psnr is '28.377343403884787', noisy psnr is '20.890731719511926'
At step '32600', psnr is '28.467548606398193', noisy psnr is '20.9005414825959'
At step '32800', psnr is '28.542076269605353', noisy psnr is '20.92117415249326'
At step '33000', psnr is '28.353076936394373', noisy psnr is '20.881821928745975'
At step '33200', psnr is '28.492561887291025', noisy psnr is '20.8972783384319'
At step '33400', psnr is '28.56028066079829', noisy psnr is '20.91100499337117'
At step '33600', psnr is '28.38756269861308', noisy psnr is '20.890944087267517'
At step '33800', psnr is '28.58212037330479', noisy psnr is '20.919627869196603'
At step '34000', psnr is '28.44568852453268', noisy psnr is '20.898427647215346'
At step '34200', psnr is '28.435667171590694', noisy psnr is '20.89744686752908'
At step '34400', psnr is '28.43791285173434', noisy psnr is '20.89221723204954'
At step '34600', psnr is '28.46877611653044', noisy psnr is '20.914771684232512'
At step '34800', psnr is '28.538234713075752', noisy psnr is '20.914192474455223'
At step '35000', psnr is '28.351083344596884', noisy psnr is '20.89319321611571'
