(3, 512, 512)
Starting vanilla DIP on 2 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.433220367098116'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '25.225368644912255'
At step '400', psnr is '26.327454595636546'
At step '600', psnr is '26.847709964112468'
At step '800', psnr is '26.948007301362512'
At step '1000', psnr is '25.65753230321471'
At step '1200', psnr is '27.30618129284717'
At step '1400', psnr is '26.140010674689766'
At step '1600', psnr is '27.125239763093504'
At step '1800', psnr is '26.598876378653927'
At step '2000', psnr is '27.18891650353735'
At step '2200', psnr is '26.91971685942574'
At step '2400', psnr is '27.024054382976605'
At step '2600', psnr is '26.564496310094423'
At step '2800', psnr is '26.9681034494465'
At step '3000', psnr is '27.492383954174247'
At step '3200', psnr is '26.44981838339796'
At step '3400', psnr is '27.37989775142826'
At step '3600', psnr is '27.024727617482647'
At step '3800', psnr is '26.75193872624383'
At step '4000', psnr is '27.60746259582048'
At step '4200', psnr is '27.188283221544967'
At step '4400', psnr is '27.118721364853926'
At step '4600', psnr is '26.912663016387107'
At step '4800', psnr is '26.870970448069016'
At step '5000', psnr is '27.361015740443776'
At step '5200', psnr is '27.437936797618203'
At step '5400', psnr is '27.334520923130874'
At step '5600', psnr is '27.33460248119123'
At step '5800', psnr is '27.31182420709885'
At step '6000', psnr is '27.26870459256919'
At step '6200', psnr is '27.313736134691894'
At step '6400', psnr is '27.197102430602232'
At step '6600', psnr is '27.243276361286796'
At step '6800', psnr is '27.163426223530088'
At step '7000', psnr is '27.331193675130283'
At step '7200', psnr is '27.40237349826493'
At step '7400', psnr is '27.17372654935229'
At step '7600', psnr is '26.905680614941584'
At step '7800', psnr is '27.20826161000844'
At step '8000', psnr is '27.19298462389581'
At step '8200', psnr is '26.930322144628946'
At step '8400', psnr is '27.161495689621322'
At step '8600', psnr is '27.279362276264752'
At step '8800', psnr is '27.271385983226914'
At step '9000', psnr is '27.333939661045488'
At step '9200', psnr is '27.261633170241435'
At step '9400', psnr is '27.319360788981534'
At step '9600', psnr is '27.221649998854808'
At step '9800', psnr is '27.11932739367044'
At step '10000', psnr is '26.99536963087951'
At step '10200', psnr is '27.268480589103707'
At step '10400', psnr is '26.925984451337698'
At step '10600', psnr is '27.10530649522282'
At step '10800', psnr is '27.299604612451894'
At step '11000', psnr is '27.162641174751005'
At step '11200', psnr is '26.971786531049062'
At step '11400', psnr is '27.33558129740013'
At step '11600', psnr is '27.37255695287635'
At step '11800', psnr is '27.250197142448165'
At step '12000', psnr is '27.33711867026408'
At step '12200', psnr is '27.146032967452438'
At step '12400', psnr is '27.326928503738877'
At step '12600', psnr is '27.32246636767744'
At step '12800', psnr is '27.259020192021907'
At step '13000', psnr is '27.338961770698486'
At step '13200', psnr is '27.130386698604823'
At step '13400', psnr is '27.3801320012949'
At step '13600', psnr is '27.018306836057477'
At step '13800', psnr is '27.272853575207442'
At step '14000', psnr is '27.158863665428512'
At step '14200', psnr is '27.19221195983518'
At step '14400', psnr is '27.34264538429943'
At step '14600', psnr is '27.26783586864435'
At step '14800', psnr is '27.150594388536952'
At step '15000', psnr is '27.138621214147975'
At step '15200', psnr is '27.30088162082022'
At step '15400', psnr is '27.309947410091006'
At step '15600', psnr is '27.348172276842945'
At step '15800', psnr is '27.342783032200156'
At step '16000', psnr is '27.079333013172594'
At step '16200', psnr is '27.120119499516537'
At step '16400', psnr is '27.250817504368747'
At step '16600', psnr is '27.165670604008785'
At step '16800', psnr is '27.192528213662275'
At step '17000', psnr is '27.300003722080824'
At step '17200', psnr is '27.013381693732228'
At step '17400', psnr is '27.130766377550227'
At step '17600', psnr is '27.340318095317613'
At step '17800', psnr is '27.349397738819494'
At step '18000', psnr is '27.234461135948944'
At step '18200', psnr is '27.03615282893154'
At step '18400', psnr is '27.30712435176138'
At step '18600', psnr is '27.169891432228702'
At step '18800', psnr is '27.23897801888228'
At step '19000', psnr is '27.205291595989017'
At step '19200', psnr is '26.86408319217094'
At step '19400', psnr is '27.24435355536018'
At step '19600', psnr is '27.31999083752981'
At step '19800', psnr is '27.264560647066283'
At step '20000', psnr is '27.285496463018983'
At step '20200', psnr is '27.27612074778549'
At step '20400', psnr is '27.197225200480982'
At step '20600', psnr is '27.060480081089658'
At step '20800', psnr is '26.950369503626284'
At step '21000', psnr is '27.27371547706777'
At step '21200', psnr is '27.2638338434777'
At step '21400', psnr is '27.203552412824806'
At step '21600', psnr is '27.286214180469575'
At step '21800', psnr is '27.2018991347936'
At step '22000', psnr is '27.280563877093055'
At step '22200', psnr is '27.286733327569593'
At step '22400', psnr is '27.276903085272444'
At step '22600', psnr is '27.023628377810898'
At step '22800', psnr is '27.25080086001022'
At step '23000', psnr is '27.30804694201394'
At step '23200', psnr is '27.317370327093144'
At step '23400', psnr is '27.310346927056788'
At step '23600', psnr is '27.1422850564158'
At step '23800', psnr is '27.248359394148306'
At step '24000', psnr is '27.21456207083016'
At step '24200', psnr is '27.122278011259432'
At step '24400', psnr is '26.971168271893134'
At step '24600', psnr is '27.21044843009048'
At step '24800', psnr is '27.23321607307001'
At step '25000', psnr is '27.287340250772722'
At step '25200', psnr is '27.34687717219565'
At step '25400', psnr is '27.284570263205893'
At step '25600', psnr is '27.37084443028294'
At step '25800', psnr is '27.350353251449107'
At step '26000', psnr is '27.279339036701003'
At step '26200', psnr is '27.175295262300008'
At step '26400', psnr is '27.101374112739663'
At step '26600', psnr is '27.256234066055942'
At step '26800', psnr is '27.074217581737848'
At step '27000', psnr is '27.255125167957992'
At step '27200', psnr is '27.102024160751455'
At step '27400', psnr is '27.102499436991234'
At step '27600', psnr is '27.050904490636'
At step '27800', psnr is '27.173807252889656'
At step '28000', psnr is '27.171490655601616'
At step '28200', psnr is '27.207554266907007'
At step '28400', psnr is '27.16255541729602'
At step '28600', psnr is '27.167608789053475'
At step '28800', psnr is '27.13087344570111'
At step '29000', psnr is '27.248165413238453'
At step '29200', psnr is '27.27197970473376'
