(3, 256, 256)
Starting vanilla DIP on 0 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '26.051117579407087'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '17200', psnr is '31.46860363194062', noisy psnr is '26.682100655940033'
At step '17400', psnr is '31.220484185957893', noisy psnr is '26.617353962369663'
At step '17600', psnr is '31.35136421714989', noisy psnr is '26.72163815269276'
At step '17800', psnr is '31.30846692670417', noisy psnr is '26.73056877676341'
At step '18000', psnr is '31.162351025819973', noisy psnr is '26.686201832966006'
At step '18200', psnr is '31.48437728181975', noisy psnr is '26.849025344100102'
At step '18400', psnr is '30.98798520230082', noisy psnr is '26.685291077862562'
At step '18600', psnr is '31.351079173557352', noisy psnr is '26.844736935598952'
At step '18800', psnr is '31.097907183581306', noisy psnr is '26.77567973242389'
At step '19000', psnr is '31.036709059082142', noisy psnr is '26.763013879983006'
At step '19200', psnr is '30.56847333683872', noisy psnr is '26.586963410626943'
At step '19400', psnr is '29.70324419969242', noisy psnr is '24.812601355477824'
At step '19600', psnr is '29.2538857618738', noisy psnr is '24.708104120748366'
At step '19800', psnr is '29.711895887136247', noisy psnr is '24.933177439874918'
At step '20000', psnr is '29.193780316778913', noisy psnr is '24.78758060744914'
At step '20200', psnr is '28.95848741286736', noisy psnr is '24.838508375991477'
At step '20400', psnr is '29.078780861952186', noisy psnr is '24.937984887185813'
At step '20600', psnr is '29.785542352248598', noisy psnr is '25.19327340406916'
At step '20800', psnr is '29.609603422824566', noisy psnr is '25.17188336950837'
At step '21000', psnr is '29.763810446377597', noisy psnr is '25.24780441311805'
At step '21200', psnr is '29.891970550996056', noisy psnr is '25.33162761023884'
At step '21400', psnr is '29.562187238530218', noisy psnr is '25.220908966253376'
At step '21600', psnr is '30.18307162004161', noisy psnr is '25.234912130526187'
At step '21800', psnr is '30.45624648253041', noisy psnr is '25.467213617670502'
At step '22000', psnr is '30.026852170347922', noisy psnr is '25.410364795801282'
At step '22200', psnr is '29.681351839834356', noisy psnr is '25.10303471693326'
At step '22400', psnr is '29.356943732043362', noisy psnr is '25.160729912521273'
At step '22600', psnr is '29.719960922075987', noisy psnr is '25.320442387166715'
At step '22800', psnr is '28.698561494510393', noisy psnr is '24.980201888756678'
At step '23000', psnr is '29.721999506567897', noisy psnr is '25.429887869294422'
At step '23200', psnr is '30.115062996363356', noisy psnr is '25.619319944316516'
At step '23400', psnr is '29.36521351485649', noisy psnr is '25.3488950867531'
At step '23600', psnr is '28.29369803283814', noisy psnr is '24.76838559019376'
At step '23800', psnr is '29.757334677713423', noisy psnr is '25.523943083094885'
At step '24000', psnr is '30.47763331839012', noisy psnr is '25.785176944923656'
At step '24200', psnr is '30.8240641828473', noisy psnr is '25.90410910431769'
At step '24400', psnr is '30.300079596568228', noisy psnr is '25.779445618461576'
At step '24600', psnr is '30.696371405915666', noisy psnr is '25.936044441088164'
At step '24800', psnr is '31.87875551805465', noisy psnr is '26.39298079788407'
At step '25000', psnr is '31.39376920468887', noisy psnr is '26.275464325207487'
At step '25200', psnr is '32.19051910259918', noisy psnr is '26.519661152866256'
At step '25400', psnr is '31.950770355859994', noisy psnr is '26.49271070264905'
At step '25600', psnr is '31.78609216128223', noisy psnr is '26.485338029953507'
At step '25800', psnr is '31.449818129354597', noisy psnr is '26.414546499923585'
At step '26000', psnr is '31.670482399972663', noisy psnr is '26.484939699320304'
Falling back to previous checkpoint.
At step '26200', psnr is '27.34878529860813', noisy psnr is '24.279957371492777'
At step '26400', psnr is '29.004555760999764', noisy psnr is '25.359800585434392'
At step '26600', psnr is '30.16214446839825', noisy psnr is '25.898580199886965'
At step '26800', psnr is '29.369550223950398', noisy psnr is '25.53377454219273'
At step '27000', psnr is '30.303525091099132', noisy psnr is '25.98815725121405'
At step '27200', psnr is '30.81520775911729', noisy psnr is '26.0190169187741'
At step '27400', psnr is '31.17743189109924', noisy psnr is '26.36470401738126'
At step '27600', psnr is '31.53782983738151', noisy psnr is '26.520704234557773'
At step '27800', psnr is '31.384976389876332', noisy psnr is '26.496554576628213'
At step '28000', psnr is '31.50978500858997', noisy psnr is '26.552612199611666'
At step '28200', psnr is '31.334600609096704', noisy psnr is '26.49638773576385'
At step '28400', psnr is '31.493290634864724', noisy psnr is '26.603992039745474'
At step '28600', psnr is '31.540223252592185', noisy psnr is '26.631599120829307'
At step '28800', psnr is '31.660340479409072', noisy psnr is '26.67742028620932'
At step '29000', psnr is '31.424780777439114', noisy psnr is '26.61728829502362'
At step '29200', psnr is '31.2246288781813', noisy psnr is '26.54954314597591'
At step '29400', psnr is '31.063825889182706', noisy psnr is '26.506660509987327'
At step '29600', psnr is '31.59166065307618', noisy psnr is '26.705566818766258'
At step '29800', psnr is '31.043905005624985', noisy psnr is '26.523051920357673'
At step '30000', psnr is '31.450049301140545', noisy psnr is '26.695374241307277'
At step '30200', psnr is '29.293554744513163', noisy psnr is '25.2293810256431'
At step '30400', psnr is '29.481965017394522', noisy psnr is '25.332896100121655'
At step '30600', psnr is '30.234325429914715', noisy psnr is '25.68184749519127'
At step '30800', psnr is '30.202707114514965', noisy psnr is '25.73483932962601'
At step '31000', psnr is '31.190054587731517', noisy psnr is '26.063408654439215'
At step '31200', psnr is '31.523653776141423', noisy psnr is '26.307328258017662'
At step '31400', psnr is '31.16936901150021', noisy psnr is '26.24040662991242'
At step '31600', psnr is '31.85697241955006', noisy psnr is '26.52139993529196'
At step '31800', psnr is '31.68572654786153', noisy psnr is '26.49332947402456'
At step '32000', psnr is '31.17014143080947', noisy psnr is '26.351173251985966'
At step '32200', psnr is '31.437312933502657', noisy psnr is '26.466491793759484'
At step '32400', psnr is '31.65760783460318', noisy psnr is '26.567391034914717'
At step '32600', psnr is '31.78101009575507', noisy psnr is '26.627883320399807'
At step '32800', psnr is '29.443288287019396', noisy psnr is '25.70296439478946'
At step '33000', psnr is '29.56835538508247', noisy psnr is '25.72986355536902'
At step '33200', psnr is '30.73362094613159', noisy psnr is '26.214180318768136'
At step '33400', psnr is '30.13255975563409', noisy psnr is '25.79509324951338'
At step '33600', psnr is '29.716575675908604', noisy psnr is '25.724705327425298'
At step '33800', psnr is '31.050741027982156', noisy psnr is '26.334337327654865'
