(3, 256, 256)
Starting vanilla DIP on 0 using ADAM(sigma=0.07,lr=0.01,decay=0,beta=0)
Noisy PSNR is '23.12391666828812'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '27.736070760938574', noisy psnr is '22.10433760451219'
At step '400', psnr is '27.318390240877854', noisy psnr is '22.129925081922522'
At step '600', psnr is '27.49585226846019', noisy psnr is '22.32948366860116'
At step '800', psnr is '28.596741585783676', noisy psnr is '22.69210862946318'
At step '1000', psnr is '28.718860581390963', noisy psnr is '22.870651172687925'
At step '1200', psnr is '28.493093510802613', noisy psnr is '22.900684796054573'
At step '1400', psnr is '28.304196977170957', noisy psnr is '22.936361836505693'
At step '1600', psnr is '28.203119499592407', noisy psnr is '22.9673938610828'
At step '1800', psnr is '28.602586833200633', noisy psnr is '23.157347934678185'
At step '2000', psnr is '27.991184774259153', noisy psnr is '23.025987213016805'
At step '2200', psnr is '28.22470003759762', noisy psnr is '23.137822925234385'
At step '2400', psnr is '27.965948482345215', noisy psnr is '23.122795891639385'
At step '2600', psnr is '28.260600587257223', noisy psnr is '23.28974498236702'
At step '2800', psnr is '28.40053567577121', noisy psnr is '23.36791646678818'
At step '3000', psnr is '28.134862530783295', noisy psnr is '23.36593572520981'
At step '3200', psnr is '28.377599737177988', noisy psnr is '23.453456837367366'
At step '3400', psnr is '28.231820415070878', noisy psnr is '23.442391610619513'
At step '3600', psnr is '28.166291644414898', noisy psnr is '23.46777841962186'
At step '3800', psnr is '27.76823810577184', noisy psnr is '23.376670642349062'
At step '4000', psnr is '28.411426858839146', noisy psnr is '23.672396876785726'
At step '4200', psnr is '27.875317230654538', noisy psnr is '23.532276435670035'
At step '4400', psnr is '28.040395951248797', noisy psnr is '23.55346541685997'
At step '4600', psnr is '27.87430641498958', noisy psnr is '23.592240690957972'
At step '4800', psnr is '28.032716626947412', noisy psnr is '23.659067271703137'
At step '5000', psnr is '27.704034414368387', noisy psnr is '23.54831572725354'
At step '5200', psnr is '28.114364950447257', noisy psnr is '23.742015625642395'
At step '5400', psnr is '28.03396027359183', noisy psnr is '23.77210693314231'
At step '5600', psnr is '28.004269108720404', noisy psnr is '23.778352545616876'
At step '5800', psnr is '27.7203932926897', noisy psnr is '23.62743472911681'
At step '6000', psnr is '27.62362538424041', noisy psnr is '23.65737713185936'
At step '6200', psnr is '27.83963682701947', noisy psnr is '23.780279050154366'
At step '6400', psnr is '27.858270395387446', noisy psnr is '23.792676492705812'
At step '6600', psnr is '27.646001697332835', noisy psnr is '23.758361233398972'
At step '6800', psnr is '27.717630637133524', noisy psnr is '23.764515770396464'
At step '7000', psnr is '28.097765802042748', noisy psnr is '23.962653604865416'
At step '7200', psnr is '27.7228402917798', noisy psnr is '23.805023143852946'
At step '7400', psnr is '27.580711607712352', noisy psnr is '23.746353326288933'
