noisy psnr: 11.030517455942054
Starting vanilla DIP on 12 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '11.030517455942054'
input dim: torch.Size([1, 32, 256, 256])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.804605235278473'
At step '400', psnr is '26.6377834223004'
At step '600', psnr is '25.84091565004179'
At step '800', psnr is '24.066579502300463'
At step '1000', psnr is '22.650245743898587'
At step '1200', psnr is '21.439966706982627'
At step '1400', psnr is '20.68165898413682'
At step '1600', psnr is '19.91556393554554'
At step '1800', psnr is '19.844560318793615'
At step '2000', psnr is '19.206630089048254'
At step '2200', psnr is '18.857922145754472'
At step '2400', psnr is '18.835034958793763'
At step '2600', psnr is '18.381494470757122'
At step '2800', psnr is '18.5975921342964'
At step '3000', psnr is '18.308290587728344'
At step '3200', psnr is '18.177491126427775'
At step '3400', psnr is '17.910354999145074'
At step '3600', psnr is '17.979920108700984'
At step '3800', psnr is '17.989782361524618'
At step '4000', psnr is '17.868123296530406'
At step '4200', psnr is '17.81586659798487'
At step '4400', psnr is '17.577964091054785'
At step '4600', psnr is '17.598833623813437'
At step '4800', psnr is '17.62148979728764'
At step '5000', psnr is '17.59944278964411'
At step '5200', psnr is '17.54428805000365'
At step '5400', psnr is '17.583716493150472'
At step '5600', psnr is '17.560827761210916'
At step '5800', psnr is '17.389403930660812'
At step '6000', psnr is '17.53676765896305'
At step '6200', psnr is '17.415057703575915'
At step '6400', psnr is '17.500472867503714'
At step '6600', psnr is '17.290972564821757'
At step '6800', psnr is '17.212313613236283'
At step '7000', psnr is '17.303693723461326'
At step '7200', psnr is '17.3289767730893'
At step '7400', psnr is '17.31300641090788'
At step '7600', psnr is '17.365720316812187'
At step '7800', psnr is '17.309654795455334'
At step '8000', psnr is '17.32189886785838'
At step '8200', psnr is '17.16429426329793'
At step '8400', psnr is '17.317033217287936'
At step '8600', psnr is '17.20234595328021'
At step '8800', psnr is '17.277770511498883'
At step '9000', psnr is '17.231036362789645'
At step '9200', psnr is '17.417679310359993'
At step '9400', psnr is '17.22613327602524'
At step '9600', psnr is '17.14678582969755'
At step '9800', psnr is '17.2566175300551'
At step '10000', psnr is '16.998012692974534'
At step '10200', psnr is '17.035356285770412'
At step '10400', psnr is '17.07640082773231'
At step '10600', psnr is '17.118822838018335'
At step '10800', psnr is '17.1376851858085'
At step '11000', psnr is '17.093027179484395'
At step '11200', psnr is '17.081571691731607'
At step '11400', psnr is '17.11368980783367'
At step '11600', psnr is '17.058944784367224'
At step '11800', psnr is '17.107582624034244'
At step '12000', psnr is '17.18552403433376'
At step '12200', psnr is '16.853907591605072'
At step '12400', psnr is '17.086480436328134'
At step '12600', psnr is '16.979760932150164'
At step '12800', psnr is '17.198320774460132'
At step '13000', psnr is '16.98818803759191'
At step '13200', psnr is '17.193846705682137'
At step '13400', psnr is '17.06914483650005'
At step '13600', psnr is '17.074336099857746'
At step '13800', psnr is '16.928315971970417'
At step '14000', psnr is '17.06679672319489'
At step '14200', psnr is '17.03090828686077'
At step '14400', psnr is '16.98498778003342'
At step '14600', psnr is '17.052892906286903'
At step '14800', psnr is '16.91828316651904'
At step '15000', psnr is '16.964572645499413'
At step '15200', psnr is '16.838801487914704'
At step '15400', psnr is '16.9441668237926'
At step '15600', psnr is '17.027348101426828'
At step '15800', psnr is '16.949518505918718'
At step '16000', psnr is '16.955746512606133'
At step '16200', psnr is '17.00359031788207'
At step '16400', psnr is '17.01792877413048'
At step '16600', psnr is '16.94105670641576'
At step '16800', psnr is '16.88727022260034'
At step '17000', psnr is '16.981586614014567'
At step '17200', psnr is '17.15982632378053'
At step '17400', psnr is '16.900614778674843'
At step '17600', psnr is '17.131125935156387'
At step '17800', psnr is '16.898209443586936'
At step '18000', psnr is '16.90880135438536'
At step '18200', psnr is '16.90529565788731'
At step '18400', psnr is '16.945206101076803'
At step '18600', psnr is '16.869419903153172'
At step '18800', psnr is '16.897720602267377'
At step '19000', psnr is '17.024920137700935'
