noisy psnr: 6.136168981249056
Starting vanilla DIP on 1 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '6.136168981249056'
input dim: torch.Size([1, 32, 256, 256])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '24.674678640049912'
At step '400', psnr is '26.493546874971962'
At step '600', psnr is '24.88379439612426'
At step '800', psnr is '23.08818785370795'
At step '1000', psnr is '21.8942468013528'
At step '1200', psnr is '20.795523732853802'
At step '1400', psnr is '19.9906153770318'
At step '1600', psnr is '19.41119841616554'
At step '1800', psnr is '18.986466753428022'
At step '2000', psnr is '18.69898529508505'
At step '2200', psnr is '18.649637367255238'
At step '2400', psnr is '18.38223996019703'
At step '2600', psnr is '17.892946686033685'
At step '2800', psnr is '17.8286363972904'
At step '3000', psnr is '17.684397211528356'
At step '3200', psnr is '17.595663868035427'
At step '3400', psnr is '17.667427644583118'
At step '3600', psnr is '17.404425626798037'
At step '3800', psnr is '17.46885296893128'
At step '4000', psnr is '17.44640301720987'
At step '4200', psnr is '17.226171128714476'
At step '4400', psnr is '17.192670081977806'
At step '4600', psnr is '17.28251361750919'
At step '4800', psnr is '17.13098003097057'
At step '5000', psnr is '17.190299188074206'
At step '5200', psnr is '17.052768439000012'
At step '5400', psnr is '17.120753299539277'
At step '5600', psnr is '17.006547978724306'
At step '5800', psnr is '16.838124992508355'
At step '6000', psnr is '17.091224810651305'
At step '6200', psnr is '17.103114484364834'
At step '6400', psnr is '16.890160077263403'
At step '6600', psnr is '16.937833763155556'
At step '6800', psnr is '16.808856499270878'
At step '7000', psnr is '16.834021055504376'
At step '7200', psnr is '16.929316590793118'
At step '7400', psnr is '16.931870514357804'
At step '7600', psnr is '16.952325655017184'
At step '7800', psnr is '16.847422242344233'
At step '8000', psnr is '16.881544917091336'
At step '8200', psnr is '16.891370281576393'
At step '8400', psnr is '16.753509447968497'
At step '8600', psnr is '16.632256124444872'
At step '8800', psnr is '16.79388170671517'
At step '9000', psnr is '16.81627904018096'
At step '9200', psnr is '16.789119429058182'
At step '9400', psnr is '16.78058765151326'
At step '9600', psnr is '16.792751676057577'
At step '9800', psnr is '16.75422978697029'
At step '10000', psnr is '16.796067121632507'
At step '10200', psnr is '16.78436986318366'
At step '10400', psnr is '16.704442927355988'
At step '10600', psnr is '16.79354406774413'
At step '10800', psnr is '16.66639666589543'
At step '11000', psnr is '16.8052329028179'
At step '11200', psnr is '16.61711116863183'
At step '11400', psnr is '16.710245159609038'
At step '11600', psnr is '16.85217539733706'
At step '11800', psnr is '16.703080498568667'
At step '12000', psnr is '16.871086730260053'
At step '12200', psnr is '16.68883872317244'
At step '12400', psnr is '16.66311213069559'
At step '12600', psnr is '16.692217526096968'
At step '12800', psnr is '16.632477583906912'
At step '13000', psnr is '16.678802157473825'
At step '13200', psnr is '16.70753038081417'
At step '13400', psnr is '16.6643286263184'
At step '13600', psnr is '16.7941840008444'
At step '13800', psnr is '16.652790356840335'
At step '14000', psnr is '16.78625453584532'
At step '14200', psnr is '16.52259512977728'
At step '14400', psnr is '16.622642712188906'
At step '14600', psnr is '16.70453229027069'
At step '14800', psnr is '16.670121377589588'
At step '15000', psnr is '16.655257443164363'
At step '15200', psnr is '16.654041550678983'
At step '15400', psnr is '16.669376583591863'
At step '15600', psnr is '16.585714720534515'
At step '15800', psnr is '16.652305336579815'
At step '16000', psnr is '16.698730759728516'
At step '16200', psnr is '16.602906894678217'
At step '16400', psnr is '16.60884636603923'
At step '16600', psnr is '16.620428911354697'
At step '16800', psnr is '16.584395884130572'
At step '17000', psnr is '16.752396554259924'
At step '17200', psnr is '16.575592422335596'
At step '17400', psnr is '16.644155171853093'
At step '17600', psnr is '16.65503255246886'
At step '17800', psnr is '16.624833195866835'
