noisy psnr: 8.777724316487593
Starting vanilla DIP on 0 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.777724316487593'
input dim: torch.Size([1, 32, 512, 512])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '24.130714157230845'
At step '400', psnr is '27.36955981347576'
At step '600', psnr is '26.682735410916116'
At step '800', psnr is '24.887053554177424'
At step '1000', psnr is '24.183736499106697'
At step '1200', psnr is '23.062957433342568'
At step '1400', psnr is '22.460289916969533'
At step '1600', psnr is '21.788788696556498'
At step '1800', psnr is '21.242287939852503'
At step '2000', psnr is '20.83651644176735'
At step '2200', psnr is '20.56098378405852'
At step '2400', psnr is '20.393013538787407'
At step '2600', psnr is '19.93746399529966'
At step '2800', psnr is '20.020850337939386'
At step '3000', psnr is '19.544618056851743'
At step '3200', psnr is '19.43819967675487'
At step '3400', psnr is '19.364291109418733'
At step '3600', psnr is '19.308048350333213'
At step '3800', psnr is '19.1999035974352'
At step '4000', psnr is '19.251826641194945'
At step '4200', psnr is '18.989237524738886'
At step '4400', psnr is '19.12286084728496'
At step '4600', psnr is '18.79094240918092'
At step '4800', psnr is '18.894187330047373'
At step '5000', psnr is '18.740919727286705'
At step '5200', psnr is '18.8820798992008'
At step '5400', psnr is '18.45643267806667'
At step '5600', psnr is '18.75849153040995'
At step '5800', psnr is '18.72385934336434'
At step '6000', psnr is '18.49648536255061'
At step '6200', psnr is '18.550723974855572'
At step '6400', psnr is '18.585187317632055'
At step '6600', psnr is '18.394249985505454'
At step '6800', psnr is '18.437322793819458'
At step '7000', psnr is '18.396233030475663'
At step '7200', psnr is '18.215470957745836'
At step '7400', psnr is '18.399098918722757'
At step '7600', psnr is '18.238591110286222'
At step '7800', psnr is '18.24536477369422'
At step '8000', psnr is '18.26523589803061'
At step '8200', psnr is '18.1960361884095'
At step '8400', psnr is '18.10004682294308'
At step '8600', psnr is '18.237453035726986'
At step '8800', psnr is '18.32968399646071'
At step '9000', psnr is '18.173383163302653'
At step '9200', psnr is '18.151239806359925'
At step '9400', psnr is '17.89946248945496'
At step '9600', psnr is '18.058285363661206'
At step '9800', psnr is '18.076608858953264'
At step '10000', psnr is '18.061451150031345'
At step '10200', psnr is '18.024980877892915'
At step '10400', psnr is '18.01584388100153'
At step '10600', psnr is '17.939394972956574'
At step '10800', psnr is '17.984647935346672'
At step '11000', psnr is '18.082045444857044'
At step '11200', psnr is '17.94354873530779'
At step '11400', psnr is '17.970715313429707'
At step '11600', psnr is '17.89629576386161'
At step '11800', psnr is '17.88747404927634'
At step '12000', psnr is '17.958055761537278'
At step '12200', psnr is '17.824971857145016'
At step '12400', psnr is '17.776340695612753'
At step '12600', psnr is '17.720120355038315'
At step '12800', psnr is '17.9230703422432'
At step '13000', psnr is '17.835606145408306'
At step '13200', psnr is '17.84386709728805'
At step '13400', psnr is '17.655657026875602'
At step '13600', psnr is '17.747239698323444'
At step '13800', psnr is '17.763217458317722'
At step '14000', psnr is '17.69592931971227'
At step '14200', psnr is '17.581612621849157'
At step '14400', psnr is '17.684372530359763'
At step '14600', psnr is '17.724446810069757'
At step '14800', psnr is '17.71953314017331'
At step '15000', psnr is '17.703385082017064'
At step '15200', psnr is '17.760687380671378'
At step '15400', psnr is '17.786325526751593'
At step '15600', psnr is '17.598260159085914'
At step '15800', psnr is '17.715083040342925'
At step '16000', psnr is '17.59625588921932'
At step '16200', psnr is '17.684539869977883'
At step '16400', psnr is '17.648424244058603'
At step '16600', psnr is '17.648433115920426'
At step '16800', psnr is '17.676442728045465'
At step '17000', psnr is '17.606657681730873'
At step '17200', psnr is '17.609318915400124'
At step '17400', psnr is '17.556569865278032'
At step '17600', psnr is '17.556376813576996'
At step '17800', psnr is '17.4912817356441'
At step '18000', psnr is '17.603741391704105'
At step '18200', psnr is '17.67035483911081'
At step '18400', psnr is '17.479845995413676'
At step '18600', psnr is '17.562835930250248'
At step '18800', psnr is '17.452202562703015'
At step '19000', psnr is '17.592852879803893'
At step '19200', psnr is '17.553135079500265'
At step '19400', psnr is '17.502260655414744'
At step '19600', psnr is '17.60359897128591'
At step '19800', psnr is '17.514310532221952'
At step '20000', psnr is '17.347714175233165'
At step '20200', psnr is '17.526494857782065'
At step '20400', psnr is '17.553848074804158'
At step '20600', psnr is '17.5413229210155'
At step '20800', psnr is '17.550809780888414'
At step '21000', psnr is '17.378861615749365'
At step '21200', psnr is '17.33785394806863'
At step '21400', psnr is '17.52295037256109'
At step '21600', psnr is '17.341845821844537'
At step '21800', psnr is '17.365801688886144'
At step '22000', psnr is '17.418303502997595'
At step '22200', psnr is '17.380299534051776'
At step '22400', psnr is '17.308367920949475'
At step '22600', psnr is '17.341306515729322'
At step '22800', psnr is '17.4414059175601'
At step '23000', psnr is '17.435723718662853'
At step '23200', psnr is '17.4771766564149'
At step '23400', psnr is '17.447298675822015'
At step '23600', psnr is '17.45958431002181'
At step '23800', psnr is '17.467488327620643'
At step '24000', psnr is '17.429972745534037'
At step '24200', psnr is '17.381200714831277'
At step '24400', psnr is '17.26368556617091'
At step '24600', psnr is '17.29153938960897'
At step '24800', psnr is '17.303793964343644'
At step '25000', psnr is '17.472379149221297'
At step '25200', psnr is '17.304592640379465'
At step '25400', psnr is '17.42508612181101'
At step '25600', psnr is '17.360661473748074'
At step '25800', psnr is '17.383235900792112'
At step '26000', psnr is '17.3172508090303'
At step '26200', psnr is '17.362821250810757'
At step '26400', psnr is '17.42299171605772'
At step '26600', psnr is '17.2614411269359'
At step '26800', psnr is '17.3294386057554'
At step '27000', psnr is '17.344372990757726'
At step '27200', psnr is '17.322834137231123'
At step '27400', psnr is '17.275100678624998'
At step '27600', psnr is '17.1665502617546'
At step '27800', psnr is '17.30558861664891'
At step '28000', psnr is '17.30578790001309'
At step '28200', psnr is '17.323621697141885'
At step '28400', psnr is '17.34648690242379'
At step '28600', psnr is '17.2903948731781'
At step '28800', psnr is '17.285252369302846'
At step '29000', psnr is '17.324844049364625'
At step '29200', psnr is '17.22881439430491'
At step '29400', psnr is '17.319178359162073'
At step '29600', psnr is '17.242519844528314'
At step '29800', psnr is '17.300767371902285'
At step '30000', psnr is '17.263875799654464'
At step '30200', psnr is '17.212055427507643'
At step '30400', psnr is '17.222674893127177'
At step '30600', psnr is '17.33193071566419'
At step '30800', psnr is '17.295732584197314'
At step '31000', psnr is '17.231284026084747'
At step '31200', psnr is '17.314102260391753'
At step '31400', psnr is '17.13143281378988'
At step '31600', psnr is '17.139621344574223'
At step '31800', psnr is '17.190384332762353'
At step '32000', psnr is '17.172441493634373'
At step '32200', psnr is '17.144309138489195'
At step '32400', psnr is '17.228077674769906'
At step '32600', psnr is '17.146068287297517'
At step '32800', psnr is '17.246017834664585'
At step '33000', psnr is '17.127690701578487'
At step '33200', psnr is '17.313328329468003'
At step '33400', psnr is '17.1514649225485'
At step '33600', psnr is '17.172981397075382'
At step '33800', psnr is '17.214758745683085'
At step '34000', psnr is '17.15239670176595'
At step '34200', psnr is '17.246929354748012'
At step '34400', psnr is '17.111832503603743'
At step '34600', psnr is '17.175413216336775'
At step '34800', psnr is '17.13936296879013'
At step '35000', psnr is '17.131338034537563'
At step '35200', psnr is '17.186263046017327'
At step '35400', psnr is '17.0673809255218'
At step '35600', psnr is '17.133297808281423'
At step '35800', psnr is '17.173186043331135'
At step '36000', psnr is '17.08973058539575'
At step '36200', psnr is '17.097365467830862'
At step '36400', psnr is '17.15177904399906'
At step '36600', psnr is '17.11794542047477'
At step '36800', psnr is '17.12031126507904'
At step '37000', psnr is '17.08243052375089'
At step '37200', psnr is '17.09269084810993'
At step '37400', psnr is '17.196933688573495'
At step '37600', psnr is '17.027492003754226'
At step '37800', psnr is '17.129160618364494'
At step '38000', psnr is '16.941961232899992'
At step '38200', psnr is '17.11540702191386'
At step '38400', psnr is '17.126648499934486'
At step '38600', psnr is '17.059281606626897'
At step '38800', psnr is '16.992272369843956'
At step '39000', psnr is '17.218564370576527'
At step '39200', psnr is '17.09999150871407'
At step '39400', psnr is '17.00384159966346'
At step '39600', psnr is '17.088772711897672'
