noisy psnr: 8.952963016160105
Starting vanilla DIP on 10 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.952963016160105'
input dim: torch.Size([1, 32, 512, 512])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.40128500788913'
At step '400', psnr is '23.57476087170093'
At step '600', psnr is '23.187430797858312'
At step '800', psnr is '22.71922221883503'
At step '1000', psnr is '21.64302904868221'
At step '1200', psnr is '21.422428066379595'
At step '1400', psnr is '20.963645183937846'
At step '1600', psnr is '20.368974258862238'
At step '1800', psnr is '19.947443291243555'
At step '2000', psnr is '19.70918388855279'
At step '2200', psnr is '19.351850184057746'
At step '2400', psnr is '18.991596704501436'
At step '2600', psnr is '19.11494360506252'
At step '2800', psnr is '18.76567909341382'
At step '3000', psnr is '18.68172588260551'
At step '3200', psnr is '18.542016481891295'
At step '3400', psnr is '18.550117136391822'
At step '3600', psnr is '18.36583964355797'
At step '3800', psnr is '18.250166217196487'
At step '4000', psnr is '18.243026980387267'
At step '4200', psnr is '18.196392835259594'
At step '4400', psnr is '18.134635417023187'
At step '4600', psnr is '17.952433585423357'
At step '4800', psnr is '17.936185644572333'
At step '5000', psnr is '17.92077681896248'
At step '5200', psnr is '17.907294193569562'
At step '5400', psnr is '17.876911276242243'
At step '5600', psnr is '17.801856893527827'
At step '5800', psnr is '17.84371579423586'
At step '6000', psnr is '17.76422325797934'
At step '6200', psnr is '17.624443162702836'
At step '6400', psnr is '17.68702517125673'
At step '6600', psnr is '17.68123824770261'
At step '6800', psnr is '17.610531032628998'
At step '7000', psnr is '17.665338957026'
At step '7200', psnr is '17.620117475460336'
At step '7400', psnr is '17.529676224820605'
At step '7600', psnr is '17.610990502084444'
At step '7800', psnr is '17.549910731482992'
At step '8000', psnr is '17.46345564527029'
At step '8200', psnr is '17.453262135290714'
At step '8400', psnr is '17.397448633930814'
At step '8600', psnr is '17.441252600005328'
At step '8800', psnr is '17.340651547129585'
At step '9000', psnr is '17.416539713011158'
At step '9200', psnr is '17.383704302197998'
At step '9400', psnr is '17.366225731043215'
At step '9600', psnr is '17.39093064825155'
At step '9800', psnr is '17.340877463304725'
At step '10000', psnr is '17.254855406232984'
At step '10200', psnr is '17.24746839595326'
At step '10400', psnr is '17.265527500391762'
At step '10600', psnr is '17.21910046168737'
At step '10800', psnr is '17.23830844040059'
At step '11000', psnr is '17.238431293516676'
At step '11200', psnr is '17.214462244003123'
At step '11400', psnr is '17.2076834688479'
At step '11600', psnr is '17.184612067815458'
At step '11800', psnr is '17.200884024831215'
At step '12000', psnr is '17.165064300982664'
At step '12200', psnr is '17.17757414146024'
At step '12400', psnr is '17.11590900794053'
At step '12600', psnr is '17.203275702096843'
At step '12800', psnr is '17.087176833452723'
At step '13000', psnr is '17.138349485751867'
At step '13200', psnr is '17.105890543529696'
At step '13400', psnr is '17.121028551979315'
At step '13600', psnr is '17.127309358820725'
At step '13800', psnr is '17.100053769969108'
At step '14000', psnr is '17.12081325494369'
At step '14200', psnr is '17.093149924287186'
At step '14400', psnr is '17.028391524177056'
At step '14600', psnr is '17.03744754346924'
At step '14800', psnr is '17.0657026966392'
At step '15000', psnr is '17.02281319453555'
At step '15200', psnr is '17.049955818468323'
At step '15400', psnr is '17.006820468777782'
At step '15600', psnr is '16.99994424785839'
