noisy psnr: 9.543218833094757
Starting vanilla DIP on 7 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '9.543218833094757'
input dim: torch.Size([1, 32, 512, 512])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '19.848814685483912'
At step '400', psnr is '21.23390265682145'
At step '600', psnr is '21.22480662201287'
At step '800', psnr is '20.91031278721415'
At step '1000', psnr is '20.126506788486637'
At step '1200', psnr is '19.906996698981484'
At step '1400', psnr is '19.45973562076761'
At step '1600', psnr is '19.327596221363113'
At step '1800', psnr is '18.957237901422424'
At step '2000', psnr is '18.702450231056574'
At step '2200', psnr is '18.45889959144774'
At step '2400', psnr is '18.30385389556418'
At step '2600', psnr is '18.23031336529767'
At step '2800', psnr is '17.995777737870625'
At step '3000', psnr is '17.927820367893027'
At step '3200', psnr is '17.915964386011296'
At step '3400', psnr is '17.84477570128496'
At step '3600', psnr is '17.75337042823336'
At step '3800', psnr is '17.63572654336953'
At step '4000', psnr is '17.425340041238833'
At step '4200', psnr is '17.48172834832973'
At step '4400', psnr is '17.377094017661463'
At step '4600', psnr is '17.426651916143637'
At step '4800', psnr is '17.34714158218094'
At step '5000', psnr is '17.254122675239437'
At step '5200', psnr is '17.283481742079122'
At step '5400', psnr is '17.26285122371507'
At step '5600', psnr is '17.170190876313043'
At step '5800', psnr is '17.168624030505647'
At step '6000', psnr is '17.05068220925004'
At step '6200', psnr is '17.01347785917274'
At step '6400', psnr is '16.99733715032937'
At step '6600', psnr is '16.897367006770907'
At step '6800', psnr is '16.996971202890723'
At step '7000', psnr is '16.93690595176834'
At step '7200', psnr is '16.92561166015516'
At step '7400', psnr is '16.98931173218504'
At step '7600', psnr is '16.91539235979678'
At step '7800', psnr is '16.929698195620503'
At step '8000', psnr is '16.849237857166518'
At step '8200', psnr is '16.732013908322624'
At step '8400', psnr is '16.803208874176235'
At step '8600', psnr is '16.74592210924391'
At step '8800', psnr is '16.80921087736042'
At step '9000', psnr is '16.68570877390682'
At step '9200', psnr is '16.750162493922037'
At step '9400', psnr is '16.68699363452303'
At step '9600', psnr is '16.679646014131627'
At step '9800', psnr is '16.713517444634572'
At step '10000', psnr is '16.705437305255703'
At step '10200', psnr is '16.68683787371398'
At step '10400', psnr is '16.597205624796896'
At step '10600', psnr is '16.632907122554244'
At step '10800', psnr is '16.64240188340616'
At step '11000', psnr is '16.609293497036784'
At step '11200', psnr is '16.478903014842604'
At step '11400', psnr is '16.5376736361975'
At step '11600', psnr is '16.541469926404574'
At step '11800', psnr is '16.520098722995154'
At step '12000', psnr is '16.482479236637534'
At step '12200', psnr is '16.530833984889007'
At step '12400', psnr is '16.56962708675389'
At step '12600', psnr is '16.443634247737194'
At step '12800', psnr is '16.509854082520604'
At step '13000', psnr is '16.415550627556975'
At step '13200', psnr is '16.45485896407326'
At step '13400', psnr is '16.462171357175794'
At step '13600', psnr is '16.431467641067073'
At step '13800', psnr is '16.436951882313878'
At step '14000', psnr is '16.485008558041216'
At step '14200', psnr is '16.429943822697783'
At step '14400', psnr is '16.456565588448328'
At step '14600', psnr is '16.372747897378545'
At step '14800', psnr is '16.43310611695267'
At step '15000', psnr is '16.41025576652025'
At step '15200', psnr is '16.442041829311453'
At step '15400', psnr is '16.440779856844294'
At step '15600', psnr is '16.404534978702618'
At step '15800', psnr is '16.358237635090145'
At step '16000', psnr is '16.343588619630086'
At step '16200', psnr is '16.3355385424382'
At step '16400', psnr is '16.408768535661217'
At step '16600', psnr is '16.319069042565598'
At step '16800', psnr is '16.22521273556297'
At step '17000', psnr is '16.354362789962757'
At step '17200', psnr is '16.266320949401095'
At step '17400', psnr is '16.248057343158862'
At step '17600', psnr is '16.238775696509368'
At step '17800', psnr is '16.26757355252908'
At step '18000', psnr is '16.32665500396143'
At step '18200', psnr is '16.231596737787463'
At step '18400', psnr is '16.263271086240536'
At step '18600', psnr is '16.376687161607446'
At step '18800', psnr is '16.315377364327645'
At step '19000', psnr is '16.31637989943341'
At step '19200', psnr is '16.27998743241961'
At step '19400', psnr is '16.269671121985837'
At step '19600', psnr is '16.2265122814247'
At step '19800', psnr is '16.25377606457474'
At step '20000', psnr is '16.291406507966265'
At step '20200', psnr is '16.213725582872257'
At step '20400', psnr is '16.23602823226928'
At step '20600', psnr is '16.21879460631829'
At step '20800', psnr is '16.19894694642567'
At step '21000', psnr is '16.264576044688155'
At step '21200', psnr is '16.192717099922067'
At step '21400', psnr is '16.22128859076621'
At step '21600', psnr is '16.227219975783647'
At step '21800', psnr is '16.201903312335986'
At step '22000', psnr is '16.194201962294937'
At step '22200', psnr is '16.105522793400105'
At step '22400', psnr is '16.177536880387088'
At step '22600', psnr is '16.120076487552982'
At step '22800', psnr is '16.17888562918283'
At step '23000', psnr is '16.153018431870734'
At step '23200', psnr is '16.15244169701791'
At step '23400', psnr is '16.174048442497444'
At step '23600', psnr is '16.108103095516256'
At step '23800', psnr is '16.154638022107225'
At step '24000', psnr is '16.099748770001966'
At step '24200', psnr is '16.102292409845617'
At step '24400', psnr is '16.148534067690573'
At step '24600', psnr is '16.138498677699374'
At step '24800', psnr is '16.098043024696793'
At step '25000', psnr is '16.09438305681347'
At step '25200', psnr is '16.11087992243682'
At step '25400', psnr is '16.079215695574494'
At step '25600', psnr is '16.122035873434754'
At step '25800', psnr is '16.066041950814988'
At step '26000', psnr is '16.09659120126264'
At step '26200', psnr is '16.11909269780229'
At step '26400', psnr is '16.08197579000468'
At step '26600', psnr is '16.10221694254537'
At step '26800', psnr is '16.056818852100584'
At step '27000', psnr is '16.074210490155547'
At step '27200', psnr is '16.069789941455028'
At step '27400', psnr is '16.101431190080632'
At step '27600', psnr is '16.058098499542723'
At step '27800', psnr is '16.047802333183007'
At step '28000', psnr is '16.024580863410158'
At step '28200', psnr is '16.044427373524424'
At step '28400', psnr is '16.051810829277972'
At step '28600', psnr is '16.042190931135696'
At step '28800', psnr is '16.069871748583772'
At step '29000', psnr is '15.920258157651093'
At step '29200', psnr is '15.961030152537855'
At step '29400', psnr is '16.0340697747012'
At step '29600', psnr is '16.001434879375992'
At step '29800', psnr is '15.995749175369763'
At step '30000', psnr is '16.031956799621963'
At step '30200', psnr is '16.04406525996916'
At step '30400', psnr is '15.97075888407594'
At step '30600', psnr is '16.000405957108672'
At step '30800', psnr is '16.014349560250025'
At step '31000', psnr is '16.041144221220243'
At step '31200', psnr is '15.986409283946077'
At step '31400', psnr is '15.999683598025216'
At step '31600', psnr is '15.912873572908111'
At step '31800', psnr is '16.0211700721581'
At step '32000', psnr is '16.005095084707378'
At step '32200', psnr is '16.004665005326565'
At step '32400', psnr is '15.978584911972408'
At step '32600', psnr is '15.948154769838647'
At step '32800', psnr is '15.982536252369323'
At step '33000', psnr is '15.980512234618438'
At step '33200', psnr is '15.956753951431288'
