noisy psnr: 7.3118002942204585
Starting vanilla DIP on 3 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '7.3118002942204585'
input dim: torch.Size([1, 32, 256, 256])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '20.073353265737953'
At step '400', psnr is '21.1662300586961'
At step '600', psnr is '20.255585900034106'
At step '800', psnr is '19.44645302139485'
At step '1000', psnr is '18.634829944509622'
At step '1200', psnr is '18.37141608777765'
At step '1400', psnr is '17.789727227327514'
At step '1600', psnr is '17.5686976766794'
At step '1800', psnr is '17.341064920221832'
At step '2000', psnr is '16.9178038270957'
At step '2200', psnr is '16.953214586834196'
At step '2400', psnr is '16.746018116816735'
At step '2600', psnr is '16.566609095354764'
At step '2800', psnr is '16.48595036199306'
At step '3000', psnr is '16.410851061087936'
At step '3200', psnr is '16.366580573384685'
At step '3400', psnr is '16.35199247325032'
At step '3600', psnr is '16.276738066447624'
At step '3800', psnr is '16.256150878355474'
At step '4000', psnr is '16.174118994785605'
At step '4200', psnr is '16.087871721525918'
At step '4400', psnr is '16.048310044502593'
At step '4600', psnr is '16.061332159587963'
At step '4800', psnr is '15.98456587339725'
At step '5000', psnr is '16.040292660984207'
At step '5200', psnr is '15.930984578525567'
At step '5400', psnr is '15.863825048583621'
At step '5600', psnr is '15.897391547193838'
At step '5800', psnr is '15.950851322720263'
At step '6000', psnr is '15.895180214841854'
At step '6200', psnr is '15.904066841462877'
At step '6400', psnr is '15.877589923152552'
At step '6600', psnr is '15.85379836852149'
At step '6800', psnr is '15.81647738195045'
At step '7000', psnr is '15.859679038426126'
At step '7200', psnr is '15.826778061835704'
At step '7400', psnr is '15.824748684538829'
At step '7600', psnr is '15.788795059491372'
At step '7800', psnr is '15.789863721932793'
At step '8000', psnr is '15.743396493703333'
At step '8200', psnr is '15.789963969628765'
At step '8400', psnr is '15.721697300899464'
At step '8600', psnr is '15.693364333191225'
At step '8800', psnr is '15.741482469374953'
At step '9000', psnr is '15.661538185870896'
At step '9200', psnr is '15.750891206778672'
At step '9400', psnr is '15.695406619465524'
At step '9600', psnr is '15.702511115269246'
At step '9800', psnr is '15.657360921797013'
At step '10000', psnr is '15.638940658909327'
At step '10200', psnr is '15.649269203025336'
At step '10400', psnr is '15.676754028240687'
At step '10600', psnr is '15.610895870327832'
At step '10800', psnr is '15.670579247508554'
At step '11000', psnr is '15.607628263636432'
At step '11200', psnr is '15.627142497481536'
At step '11400', psnr is '15.65977459559261'
At step '11600', psnr is '15.665789486664963'
At step '11800', psnr is '15.647518403329524'
At step '12000', psnr is '15.59082454169297'
At step '12200', psnr is '15.56504839485826'
At step '12400', psnr is '15.61704193760308'
At step '12600', psnr is '15.664218240670325'
At step '12800', psnr is '15.593466705370282'
At step '13000', psnr is '15.589759491644932'
At step '13200', psnr is '15.591010527353799'
At step '13400', psnr is '15.570191002001451'
At step '13600', psnr is '15.588390205194735'
At step '13800', psnr is '15.653130588818158'
At step '14000', psnr is '15.587920003737736'
At step '14200', psnr is '15.555635707861363'
At step '14400', psnr is '15.591700694578861'
At step '14600', psnr is '15.476074246497316'
At step '14800', psnr is '15.535726994597564'
At step '15000', psnr is '15.579139409950626'
At step '15200', psnr is '15.60998669140853'
At step '15400', psnr is '15.552274843326266'
At step '15600', psnr is '15.544168084458354'
At step '15800', psnr is '15.533715535251831'
At step '16000', psnr is '15.564736630237041'
At step '16200', psnr is '15.480194887358223'
At step '16400', psnr is '15.497576781352691'
At step '16600', psnr is '15.616344728059367'
At step '16800', psnr is '15.490071235862077'
At step '17000', psnr is '15.508082266057432'
At step '17200', psnr is '15.48127149801256'
At step '17400', psnr is '15.511096757936029'
At step '17600', psnr is '15.512033276973922'
At step '17800', psnr is '15.445391798118841'
At step '18000', psnr is '15.512442944024569'
At step '18200', psnr is '15.492864616251836'
At step '18400', psnr is '15.51269269183637'
At step '18600', psnr is '15.491372450068086'
At step '18800', psnr is '15.529568953776378'
At step '19000', psnr is '15.506326215943687'
At step '19200', psnr is '15.472887280081217'
At step '19400', psnr is '15.451394176644726'
At step '19600', psnr is '15.486368614929354'
At step '19800', psnr is '15.47901794300408'
At step '20000', psnr is '15.445569087130997'
At step '20200', psnr is '15.469442159731106'
At step '20400', psnr is '15.486300524866438'
At step '20600', psnr is '15.46722014189163'
At step '20800', psnr is '15.420173174357002'
At step '21000', psnr is '15.446512085714495'
At step '21200', psnr is '15.418665294549573'
At step '21400', psnr is '15.452361252900403'
At step '21600', psnr is '15.415790097803558'
At step '21800', psnr is '15.400429120147374'
At step '22000', psnr is '15.424862351126883'
At step '22200', psnr is '15.43491643756558'
At step '22400', psnr is '15.493316343483093'
At step '22600', psnr is '15.416073317091785'
At step '22800', psnr is '15.43089751023685'
At step '23000', psnr is '15.442215037003955'
At step '23200', psnr is '15.441303460493376'
At step '23400', psnr is '15.447722326144468'
At step '23600', psnr is '15.42605155006451'
At step '23800', psnr is '15.435465844417564'
At step '24000', psnr is '15.41162537289644'
At step '24200', psnr is '15.422414260435186'
At step '24400', psnr is '15.419023148865884'
At step '24600', psnr is '15.419946986690485'
At step '24800', psnr is '15.429496566620502'
At step '25000', psnr is '15.401533259598681'
At step '25200', psnr is '15.37106744710731'
At step '25400', psnr is '15.420051827193218'
At step '25600', psnr is '15.412450631648596'
At step '25800', psnr is '15.39300779983192'
At step '26000', psnr is '15.37786357439308'
At step '26200', psnr is '15.406333239539691'
At step '26400', psnr is '15.418191705780693'
At step '26600', psnr is '15.380838424708529'
At step '26800', psnr is '15.37395281580228'
At step '27000', psnr is '15.386498678232295'
At step '27200', psnr is '15.341909858398179'
At step '27400', psnr is '15.429215318407765'
At step '27600', psnr is '15.379550970412758'
At step '27800', psnr is '15.385380654587932'
At step '28000', psnr is '15.40659717182251'
At step '28200', psnr is '15.355537653906527'
At step '28400', psnr is '15.400730445204884'
At step '28600', psnr is '15.377869328111174'
At step '28800', psnr is '15.383026703381654'
At step '29000', psnr is '15.341721029083788'
At step '29200', psnr is '15.373948259337652'
At step '29400', psnr is '15.385395788312692'
At step '29600', psnr is '15.441722502751302'
At step '29800', psnr is '15.411632878868131'
At step '30000', psnr is '15.362888460845372'
At step '30200', psnr is '15.35311415506467'
At step '30400', psnr is '15.360111186473166'
At step '30600', psnr is '15.337517701829501'
At step '30800', psnr is '15.385967695848448'
At step '31000', psnr is '15.36247841467479'
At step '31200', psnr is '15.336892738158284'
At step '31400', psnr is '15.397098953604457'
At step '31600', psnr is '15.314379567152185'
At step '31800', psnr is '15.340518501288118'
At step '32000', psnr is '15.348389294696023'
At step '32200', psnr is '15.270302562104696'
At step '32400', psnr is '15.349960409008832'
At step '32600', psnr is '15.338615901034014'
At step '32800', psnr is '15.345877954615776'
At step '33000', psnr is '15.415031946891766'
At step '33200', psnr is '15.376563647556662'
At step '33400', psnr is '15.343355842226922'
At step '33600', psnr is '15.36944054991855'
At step '33800', psnr is '15.348568985566217'
At step '34000', psnr is '15.328401767917178'
At step '34200', psnr is '15.317810837625398'
At step '34400', psnr is '15.279296190216625'
At step '34600', psnr is '15.333803902284728'
At step '34800', psnr is '15.355896336308367'
At step '35000', psnr is '15.429887466129149'
At step '35200', psnr is '15.33617137251868'
At step '35400', psnr is '15.329325221661191'
At step '35600', psnr is '15.327160451099024'
At step '35800', psnr is '15.321383933710068'
At step '36000', psnr is '15.318245089792843'
At step '36200', psnr is '15.329876098960447'
At step '36400', psnr is '15.293354373523762'
At step '36600', psnr is '15.333507292144027'
At step '36800', psnr is '15.320814709628646'
At step '37000', psnr is '15.297870643527457'
At step '37200', psnr is '15.31662399441818'
At step '37400', psnr is '15.315623206106853'
At step '37600', psnr is '15.342514815237454'
At step '37800', psnr is '15.391946898060262'
At step '38000', psnr is '15.274744627020986'
At step '38200', psnr is '15.31646771677924'
At step '38400', psnr is '15.306277367265576'
At step '38600', psnr is '15.26994149248885'
At step '38800', psnr is '15.31912381162115'
At step '39000', psnr is '15.320590813046557'
At step '39200', psnr is '15.393512892780752'
At step '39400', psnr is '15.29659095648759'
At step '39600', psnr is '15.268936945376076'
At step '39800', psnr is '15.267499570340693'
Experiment done
