(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 4 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.739548437515325'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.73725128481908'
At step '400', psnr is '25.25815855083198'
At step '600', psnr is '26.158484812313283'
At step '800', psnr is '26.08128537498572'
At step '1000', psnr is '26.96738310237469'
At step '1200', psnr is '26.58996056601364'
At step '1400', psnr is '26.393654176534017'
At step '1600', psnr is '27.748358609968836'
At step '1800', psnr is '27.367184811090194'
At step '2000', psnr is '27.393584239322657'
At step '2200', psnr is '27.505700437784522'
At step '2400', psnr is '27.19155250960446'
At step '2600', psnr is '28.32621581436023'
At step '2800', psnr is '27.508436552432414'
At step '3000', psnr is '27.0820610922644'
At step '3200', psnr is '28.234194377954715'
At step '3400', psnr is '28.429797254903626'
At step '3600', psnr is '28.041370703988395'
At step '3800', psnr is '28.187327484453032'
At step '4000', psnr is '28.57324040700246'
At step '4200', psnr is '28.22716452412699'
At step '4400', psnr is '28.25809543550331'
At step '4600', psnr is '28.323083100266125'
At step '4800', psnr is '28.099744231196894'
At step '5000', psnr is '28.376956582076268'
At step '5200', psnr is '28.697903872687238'
At step '5400', psnr is '27.350502955574033'
At step '5600', psnr is '28.46158235574584'
At step '5800', psnr is '28.149217184704426'
At step '6000', psnr is '28.75581751267689'
At step '6200', psnr is '27.557527892427935'
At step '6400', psnr is '28.773570962824543'
At step '6600', psnr is '28.23633044757139'
At step '6800', psnr is '28.44622579575009'
At step '7000', psnr is '28.808210665139917'
At step '7200', psnr is '28.9781101676895'
At step '7400', psnr is '28.83675385083305'
At step '7600', psnr is '28.9212464014853'
At step '7800', psnr is '28.368549028818308'
At step '8000', psnr is '28.686149773197197'
At step '8200', psnr is '28.893092480282732'
At step '8400', psnr is '27.936542146021086'
At step '8600', psnr is '28.903858954396004'
At step '8800', psnr is '28.917983312741864'
At step '9000', psnr is '28.916173645418336'
At step '9200', psnr is '28.557308365152526'
At step '9400', psnr is '29.283508736713017'
At step '9600', psnr is '29.338920213853648'
At step '9800', psnr is '29.21533629157115'
At step '10000', psnr is '29.251990631966546'
At step '10200', psnr is '28.236677072828765'
At step '10400', psnr is '29.09918772930461'
At step '10600', psnr is '29.101796768423746'
At step '10800', psnr is '28.712645603518972'
At step '11000', psnr is '29.14489437725862'
At step '11200', psnr is '29.170999837627928'
At step '11400', psnr is '29.545769358321692'
At step '11600', psnr is '29.660687723902758'
At step '11800', psnr is '28.596757408450447'
At step '12000', psnr is '29.225132598167093'
At step '12200', psnr is '29.298002104305816'
At step '12400', psnr is '29.51643804996849'
At step '12600', psnr is '29.691564035925524'
At step '12800', psnr is '29.40457122352742'
At step '13000', psnr is '29.082120553387316'
At step '13200', psnr is '28.80159850690955'
At step '13400', psnr is '29.261140278458587'
At step '13600', psnr is '29.551650894108555'
At step '13800', psnr is '29.341266377810094'
At step '14000', psnr is '29.16516140856483'
At step '14200', psnr is '29.762838951823973'
At step '14400', psnr is '29.531245277413134'
At step '14600', psnr is '29.522588420486002'
At step '14800', psnr is '28.909248874082515'
At step '15000', psnr is '29.425632543752343'
At step '15200', psnr is '29.363417950025156'
At step '15400', psnr is '29.72240436948723'
At step '15600', psnr is '29.52213413222475'
At step '15800', psnr is '29.53249537933155'
At step '16000', psnr is '29.63281745868709'
At step '16200', psnr is '29.52368515856271'
At step '16400', psnr is '29.66659409995204'
At step '16600', psnr is '29.120233702017337'
At step '16800', psnr is '29.059149512628686'
At step '17000', psnr is '29.49453767757397'
At step '17200', psnr is '28.146620311925616'
At step '17400', psnr is '29.313938188649693'
At step '17600', psnr is '29.018936917757046'
At step '17800', psnr is '29.375115461590223'
At step '18000', psnr is '29.388768313684395'
At step '18200', psnr is '29.839958204287438'
At step '18400', psnr is '29.54320770581518'
At step '18600', psnr is '28.107154927199247'
At step '18800', psnr is '29.927099440657866'
At step '19000', psnr is '29.459463396811742'
At step '19200', psnr is '29.189126944378515'
At step '19400', psnr is '29.976101431082004'
At step '19600', psnr is '29.432149727196702'
At step '19800', psnr is '29.176235463444357'
At step '20000', psnr is '29.622006285839237'
At step '20200', psnr is '29.650522579746603'
At step '20400', psnr is '29.60384403484923'
At step '20600', psnr is '29.052646765464996'
At step '20800', psnr is '29.572685246192187'
At step '21000', psnr is '29.698351585238218'
At step '21200', psnr is '29.72609393824914'
At step '21400', psnr is '29.182998530820004'
At step '21600', psnr is '29.566207805872622'
At step '21800', psnr is '29.70667304246353'
At step '22000', psnr is '29.339543765015627'
At step '22200', psnr is '28.833266448969773'
At step '22400', psnr is '29.494526426663512'
At step '22600', psnr is '29.617547022988244'
At step '22800', psnr is '29.861581977776414'
At step '23000', psnr is '29.351551979149548'
At step '23200', psnr is '29.08081191536176'
At step '23400', psnr is '28.995619920055606'
At step '23600', psnr is '29.786634475261607'
At step '23800', psnr is '29.309552542090046'
At step '24000', psnr is '29.71645954498248'
At step '24200', psnr is '29.59686979678265'
At step '24400', psnr is '29.09037921944048'
At step '24600', psnr is '29.32185079614741'
At step '24800', psnr is '29.617251197749624'
At step '25000', psnr is '29.531741371383482'
At step '25200', psnr is '29.33964190865923'
At step '25400', psnr is '29.577653232051183'
At step '25600', psnr is '30.013645722184012'
At step '25800', psnr is '29.292907682308872'
At step '26000', psnr is '29.547460959063475'
At step '26200', psnr is '30.041455310168807'
At step '26400', psnr is '29.399949585132376'
At step '26600', psnr is '29.974817442122593'
At step '26800', psnr is '29.857048018672007'
At step '27000', psnr is '29.885298395783412'
At step '27200', psnr is '29.539771174011015'
At step '27400', psnr is '29.418562569337013'
At step '27600', psnr is '29.10587745838283'
At step '27800', psnr is '29.17515028513896'
At step '28000', psnr is '29.373155736716132'
At step '28200', psnr is '29.891479546883883'
At step '28400', psnr is '29.512021658820604'
At step '28600', psnr is '29.41363491516729'
At step '28800', psnr is '28.26907989097361'
At step '29000', psnr is '29.861409108141803'
At step '29200', psnr is '29.910973399905238'
At step '29400', psnr is '29.63970219748541'
At step '29600', psnr is '30.06001449226956'
At step '29800', psnr is '29.42692172849009'
At step '30000', psnr is '29.705989766902597'
At step '30200', psnr is '29.55307109296966'
At step '30400', psnr is '29.817076342496765'
At step '30600', psnr is '29.684102535929632'
At step '30800', psnr is '29.682971584947133'
At step '31000', psnr is '29.371635665846277'
At step '31200', psnr is '30.156950639194076'
At step '31400', psnr is '29.86890513611483'
At step '31600', psnr is '29.891131426299427'
At step '31800', psnr is '29.381088948692682'
At step '32000', psnr is '30.07822295333016'
At step '32200', psnr is '30.01801775386331'
At step '32400', psnr is '29.615250392742325'
At step '32600', psnr is '29.84981513907052'
At step '32800', psnr is '29.70276243615765'
At step '33000', psnr is '30.098080912492655'
At step '33200', psnr is '29.979911894037706'
At step '33400', psnr is '29.488932485136267'
At step '33600', psnr is '30.226055949484426'
At step '33800', psnr is '29.574807727527084'
At step '34000', psnr is '29.35245434888497'
At step '34200', psnr is '28.95197163734947'
At step '34400', psnr is '29.94654494549618'
At step '34600', psnr is '29.523351713637442'
At step '34800', psnr is '30.31178966641356'
At step '35000', psnr is '30.32459095570402'
At step '35200', psnr is '29.32181014195345'
At step '35400', psnr is '29.834724420130655'
At step '35600', psnr is '29.523469956802263'
At step '35800', psnr is '30.23611826619677'
At step '36000', psnr is '30.173703289674872'
At step '36200', psnr is '29.923519805052887'
At step '36400', psnr is '29.949167589706814'
At step '36600', psnr is '29.859516807028115'
At step '36800', psnr is '29.8641885888452'
At step '37000', psnr is '30.040986246232908'
At step '37200', psnr is '29.37665821238558'
At step '37400', psnr is '30.239486730524693'
At step '37600', psnr is '29.744296733600347'
At step '37800', psnr is '29.79166890807784'
At step '38000', psnr is '29.60157493335258'
At step '38200', psnr is '29.44733334399039'
At step '38400', psnr is '29.989626963451496'
At step '38600', psnr is '30.143539237344488'
At step '38800', psnr is '29.971593558546793'
At step '39000', psnr is '30.312038466965237'
At step '39200', psnr is '30.10538354170029'
At step '39400', psnr is '29.400836523056896'
At step '39600', psnr is '29.121212324301414'
At step '39800', psnr is '29.521509167211487'
Experiment done
