(3, 256, 256)
(3, 256, 256)
Starting vanilla DIP on 10 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '4.161296272091055'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.475403207986787'
At step '400', psnr is '22.885368932632485'
At step '600', psnr is '23.794398878232673'
At step '800', psnr is '24.05124144256968'
At step '1000', psnr is '23.789553184894764'
At step '1200', psnr is '24.413331244224644'
At step '1400', psnr is '24.027140839098095'
At step '1600', psnr is '24.63456739898925'
At step '1800', psnr is '24.274466461526426'
At step '2000', psnr is '24.749437062649143'
At step '2200', psnr is '24.636944089311996'
At step '2400', psnr is '24.96540202716146'
At step '2600', psnr is '25.061233712039627'
At step '2800', psnr is '24.770513273838297'
At step '3000', psnr is '25.16278379785055'
At step '3200', psnr is '24.85578184417288'
At step '3400', psnr is '24.971370553205'
At step '3600', psnr is '25.001270315389522'
At step '3800', psnr is '25.125122557241188'
At step '4000', psnr is '25.530687983842874'
At step '4200', psnr is '24.68904688420305'
At step '4400', psnr is '25.36152145322697'
At step '4600', psnr is '25.30658350773468'
At step '4800', psnr is '25.70637553694237'
At step '5000', psnr is '25.27936665794862'
At step '5200', psnr is '25.65547472208315'
At step '5400', psnr is '25.693598140239892'
At step '5600', psnr is '25.923381800337996'
At step '5800', psnr is '25.04050047391864'
At step '6000', psnr is '25.68707536683786'
At step '6200', psnr is '25.80420161640852'
At step '6400', psnr is '25.9802281632051'
At step '6600', psnr is '25.696101367963877'
At step '6800', psnr is '25.886855013683025'
At step '7000', psnr is '26.045702938800602'
At step '7200', psnr is '26.099101059482788'
At step '7400', psnr is '25.21039815508011'
At step '7600', psnr is '25.653854114904227'
At step '7800', psnr is '25.727898393593584'
At step '8000', psnr is '25.320738801884456'
At step '8200', psnr is '25.605009936093317'
At step '8400', psnr is '26.153703548974466'
At step '8600', psnr is '25.840805652280004'
At step '8800', psnr is '25.505630531803874'
