(3, 256, 256)
(3, 256, 256)
Starting vanilla DIP on 6 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '11.30342327954035'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '27.5344007747306'
At step '400', psnr is '29.342827135400505'
At step '600', psnr is '29.797017489453353'
At step '800', psnr is '29.89149483327148'
At step '1000', psnr is '29.89762111464585'
At step '1200', psnr is '30.456795044437982'
At step '1400', psnr is '30.657465180181156'
At step '1600', psnr is '30.179314016482003'
At step '1800', psnr is '30.553647851354675'
At step '2000', psnr is '30.925609299251754'
At step '2200', psnr is '31.01611635413053'
At step '2400', psnr is '31.064131479239045'
At step '2600', psnr is '31.01974819752744'
At step '2800', psnr is '30.911510198351365'
At step '3000', psnr is '30.51408858652129'
At step '3200', psnr is '31.069986556627253'
At step '3400', psnr is '31.167663726424465'
At step '3600', psnr is '31.01284023535516'
At step '3800', psnr is '31.22103718138067'
At step '4000', psnr is '31.519908790850284'
At step '4200', psnr is '31.09290930723567'
At step '4400', psnr is '31.466008024312096'
At step '4600', psnr is '31.198697373236143'
At step '4800', psnr is '31.425641802771924'
At step '5000', psnr is '30.90204623939166'
At step '5200', psnr is '31.517229621853765'
At step '5400', psnr is '31.40323633952693'
At step '5600', psnr is '31.06188572386108'
At step '5800', psnr is '31.453267497677146'
At step '6000', psnr is '31.268682479590954'
At step '6200', psnr is '31.51830525073799'
At step '6400', psnr is '31.543182363212576'
At step '6600', psnr is '31.71004020427604'
At step '6800', psnr is '31.65482470597673'
At step '7000', psnr is '30.98082255815698'
At step '7200', psnr is '31.56263300778036'
At step '7400', psnr is '31.530064534178365'
At step '7600', psnr is '30.919512843689642'
At step '7800', psnr is '31.586237819426284'
At step '8000', psnr is '31.42189315122922'
At step '8200', psnr is '31.593913317687743'
At step '8400', psnr is '31.603183982070785'
At step '8600', psnr is '31.73065698855295'
At step '8800', psnr is '31.653144316175528'
At step '9000', psnr is '31.668240058828175'
At step '9200', psnr is '31.83853008297215'
At step '9400', psnr is '31.589689276620035'
At step '9600', psnr is '31.496714317426022'
At step '9800', psnr is '31.601234696222992'
At step '10000', psnr is '31.65586685946476'
At step '10200', psnr is '31.95188971067951'
At step '10400', psnr is '31.870262872602154'
At step '10600', psnr is '31.984680433412706'
At step '10800', psnr is '31.644605543609067'
At step '11000', psnr is '31.784838891139707'
At step '11200', psnr is '31.983697619243586'
At step '11400', psnr is '31.920002717827565'
At step '11600', psnr is '32.05293766599871'
At step '11800', psnr is '31.66365205887071'
At step '12000', psnr is '31.931413452809796'
At step '12200', psnr is '32.002201981703095'
At step '12400', psnr is '31.994450402373896'
At step '12600', psnr is '31.808045088788397'
At step '12800', psnr is '31.38744859954253'
At step '13000', psnr is '31.98732020252748'
At step '13200', psnr is '31.678020981021064'
At step '13400', psnr is '32.01426554276149'
At step '13600', psnr is '32.09338730579783'
At step '13800', psnr is '32.00512518040364'
At step '14000', psnr is '31.943214878317377'
At step '14200', psnr is '32.01411802316994'
At step '14400', psnr is '31.4366161750665'
At step '14600', psnr is '31.781739397611233'
At step '14800', psnr is '32.13637645521278'
At step '15000', psnr is '32.06863329485983'
At step '15200', psnr is '32.17256051623597'
At step '15400', psnr is '31.611845333421265'
At step '15600', psnr is '31.977273691025864'
At step '15800', psnr is '31.815842430972772'
At step '16000', psnr is '32.15500416483763'
At step '16200', psnr is '31.790171748892448'
At step '16400', psnr is '32.057081250445115'
At step '16600', psnr is '31.81777753187953'
At step '16800', psnr is '32.02713388392426'
At step '17000', psnr is '31.883978521940477'
At step '17200', psnr is '32.052842765315795'
At step '17400', psnr is '32.209823884843466'
At step '17600', psnr is '31.620389259376797'
At step '17800', psnr is '32.250010059604584'
At step '18000', psnr is '31.92660438660798'
At step '18200', psnr is '32.06400578026386'
At step '18400', psnr is '32.05617526447166'
At step '18600', psnr is '31.935681468595376'
At step '18800', psnr is '31.78566902529491'
At step '19000', psnr is '32.28149954534699'
At step '19200', psnr is '31.590500431824164'
At step '19400', psnr is '32.20265974730267'
At step '19600', psnr is '32.14683227613956'
At step '19800', psnr is '31.70419617764013'
At step '20000', psnr is '32.096750664359995'
At step '20200', psnr is '32.24214432219347'
At step '20400', psnr is '32.229470260015646'
At step '20600', psnr is '31.829626628710553'
At step '20800', psnr is '32.2899684544615'
At step '21000', psnr is '32.01027905077107'
At step '21200', psnr is '32.121218477482365'
At step '21400', psnr is '31.793196279842284'
At step '21600', psnr is '32.18990391767725'
At step '21800', psnr is '31.859025048298328'
At step '22000', psnr is '32.007787443734244'
At step '22200', psnr is '32.30814205740077'
At step '22400', psnr is '31.745739383111903'
At step '22600', psnr is '32.27092122822445'
At step '22800', psnr is '32.28461013863364'
At step '23000', psnr is '31.32863243800746'
At step '23200', psnr is '32.24038918577447'
At step '23400', psnr is '32.16433308761026'
At step '23600', psnr is '32.03697084089268'
At step '23800', psnr is '31.903856394852955'
At step '24000', psnr is '32.07293204387645'
At step '24200', psnr is '32.36158674790078'
At step '24400', psnr is '32.154779958737436'
At step '24600', psnr is '32.34857413392036'
At step '24800', psnr is '32.12601957375521'
At step '25000', psnr is '32.130741752277345'
At step '25200', psnr is '32.26997719561645'
At step '25400', psnr is '32.126528148653826'
At step '25600', psnr is '32.297595693900305'
At step '25800', psnr is '31.864519354786857'
At step '26000', psnr is '31.888157591598528'
At step '26200', psnr is '32.00360479133119'
At step '26400', psnr is '32.13753380028993'
At step '26600', psnr is '31.808692192312034'
At step '26800', psnr is '32.093718898365516'
At step '27000', psnr is '32.31717513464261'
At step '27200', psnr is '32.455926401687705'
At step '27400', psnr is '32.239314176214066'
At step '27600', psnr is '32.094211421462695'
At step '27800', psnr is '32.21793792194584'
At step '28000', psnr is '32.19175265985324'
At step '28200', psnr is '32.311865387330336'
At step '28400', psnr is '32.084353582157675'
At step '28600', psnr is '31.922229575702254'
At step '28800', psnr is '31.995129088983603'
At step '29000', psnr is '31.607359684031813'
At step '29200', psnr is '31.94067093579624'
At step '29400', psnr is '32.3980305433159'
At step '29600', psnr is '31.91678995036563'
At step '29800', psnr is '32.10305440075973'
At step '30000', psnr is '31.93573120857897'
At step '30200', psnr is '32.1855907351342'
At step '30400', psnr is '32.347523661358'
At step '30600', psnr is '32.22115802258938'
At step '30800', psnr is '32.42528589553455'
At step '31000', psnr is '31.85458833969054'
At step '31200', psnr is '32.099796027211276'
At step '31400', psnr is '32.20364636210176'
At step '31600', psnr is '32.3318160157578'
At step '31800', psnr is '32.45933864396106'
At step '32000', psnr is '32.32939318521552'
At step '32200', psnr is '32.267168484004614'
At step '32400', psnr is '32.09277085653391'
At step '32600', psnr is '31.84083990948462'
At step '32800', psnr is '32.40061807636812'
At step '33000', psnr is '31.863632079808994'
At step '33200', psnr is '32.34839093404956'
At step '33400', psnr is '31.663293518377515'
At step '33600', psnr is '32.45585564773849'
At step '33800', psnr is '32.04987188166859'
At step '34000', psnr is '32.001243648985'
At step '34200', psnr is '32.07189035912738'
At step '34400', psnr is '32.16799881126403'
At step '34600', psnr is '32.36057099730954'
At step '34800', psnr is '31.877199409490093'
At step '35000', psnr is '32.30203235568922'
At step '35200', psnr is '32.46827346885531'
At step '35400', psnr is '32.25451390222319'
At step '35600', psnr is '32.46065617958884'
At step '35800', psnr is '31.98471077565077'
At step '36000', psnr is '32.38163683404998'
At step '36200', psnr is '32.26804414683564'
At step '36400', psnr is '32.52507065179883'
At step '36600', psnr is '31.86439935820539'
At step '36800', psnr is '32.155884493316876'
At step '37000', psnr is '31.80511439594372'
