(3, 256, 256)
(3, 256, 256)
Starting vanilla DIP on 6 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '9.247475160268362'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '26.947249725325722'
At step '400', psnr is '28.61769415832791'
At step '600', psnr is '28.99052451331453'
At step '800', psnr is '28.57298050853903'
At step '1000', psnr is '28.716304915520663'
At step '1200', psnr is '28.98822615978078'
At step '1400', psnr is '29.170653554242755'
At step '1600', psnr is '28.951475980148125'
At step '1800', psnr is '28.66273583943375'
At step '2000', psnr is '29.28254771569861'
At step '2200', psnr is '29.288294717625313'
At step '2400', psnr is '28.968624477874755'
At step '2600', psnr is '29.068806660615415'
At step '2800', psnr is '29.491750143100237'
At step '3000', psnr is '29.388384022763525'
At step '3200', psnr is '29.13184768148472'
At step '3400', psnr is '28.55404183444565'
At step '3600', psnr is '29.282300850786633'
At step '3800', psnr is '29.360941088472106'
At step '4000', psnr is '29.489782041082933'
At step '4200', psnr is '29.438563858220252'
At step '4400', psnr is '29.406735258764193'
At step '4600', psnr is '29.4540659984068'
At step '4800', psnr is '29.31715861541708'
At step '5000', psnr is '29.21824368314876'
At step '5200', psnr is '29.395233009602517'
At step '5400', psnr is '29.279136993854845'
At step '5600', psnr is '29.424586414624464'
At step '5800', psnr is '28.85079245136596'
At step '6000', psnr is '29.39666456078337'
At step '6200', psnr is '29.360646525869857'
At step '6400', psnr is '29.496978463941545'
At step '6600', psnr is '29.319905011578363'
At step '6800', psnr is '29.59378421456069'
At step '7000', psnr is '29.48421261097266'
At step '7200', psnr is '29.492728905544688'
At step '7400', psnr is '29.31312449871718'
At step '7600', psnr is '29.524838821794297'
At step '7800', psnr is '29.356910587837774'
At step '8000', psnr is '29.454212689682933'
At step '8200', psnr is '29.268412894779065'
At step '8400', psnr is '29.03156091842775'
At step '8600', psnr is '29.357079758752384'
At step '8800', psnr is '29.15964328503643'
At step '9000', psnr is '29.216417629097148'
At step '9200', psnr is '29.131009453148554'
At step '9400', psnr is '29.403418217268495'
At step '9600', psnr is '29.25935919651696'
At step '9800', psnr is '29.459709826026522'
At step '10000', psnr is '29.063289736102547'
At step '10200', psnr is '29.25402501283569'
At step '10400', psnr is '29.135599545264213'
At step '10600', psnr is '29.455307011346335'
At step '10800', psnr is '29.41272681103853'
At step '11000', psnr is '29.258408192408275'
At step '11200', psnr is '29.4533049776124'
At step '11400', psnr is '29.07389635305682'
At step '11600', psnr is '29.33464721634289'
At step '11800', psnr is '29.52000328043568'
At step '12000', psnr is '29.050544456754764'
At step '12200', psnr is '29.220561449566564'
At step '12400', psnr is '29.36346379881117'
At step '12600', psnr is '29.366222603074892'
At step '12800', psnr is '29.14419104241865'
At step '13000', psnr is '29.224861061073412'
At step '13200', psnr is '29.14620917981893'
At step '13400', psnr is '29.202932426646207'
At step '13600', psnr is '29.259179721709497'
At step '13800', psnr is '29.16740802003671'
At step '14000', psnr is '29.41435455469803'
At step '14200', psnr is '29.31452016758286'
At step '14400', psnr is '29.17770831055151'
At step '14600', psnr is '29.180761007343662'
At step '14800', psnr is '29.197064808036345'
At step '15000', psnr is '29.360216718510973'
At step '15200', psnr is '29.380269594496376'
