(3, 256, 256)
(3, 256, 256)
Starting vanilla DIP on 7 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '5.340682154008428'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '18.56027821781874'
At step '400', psnr is '19.1831527668377'
At step '600', psnr is '19.484884050127306'
At step '800', psnr is '19.59130315276113'
At step '1000', psnr is '19.84268663564825'
At step '1200', psnr is '19.877271114066556'
At step '1400', psnr is '19.74669040662338'
At step '1600', psnr is '19.93619542644102'
At step '1800', psnr is '19.94868980079904'
At step '2000', psnr is '19.949499704450588'
At step '2200', psnr is '19.997301110245985'
At step '2400', psnr is '19.85282805122161'
At step '2600', psnr is '20.045265843307245'
At step '2800', psnr is '19.756692849652406'
At step '3000', psnr is '19.94129851781865'
At step '3200', psnr is '20.002787373180833'
At step '3400', psnr is '20.012333246596757'
At step '3600', psnr is '20.02761541509507'
At step '3800', psnr is '19.936792923114005'
At step '4000', psnr is '19.9117265600197'
At step '4200', psnr is '20.121742877273327'
At step '4400', psnr is '20.010436177599722'
At step '4600', psnr is '20.1341209554317'
At step '4800', psnr is '20.179978010347263'
At step '5000', psnr is '20.058149364588267'
At step '5200', psnr is '20.047230937620476'
At step '5400', psnr is '20.1405164633117'
At step '5600', psnr is '20.071290774336667'
At step '5800', psnr is '19.97807309803647'
At step '6000', psnr is '20.15328426589982'
At step '6200', psnr is '20.22054816606655'
At step '6400', psnr is '20.20348231138595'
At step '6600', psnr is '19.988241957342467'
At step '6800', psnr is '19.98298070251205'
At step '7000', psnr is '20.13286592004465'
At step '7200', psnr is '20.232542783290285'
At step '7400', psnr is '20.14487639828138'
At step '7600', psnr is '20.190139479722546'
At step '7800', psnr is '20.092150961023982'
At step '8000', psnr is '20.08413225520861'
At step '8200', psnr is '20.09299509253001'
At step '8400', psnr is '20.154305905339523'
At step '8600', psnr is '20.233648544675283'
At step '8800', psnr is '20.076678699484518'
At step '9000', psnr is '20.20602882099706'
At step '9200', psnr is '19.936423015547973'
At step '9400', psnr is '20.029379920984212'
At step '9600', psnr is '20.135904238211488'
At step '9800', psnr is '20.1890172795043'
At step '10000', psnr is '20.162040107064712'
At step '10200', psnr is '20.264697641309667'
At step '10400', psnr is '20.244753336582015'
At step '10600', psnr is '20.094302311982474'
At step '10800', psnr is '20.0020330258312'
At step '11000', psnr is '19.98108070345918'
At step '11200', psnr is '20.232370393530175'
At step '11400', psnr is '20.211390868344377'
At step '11600', psnr is '20.20577732594679'
At step '11800', psnr is '20.19580391630962'
At step '12000', psnr is '20.19548574078803'
At step '12200', psnr is '20.109676234833298'
At step '12400', psnr is '20.199823735456086'
At step '12600', psnr is '20.273476200200662'
At step '12800', psnr is '20.190901862437315'
At step '13000', psnr is '20.19605144929272'
At step '13200', psnr is '20.210042412911264'
At step '13400', psnr is '20.10683942772026'
At step '13600', psnr is '20.225806327677994'
At step '13800', psnr is '20.168191824857438'
At step '14000', psnr is '20.081631065711335'
At step '14200', psnr is '19.55958021089074'
At step '14400', psnr is '20.13533879904433'
At step '14600', psnr is '20.142405607247493'
At step '14800', psnr is '20.252108183458503'
At step '15000', psnr is '20.030603363398377'
At step '15200', psnr is '20.28729141142826'
At step '15400', psnr is '20.15528041626795'
At step '15600', psnr is '20.166633114535017'
At step '15800', psnr is '20.11321270831937'
At step '16000', psnr is '20.161594255108955'
At step '16200', psnr is '20.191094169679396'
At step '16400', psnr is '20.061424222157292'
At step '16600', psnr is '20.137276621090415'
At step '16800', psnr is '20.146826430776112'
At step '17000', psnr is '20.019168427061174'
At step '17200', psnr is '20.154129468891572'
At step '17400', psnr is '20.245144470544126'
At step '17600', psnr is '20.234356277287368'
At step '17800', psnr is '20.139211131743377'
At step '18000', psnr is '20.27589902092744'
At step '18200', psnr is '20.00799124360224'
At step '18400', psnr is '20.151396248372443'
At step '18600', psnr is '20.21480123755939'
At step '18800', psnr is '20.231771776289737'
At step '19000', psnr is '20.129495928371753'
At step '19200', psnr is '20.284734823654475'
At step '19400', psnr is '20.191491913433776'
At step '19600', psnr is '20.226178289114088'
At step '19800', psnr is '20.341968789060097'
At step '20000', psnr is '20.141423952129447'
At step '20200', psnr is '20.249409859870497'
At step '20400', psnr is '20.217619318616006'
At step '20600', psnr is '20.0904020692153'
At step '20800', psnr is '20.246552245220755'
At step '21000', psnr is '20.2121795011937'
At step '21200', psnr is '20.106128132152694'
At step '21400', psnr is '20.254428616624097'
At step '21600', psnr is '20.266464405881717'
At step '21800', psnr is '20.138720428548304'
At step '22000', psnr is '20.23945296616505'
At step '22200', psnr is '19.981391204038438'
At step '22400', psnr is '20.168130020674635'
At step '22600', psnr is '20.17965677660881'
At step '22800', psnr is '20.263987526218486'
At step '23000', psnr is '20.134562744114323'
At step '23200', psnr is '20.0933678352115'
At step '23400', psnr is '20.201513457751904'
At step '23600', psnr is '20.14525194778753'
At step '23800', psnr is '20.269151833353533'
At step '24000', psnr is '20.285689803958252'
At step '24200', psnr is '20.12356769123029'
At step '24400', psnr is '20.281846541483528'
At step '24600', psnr is '20.16078159566579'
At step '24800', psnr is '20.021644052599285'
At step '25000', psnr is '20.266067476967287'
At step '25200', psnr is '20.248930104923048'
At step '25400', psnr is '20.24959535076615'
At step '25600', psnr is '20.1398597802795'
At step '25800', psnr is '20.24805083455587'
At step '26000', psnr is '20.074197020896392'
At step '26200', psnr is '20.22738642487289'
At step '26400', psnr is '20.25625985557189'
At step '26600', psnr is '20.206869505433037'
At step '26800', psnr is '20.25296212332673'
At step '27000', psnr is '20.201758350469223'
At step '27200', psnr is '20.325165834005347'
At step '27400', psnr is '20.048818133528915'
At step '27600', psnr is '20.250841300938966'
At step '27800', psnr is '20.174322796380707'
At step '28000', psnr is '20.170000512192942'
At step '28200', psnr is '20.15429542791558'
At step '28400', psnr is '20.13789700700919'
At step '28600', psnr is '20.269416493149535'
At step '28800', psnr is '20.237146926097253'
At step '29000', psnr is '20.29961678773705'
At step '29200', psnr is '20.24355961157824'
At step '29400', psnr is '20.25335056719777'
At step '29600', psnr is '20.148965697267187'
At step '29800', psnr is '20.239571783682692'
At step '30000', psnr is '20.35602020618542'
At step '30200', psnr is '20.236977770698942'
At step '30400', psnr is '20.21923685319225'
At step '30600', psnr is '20.2816044275124'
At step '30800', psnr is '20.233258017856738'
At step '31000', psnr is '20.252667597987806'
At step '31200', psnr is '20.203009722057907'
At step '31400', psnr is '20.27382340399553'
At step '31600', psnr is '20.276178316025888'
At step '31800', psnr is '20.228311824193806'
At step '32000', psnr is '20.30870773163879'
At step '32200', psnr is '20.289365262257107'
At step '32400', psnr is '20.22082264732525'
At step '32600', psnr is '20.30280877029815'
At step '32800', psnr is '20.269824057742483'
At step '33000', psnr is '20.18021578920438'
At step '33200', psnr is '20.361610359651436'
At step '33400', psnr is '20.27476780089064'
At step '33600', psnr is '20.286223751497836'
At step '33800', psnr is '20.27945663471155'
At step '34000', psnr is '20.19179288722227'
At step '34200', psnr is '19.940917453213686'
At step '34400', psnr is '20.316107400171973'
At step '34600', psnr is '20.278491811269447'
At step '34800', psnr is '20.28307846759127'
At step '35000', psnr is '20.27360715221782'
At step '35200', psnr is '20.294297119338086'
At step '35400', psnr is '20.26829814647249'
At step '35600', psnr is '20.238220105742542'
At step '35800', psnr is '20.329259253273907'
At step '36000', psnr is '20.30055294040233'
At step '36200', psnr is '20.22057157076865'
At step '36400', psnr is '20.265400133308027'
At step '36600', psnr is '20.253625843160318'
At step '36800', psnr is '20.26906619892194'
At step '37000', psnr is '20.2680438800436'
At step '37200', psnr is '19.99973113400553'
At step '37400', psnr is '20.26699857550344'
At step '37600', psnr is '20.15842129620369'
At step '37800', psnr is '20.31085787746944'
At step '38000', psnr is '20.214581105489003'
At step '38200', psnr is '20.246541970964493'
At step '38400', psnr is '20.282774985939614'
At step '38600', psnr is '20.3303196531278'
At step '38800', psnr is '20.25392171995839'
At step '39000', psnr is '20.19602521435944'
At step '39200', psnr is '20.342331140319004'
At step '39400', psnr is '20.34381587083033'
At step '39600', psnr is '20.193617776028955'
At step '39800', psnr is '20.266277763065293'
Experiment done
