(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 3 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.581408415865724'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.84675564380041'
At step '400', psnr is '23.479077526814677'
At step '600', psnr is '23.583712577048516'
At step '800', psnr is '23.828924148935723'
At step '1000', psnr is '24.23646813785303'
At step '1200', psnr is '24.182892623981942'
At step '1400', psnr is '24.46532993021757'
At step '1600', psnr is '24.392224771734195'
At step '1800', psnr is '24.29724432345833'
At step '2000', psnr is '24.538336976001276'
At step '2200', psnr is '24.444574761359604'
At step '2400', psnr is '24.72353920325356'
At step '2600', psnr is '24.376329421910494'
At step '2800', psnr is '24.48950211546118'
At step '3000', psnr is '24.71982989975988'
At step '3200', psnr is '24.732720206831647'
At step '3400', psnr is '24.391566514391883'
At step '3600', psnr is '24.677095981225875'
At step '3800', psnr is '24.691377638469984'
At step '4000', psnr is '24.631149163372477'
At step '4200', psnr is '24.452109137768694'
At step '4400', psnr is '24.73281281553801'
At step '4600', psnr is '24.787931019228363'
At step '4800', psnr is '24.6090422895278'
At step '5000', psnr is '24.624893532241522'
At step '5200', psnr is '24.533619718249184'
At step '5400', psnr is '24.746310584404817'
At step '5600', psnr is '24.595867406731852'
At step '5800', psnr is '24.722937965801933'
At step '6000', psnr is '24.746297011670638'
At step '6200', psnr is '24.55498251108422'
At step '6400', psnr is '24.709322624949962'
At step '6600', psnr is '24.66218215130297'
At step '6800', psnr is '24.55746417625354'
At step '7000', psnr is '24.504885145414246'
At step '7200', psnr is '24.651423124469666'
At step '7400', psnr is '24.819352544610844'
At step '7600', psnr is '24.5838853897159'
At step '7800', psnr is '24.411241607499644'
At step '8000', psnr is '24.6712259229351'
At step '8200', psnr is '24.663345511875615'
At step '8400', psnr is '24.543844912010712'
At step '8600', psnr is '24.717956658167996'
At step '8800', psnr is '24.63964874100737'
At step '9000', psnr is '24.611390136385268'
At step '9200', psnr is '24.511580761583037'
At step '9400', psnr is '24.507137374941024'
At step '9600', psnr is '24.576836106944544'
At step '9800', psnr is '24.64167399278036'
At step '10000', psnr is '24.68839921142262'
At step '10200', psnr is '24.640223251364816'
At step '10400', psnr is '24.67785924436194'
At step '10600', psnr is '24.53935518043457'
At step '10800', psnr is '24.650102465133994'
At step '11000', psnr is '24.717712746640977'
At step '11200', psnr is '24.265816740748747'
At step '11400', psnr is '24.385253092267142'
At step '11600', psnr is '24.727026761650563'
At step '11800', psnr is '24.583911829365988'
At step '12000', psnr is '24.634577687434454'
At step '12200', psnr is '24.592147910590406'
At step '12400', psnr is '24.434882728657016'
At step '12600', psnr is '24.711642446083815'
At step '12800', psnr is '24.552325156815176'
At step '13000', psnr is '24.528376291236704'
At step '13200', psnr is '24.52739650586523'
At step '13400', psnr is '24.595078509548852'
At step '13600', psnr is '24.216605909062288'
At step '13800', psnr is '24.777446230393284'
At step '14000', psnr is '24.640755447615796'
At step '14200', psnr is '24.713662342570114'
At step '14400', psnr is '24.556349907552665'
At step '14600', psnr is '24.76994674199895'
At step '14800', psnr is '24.66764779995379'
At step '15000', psnr is '24.412902175028627'
At step '15200', psnr is '24.54715821550796'
At step '15400', psnr is '24.660574019691275'
At step '15600', psnr is '24.71633912734822'
At step '15800', psnr is '24.611812368991917'
At step '16000', psnr is '24.598792645824197'
At step '16200', psnr is '24.624856283152'
At step '16400', psnr is '24.758842729080005'
At step '16600', psnr is '24.474214742610375'
At step '16800', psnr is '24.560069775852345'
At step '17000', psnr is '24.736126680168308'
At step '17200', psnr is '24.586959278260924'
At step '17400', psnr is '24.729514697502296'
At step '17600', psnr is '24.813497903111706'
At step '17800', psnr is '24.528714219305122'
At step '18000', psnr is '24.657098916840546'
At step '18200', psnr is '24.506484302204893'
At step '18400', psnr is '24.304808895204303'
At step '18600', psnr is '24.67938973723328'
At step '18800', psnr is '24.637516182885207'
At step '19000', psnr is '24.58178322641865'
At step '19200', psnr is '24.684554750257035'
At step '19400', psnr is '24.5884952936727'
At step '19600', psnr is '24.594171804392264'
At step '19800', psnr is '24.53218911695678'
At step '20000', psnr is '24.453188236661067'
At step '20200', psnr is '24.536702482208'
At step '20400', psnr is '24.653851872588724'
At step '20600', psnr is '24.64357823749285'
At step '20800', psnr is '24.65239705818004'
At step '21000', psnr is '24.697393415370733'
At step '21200', psnr is '24.634776406186273'
At step '21400', psnr is '24.751284981639184'
At step '21600', psnr is '24.531397635848545'
At step '21800', psnr is '24.7360791365941'
At step '22000', psnr is '24.634523599880996'
At step '22200', psnr is '24.64148025779415'
At step '22400', psnr is '24.540209091930908'
At step '22600', psnr is '24.7561338829804'
At step '22800', psnr is '24.659581989763858'
