(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 3 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '10.632251461912624'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.18421605363868'
At step '400', psnr is '24.2634792118858'
At step '600', psnr is '24.945521554749917'
At step '800', psnr is '25.37770731553463'
At step '1000', psnr is '25.825030371224873'
At step '1200', psnr is '26.103765244873635'
At step '1400', psnr is '26.224546387111086'
At step '1600', psnr is '25.928037921353667'
At step '1800', psnr is '26.25173476268591'
At step '2000', psnr is '26.41621459621777'
At step '2200', psnr is '26.418378071082902'
At step '2400', psnr is '26.680577055460397'
At step '2600', psnr is '26.675286988048438'
At step '2800', psnr is '26.25564354432646'
At step '3000', psnr is '26.27483468426002'
At step '3200', psnr is '26.171527530968067'
At step '3400', psnr is '26.49721997114629'
At step '3600', psnr is '26.399967181791546'
At step '3800', psnr is '26.418537648979672'
At step '4000', psnr is '26.60559412913453'
At step '4200', psnr is '26.462797414383555'
At step '4400', psnr is '26.820323466930173'
At step '4600', psnr is '26.846034356829904'
At step '4800', psnr is '26.941316864075485'
At step '5000', psnr is '26.99568908371324'
At step '5200', psnr is '26.9201601576634'
At step '5400', psnr is '26.974700280104575'
At step '5600', psnr is '26.505019669391963'
At step '5800', psnr is '26.741423075703075'
At step '6000', psnr is '26.127702168487325'
At step '6200', psnr is '26.64888005815591'
At step '6400', psnr is '27.070614555173705'
At step '6600', psnr is '26.858528654051806'
At step '6800', psnr is '26.979402159959662'
At step '7000', psnr is '27.193236027615644'
At step '7200', psnr is '27.108915825423484'
At step '7400', psnr is '27.157151904992357'
At step '7600', psnr is '26.790628981164843'
At step '7800', psnr is '27.01126137622642'
At step '8000', psnr is '27.252988260533012'
At step '8200', psnr is '26.638393416176413'
At step '8400', psnr is '26.99402778064433'
At step '8600', psnr is '27.155248580637313'
At step '8800', psnr is '27.01263143430114'
At step '9000', psnr is '26.989026449676878'
At step '9200', psnr is '27.103943485449445'
At step '9400', psnr is '27.18947549859496'
At step '9600', psnr is '27.230481984818447'
At step '9800', psnr is '26.775887370657074'
At step '10000', psnr is '27.119215140439174'
At step '10200', psnr is '27.159447195136906'
At step '10400', psnr is '27.045157681085005'
At step '10600', psnr is '26.763222715112178'
At step '10800', psnr is '27.527875265229778'
At step '11000', psnr is '27.309419766555084'
At step '11200', psnr is '26.9485862125728'
At step '11400', psnr is '27.47377930946694'
At step '11600', psnr is '26.926956591242664'
At step '11800', psnr is '27.359884721416492'
At step '12000', psnr is '27.166806131748643'
At step '12200', psnr is '27.41501659792946'
At step '12400', psnr is '27.13806297141477'
At step '12600', psnr is '27.244406095171435'
At step '12800', psnr is '27.126149812355507'
At step '13000', psnr is '27.155844757308994'
At step '13200', psnr is '27.12646442232009'
At step '13400', psnr is '27.649498442960528'
