(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 4 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '6.6947441730181625'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.778958348832134'
At step '400', psnr is '23.331526912944483'
At step '600', psnr is '23.96921619648299'
At step '800', psnr is '24.431083097923064'
At step '1000', psnr is '24.71103776724017'
At step '1200', psnr is '24.899952108414674'
At step '1400', psnr is '24.92333707429311'
At step '1600', psnr is '24.347750651282922'
At step '1800', psnr is '24.79559709882015'
At step '2000', psnr is '25.0948847600818'
At step '2200', psnr is '25.00285036057759'
At step '2400', psnr is '25.14840332197807'
At step '2600', psnr is '25.165155064650833'
At step '2800', psnr is '25.104840740587594'
At step '3000', psnr is '25.406716565309942'
At step '3200', psnr is '24.95353128549496'
At step '3400', psnr is '25.12045438492537'
At step '3600', psnr is '25.189450232710456'
At step '3800', psnr is '25.18655960373716'
At step '4000', psnr is '25.43496153685174'
At step '4200', psnr is '25.02874869965705'
At step '4400', psnr is '25.60919770081042'
At step '4600', psnr is '25.25937934313136'
At step '4800', psnr is '25.5540682970302'
At step '5000', psnr is '25.41705767506582'
At step '5200', psnr is '25.58991378016777'
At step '5400', psnr is '25.51840383723058'
At step '5600', psnr is '25.705529461373313'
At step '5800', psnr is '25.482835105185984'
At step '6000', psnr is '25.778763078714682'
At step '6200', psnr is '25.76092193205666'
At step '6400', psnr is '25.550776852094337'
At step '6600', psnr is '25.42354511630718'
At step '6800', psnr is '25.71548815528574'
At step '7000', psnr is '25.71230494615046'
At step '7200', psnr is '25.60772225552921'
At step '7400', psnr is '25.779237097731365'
At step '7600', psnr is '25.66402982464021'
At step '7800', psnr is '25.34307795672158'
At step '8000', psnr is '25.514066544863454'
At step '8200', psnr is '24.865734661949126'
At step '8400', psnr is '25.529212599363333'
At step '8600', psnr is '25.39867348919212'
At step '8800', psnr is '25.696903561610558'
At step '9000', psnr is '25.569598641739613'
At step '9200', psnr is '24.792481426612056'
At step '9400', psnr is '25.559792139695816'
At step '9600', psnr is '25.49710474515109'
At step '9800', psnr is '25.15295988366729'
At step '10000', psnr is '25.450650945977593'
At step '10200', psnr is '25.80526805157579'
At step '10400', psnr is '25.69440362361666'
At step '10600', psnr is '25.477681078528768'
At step '10800', psnr is '25.67667144552384'
At step '11000', psnr is '25.783638111459762'
At step '11200', psnr is '25.867345271479266'
At step '11400', psnr is '25.862256861177023'
At step '11600', psnr is '25.862092289778968'
At step '11800', psnr is '25.952031063552003'
At step '12000', psnr is '25.664472852908744'
At step '12200', psnr is '25.66566951593503'
At step '12400', psnr is '25.70866479250402'
At step '12600', psnr is '25.406953248730577'
At step '12800', psnr is '25.599421878466956'
At step '13000', psnr is '25.886514203402122'
At step '13200', psnr is '25.86062312295504'
At step '13400', psnr is '25.939469060354693'
At step '13600', psnr is '25.68026168357538'
At step '13800', psnr is '25.18969874898503'
At step '14000', psnr is '25.984241682805852'
At step '14200', psnr is '25.88938231504171'
At step '14400', psnr is '25.84975978597877'
At step '14600', psnr is '25.8514388467985'
At step '14800', psnr is '25.85790678553488'
At step '15000', psnr is '25.680254203943225'
At step '15200', psnr is '25.387340402450683'
At step '15400', psnr is '25.153321594205785'
At step '15600', psnr is '25.7785362259332'
At step '15800', psnr is '25.801542634482576'
At step '16000', psnr is '25.925279894594233'
At step '16200', psnr is '26.018142752006487'
At step '16400', psnr is '25.32982565091391'
At step '16600', psnr is '25.365834547997324'
At step '16800', psnr is '25.69678117714743'
At step '17000', psnr is '25.721146123779427'
At step '17200', psnr is '25.84133228906948'
At step '17400', psnr is '25.90124125712165'
At step '17600', psnr is '25.76208144758762'
At step '17800', psnr is '25.19222613866888'
At step '18000', psnr is '25.865153090210114'
At step '18200', psnr is '25.534877714977533'
At step '18400', psnr is '25.853947173181695'
At step '18600', psnr is '26.061532774162544'
At step '18800', psnr is '25.974232237261717'
At step '19000', psnr is '25.49443875959284'
At step '19200', psnr is '25.559103250785146'
At step '19400', psnr is '26.012234769952723'
At step '19600', psnr is '25.88074527429564'
At step '19800', psnr is '25.880725300152637'
At step '20000', psnr is '25.652938677821965'
At step '20200', psnr is '25.957262488214454'
At step '20400', psnr is '25.640711970028406'
At step '20600', psnr is '25.890192759504078'
At step '20800', psnr is '25.78566652098911'
At step '21000', psnr is '25.83850231841753'
At step '21200', psnr is '25.875924771420586'
At step '21400', psnr is '25.44759537166815'
At step '21600', psnr is '25.909623488634494'
At step '21800', psnr is '25.61969587762951'
At step '22000', psnr is '25.68122965667481'
At step '22200', psnr is '26.09312558421481'
At step '22400', psnr is '25.765784214666148'
At step '22600', psnr is '25.847075881783166'
At step '22800', psnr is '25.773274119782414'
At step '23000', psnr is '25.795393054359966'
At step '23200', psnr is '25.923458135346067'
At step '23400', psnr is '26.031055146665473'
At step '23600', psnr is '25.81374071194613'
At step '23800', psnr is '25.776725653955488'
At step '24000', psnr is '25.93665576285666'
At step '24200', psnr is '25.972797454276332'
At step '24400', psnr is '25.98532718494734'
At step '24600', psnr is '26.031838127960214'
At step '24800', psnr is '26.09475208769208'
At step '25000', psnr is '25.9342831995936'
At step '25200', psnr is '25.77872444021988'
At step '25400', psnr is '26.034473972276082'
At step '25600', psnr is '26.000018950123035'
At step '25800', psnr is '25.790767204153052'
At step '26000', psnr is '26.052144307413336'
At step '26200', psnr is '25.676574665322857'
At step '26400', psnr is '25.611973013485677'
At step '26600', psnr is '25.88421355136891'
At step '26800', psnr is '25.98009392214864'
At step '27000', psnr is '25.952959209421742'
At step '27200', psnr is '25.81853936272171'
At step '27400', psnr is '26.078436519975533'
At step '27600', psnr is '25.87457841367382'
At step '27800', psnr is '25.77999816140933'
At step '28000', psnr is '25.80817696744947'
At step '28200', psnr is '26.06315034551152'
At step '28400', psnr is '25.974750091866767'
At step '28600', psnr is '25.644235873077985'
At step '28800', psnr is '26.126771150938485'
