(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 13 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '7.890864229782237'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '25.64838347870058'
At step '400', psnr is '27.085225985070757'
At step '600', psnr is '27.56005703175365'
At step '800', psnr is '28.455595920954057'
At step '1000', psnr is '28.6974793263413'
At step '1200', psnr is '29.19537980495974'
At step '1400', psnr is '29.366340323998912'
At step '1600', psnr is '29.207286691500084'
At step '1800', psnr is '29.090955255329103'
At step '2000', psnr is '29.63089259470135'
At step '2200', psnr is '29.87819801182544'
At step '2400', psnr is '30.015621285281206'
At step '2600', psnr is '29.865764168115557'
At step '2800', psnr is '29.902806572976512'
At step '3000', psnr is '30.08573194410081'
At step '3200', psnr is '29.9786455087143'
At step '3400', psnr is '30.180185493423014'
At step '3600', psnr is '30.250315561800896'
At step '3800', psnr is '30.027458371518733'
At step '4000', psnr is '30.344788902206474'
At step '4200', psnr is '30.18340878377289'
At step '4400', psnr is '30.463408002889814'
At step '4600', psnr is '30.295900183175803'
At step '4800', psnr is '29.83557808921642'
At step '5000', psnr is '29.68071589784855'
At step '5200', psnr is '30.758665706094707'
At step '5400', psnr is '30.552299224132355'
At step '5600', psnr is '30.255640819694033'
At step '5800', psnr is '30.825510150397108'
At step '6000', psnr is '30.786827730211186'
At step '6200', psnr is '30.894952399991098'
At step '6400', psnr is '30.714905035624444'
At step '6600', psnr is '30.571053844411683'
At step '6800', psnr is '31.040694748605357'
At step '7000', psnr is '30.54799128534048'
At step '7200', psnr is '30.029033664903977'
At step '7400', psnr is '30.671952125052037'
At step '7600', psnr is '30.945262978386438'
At step '7800', psnr is '30.501634560076575'
At step '8000', psnr is '30.793868219913634'
At step '8200', psnr is '30.759141380012757'
At step '8400', psnr is '31.077928344288814'
At step '8600', psnr is '30.935494813080062'
At step '8800', psnr is '30.86949910291132'
At step '9000', psnr is '31.20593296240539'
At step '9200', psnr is '30.375411598504115'
At step '9400', psnr is '30.723495572309304'
At step '9600', psnr is '30.999155950712986'
At step '9800', psnr is '30.62194661837921'
At step '10000', psnr is '30.923829094203'
At step '10200', psnr is '30.734893009110543'
At step '10400', psnr is '30.76572024653889'
At step '10600', psnr is '30.69066709299384'
At step '10800', psnr is '30.870253885331355'
At step '11000', psnr is '30.89255660672745'
At step '11200', psnr is '31.030023758274098'
At step '11400', psnr is '31.131527390030456'
At step '11600', psnr is '30.76536771591138'
At step '11800', psnr is '31.055351341114687'
At step '12000', psnr is '31.111179036210707'
At step '12200', psnr is '30.93822305915165'
At step '12400', psnr is '29.973236507123822'
At step '12600', psnr is '31.252619074102228'
At step '12800', psnr is '30.92653820673671'
At step '13000', psnr is '30.773613305980323'
At step '13200', psnr is '31.139000742808935'
At step '13400', psnr is '30.786842533229436'
At step '13600', psnr is '31.091407316954573'
At step '13800', psnr is '31.05485175580697'
At step '14000', psnr is '31.108769309289876'
At step '14200', psnr is '31.046301871446254'
At step '14400', psnr is '30.955730272853927'
At step '14600', psnr is '31.414751811217382'
At step '14800', psnr is '31.173481304563794'
At step '15000', psnr is '31.12057120273706'
At step '15200', psnr is '30.64444837616431'
At step '15400', psnr is '30.824087444156195'
At step '15600', psnr is '31.069485549837687'
At step '15800', psnr is '30.681783879107822'
At step '16000', psnr is '31.003381925171492'
At step '16200', psnr is '31.078350357485483'
At step '16400', psnr is '31.11524841670006'
At step '16600', psnr is '31.031383159921532'
At step '16800', psnr is '31.228928698163244'
At step '17000', psnr is '31.334369327785375'
At step '17200', psnr is '31.076216247690628'
At step '17400', psnr is '31.339931437899452'
At step '17600', psnr is '31.15553836147933'
At step '17800', psnr is '31.02703172709727'
At step '18000', psnr is '31.219367523922173'
At step '18200', psnr is '31.19509555359975'
At step '18400', psnr is '31.14984886096137'
At step '18600', psnr is '31.22347821748218'
At step '18800', psnr is '30.874776067163072'
At step '19000', psnr is '31.261452511609225'
At step '19200', psnr is '30.782015387522055'
At step '19400', psnr is '31.002303126149794'
At step '19600', psnr is '31.00105529245176'
At step '19800', psnr is '31.14030126234024'
At step '20000', psnr is '31.23811602819799'
At step '20200', psnr is '30.944840791593368'
At step '20400', psnr is '31.27047919511139'
At step '20600', psnr is '31.122809737480136'
At step '20800', psnr is '31.15567900061132'
At step '21000', psnr is '30.771289204410483'
At step '21200', psnr is '30.273628707005994'
At step '21400', psnr is '30.926367621725493'
At step '21600', psnr is '30.874855030133222'
At step '21800', psnr is '31.089004565202597'
At step '22000', psnr is '31.500747293020183'
At step '22200', psnr is '30.571929794496686'
At step '22400', psnr is '31.324370495802405'
At step '22600', psnr is '31.220509426734328'
At step '22800', psnr is '31.110651239142687'
At step '23000', psnr is '31.1421191391292'
At step '23200', psnr is '31.00358385407267'
At step '23400', psnr is '31.180897590635745'
At step '23600', psnr is '31.005659916357146'
At step '23800', psnr is '31.413381624111942'
At step '24000', psnr is '31.053364076372763'
At step '24200', psnr is '31.391357517570558'
At step '24400', psnr is '31.16108093788961'
At step '24600', psnr is '31.109931783958054'
At step '24800', psnr is '31.200045004464695'
At step '25000', psnr is '31.142832261232513'
At step '25200', psnr is '31.057332354548738'
At step '25400', psnr is '31.311882031116408'
At step '25600', psnr is '30.955659968915583'
At step '25800', psnr is '31.170786841671806'
At step '26000', psnr is '30.976828719848186'
At step '26200', psnr is '31.14264639273005'
At step '26400', psnr is '31.321560635848993'
At step '26600', psnr is '31.23472095151596'
At step '26800', psnr is '31.329848514191973'
