(3, 512, 512)
Starting vanilla DIP on 0 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '25.528044566256455'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '20.28550632676805'
At step '400', psnr is '21.67365073989947'
At step '600', psnr is '22.555409378393826'
At step '800', psnr is '23.058094783939538'
At step '1000', psnr is '23.370203674340623'
At step '1200', psnr is '24.05456661284021'
At step '1400', psnr is '24.28917022028404'
At step '1600', psnr is '24.669056149199452'
At step '1800', psnr is '25.097805577770842'
At step '2000', psnr is '25.33906072639537'
At step '2200', psnr is '25.76821043823554'
At step '2400', psnr is '26.029817073435346'
At step '2600', psnr is '26.061674995522193'
At step '2800', psnr is '26.150417227097794'
At step '3000', psnr is '26.473254823581833'
At step '3200', psnr is '26.698342184702064'
At step '3400', psnr is '26.750783311889194'
At step '3600', psnr is '26.92817724121295'
At step '3800', psnr is '27.182317883992212'
At step '4000', psnr is '27.292495486846274'
At step '4200', psnr is '27.461343377378338'
At step '4400', psnr is '27.629858101501583'
At step '4600', psnr is '27.599623146592705'
At step '4800', psnr is '27.880599681944037'
At step '5000', psnr is '28.002400149449713'
At step '5200', psnr is '28.128736674902633'
At step '5400', psnr is '28.301044022009854'
At step '5600', psnr is '28.403033798541955'
At step '5800', psnr is '28.4113368100887'
At step '6000', psnr is '28.525428076628813'
At step '6200', psnr is '28.73131322871789'
At step '6400', psnr is '28.646318917902708'
At step '6600', psnr is '28.853935052415892'
At step '6800', psnr is '28.90383129810125'
At step '7000', psnr is '29.076808997091984'
At step '7200', psnr is '29.019760624663892'
At step '7400', psnr is '29.24279327563852'
At step '7600', psnr is '29.297728318335572'
At step '7800', psnr is '29.386924985612723'
At step '8000', psnr is '29.47752629439932'
At step '8200', psnr is '29.47880025935591'
At step '8400', psnr is '29.536914555424623'
At step '8600', psnr is '29.682752353104465'
At step '8800', psnr is '29.677868279741602'
At step '9000', psnr is '29.77919119940136'
At step '9200', psnr is '29.76120902159748'
At step '9400', psnr is '29.70578551663823'
At step '9600', psnr is '29.937434275446737'
At step '9800', psnr is '30.06827976364674'
At step '10000', psnr is '30.0588167293483'
At step '10200', psnr is '30.062376682142325'
At step '10400', psnr is '30.040675678294868'
At step '10600', psnr is '29.9741195688759'
At step '10800', psnr is '30.166619681226585'
At step '11000', psnr is '30.161933664750936'
At step '11200', psnr is '30.1983371350645'
At step '11400', psnr is '30.298618507543246'
At step '11600', psnr is '30.350607522645948'
At step '11800', psnr is '30.32700579495163'
At step '12000', psnr is '30.364579689476724'
At step '12200', psnr is '30.43878759813623'
At step '12400', psnr is '30.442108082921656'
At step '12600', psnr is '30.428727969832256'
At step '12800', psnr is '30.298829171278623'
At step '13000', psnr is '30.34303711650711'
At step '13200', psnr is '30.430687489821622'
At step '13400', psnr is '30.36754673184546'
At step '13600', psnr is '30.484144497437295'
At step '13800', psnr is '30.504340624273574'
At step '14000', psnr is '30.535426392739712'
At step '14200', psnr is '30.3948705282599'
At step '14400', psnr is '30.476629553530298'
At step '14600', psnr is '30.469134763591782'
At step '14800', psnr is '30.549735979858916'
At step '15000', psnr is '30.505085492303344'
At step '15200', psnr is '30.41974198762523'
At step '15400', psnr is '30.46845601586616'
At step '15600', psnr is '30.506133323023363'
At step '15800', psnr is '30.374843530305053'
At step '16000', psnr is '30.49066416136537'
At step '16200', psnr is '30.493582894524437'
At step '16400', psnr is '30.484801815210933'
At step '16600', psnr is '30.469901008804115'
At step '16800', psnr is '30.478367392774658'
At step '17000', psnr is '30.427264641388646'
At step '17200', psnr is '30.417893082085353'
At step '17400', psnr is '30.409901926701295'
At step '17600', psnr is '30.354086668368055'
At step '17800', psnr is '30.376249407096104'
At step '18000', psnr is '30.30489515082843'
At step '18200', psnr is '30.349654909486517'
At step '18400', psnr is '30.32270559334026'
At step '18600', psnr is '30.303017292843034'
At step '18800', psnr is '30.347871740358542'
At step '19000', psnr is '30.294001832991846'
At step '19200', psnr is '30.268820296631603'
At step '19400', psnr is '30.184646423879027'
At step '19600', psnr is '30.248035468881497'
At step '19800', psnr is '30.14468570850311'
At step '20000', psnr is '30.253689574654153'
At step '20200', psnr is '30.198223183818204'
At step '20400', psnr is '30.16258468757084'
At step '20600', psnr is '30.10320359081951'
At step '20800', psnr is '30.122644606017094'
At step '21000', psnr is '30.051666770101875'
At step '21200', psnr is '30.134939279262206'
At step '21400', psnr is '30.115173402582876'
At step '21600', psnr is '30.108059442216497'
At step '21800', psnr is '30.11175189031792'
At step '22000', psnr is '30.057267358094727'
At step '22200', psnr is '30.119061396215567'
At step '22400', psnr is '30.044884263198526'
At step '22600', psnr is '29.997731427050226'
At step '22800', psnr is '29.941984292320573'
At step '23000', psnr is '29.856961382030605'
At step '23200', psnr is '29.970964040731396'
At step '23400', psnr is '29.988315344522878'
At step '23600', psnr is '29.866852370301146'
At step '23800', psnr is '29.911708385885927'
At step '24000', psnr is '29.935227798345935'
