(3, 512, 512)
Starting vanilla DIP on 0 using ADAM(sigma=0.07,lr=0.01,decay=0,beta=0)
Noisy PSNR is '22.667215942603825'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '20.619775185262913'
At step '400', psnr is '22.119187641333763'
At step '600', psnr is '22.872400310252207'
At step '800', psnr is '23.5709095325539'
At step '1000', psnr is '23.96292888318483'
At step '1200', psnr is '24.351448531611936'
At step '1400', psnr is '24.9028960060328'
At step '1600', psnr is '25.14750695241867'
At step '1800', psnr is '25.46713583774091'
At step '2000', psnr is '25.594473722322178'
At step '2200', psnr is '25.987588305210856'
At step '2400', psnr is '26.11597667252292'
At step '2600', psnr is '26.38585994261303'
At step '2800', psnr is '26.55407429079908'
At step '3000', psnr is '26.664232780202486'
At step '3200', psnr is '26.772161203318532'
At step '3400', psnr is '26.875320640194232'
At step '3600', psnr is '26.979501518767066'
At step '3800', psnr is '27.175691788306302'
At step '4000', psnr is '27.38718636172473'
At step '4200', psnr is '27.515587843738455'
At step '4400', psnr is '27.69976538596234'
At step '4600', psnr is '27.706588583176597'
At step '4800', psnr is '27.762729871502575'
At step '5000', psnr is '27.7922855719395'
At step '5200', psnr is '28.120101212243014'
At step '5400', psnr is '28.044932477178275'
At step '5600', psnr is '28.285401470276305'
At step '5800', psnr is '28.343257799520025'
At step '6000', psnr is '28.445868927527904'
At step '6200', psnr is '28.561696335297885'
At step '6400', psnr is '28.60133252366651'
At step '6600', psnr is '28.576035857352792'
At step '6800', psnr is '28.83604908800919'
At step '7000', psnr is '28.87082212277388'
At step '7200', psnr is '28.486871700423354'
At step '7400', psnr is '28.811385403273103'
At step '7600', psnr is '28.993369142511156'
At step '7800', psnr is '29.116126568667738'
At step '8000', psnr is '29.06049292614645'
At step '8200', psnr is '29.19239898644244'
At step '8400', psnr is '29.23386816018404'
At step '8600', psnr is '29.152216104726016'
At step '8800', psnr is '29.369744346255445'
At step '9000', psnr is '29.41433746059808'
At step '9200', psnr is '29.259537734580825'
At step '9400', psnr is '29.250626445546644'
At step '9600', psnr is '29.388427100694706'
At step '9800', psnr is '29.426108800828445'
At step '10000', psnr is '29.403286601777985'
At step '10200', psnr is '29.468399407093834'
At step '10400', psnr is '29.41032792948002'
At step '10600', psnr is '29.435765694755347'
At step '10800', psnr is '29.485486069919705'
At step '11000', psnr is '29.351413825556428'
At step '11200', psnr is '29.395159702173892'
At step '11400', psnr is '29.30833379693782'
At step '11600', psnr is '29.276338579753354'
At step '11800', psnr is '29.417626371956178'
At step '12000', psnr is '29.3553329797796'
At step '12200', psnr is '29.29470705507'
At step '12400', psnr is '29.280802525139222'
At step '12600', psnr is '29.24941841501945'
At step '12800', psnr is '29.253648732115074'
At step '13000', psnr is '29.14842784091514'
At step '13200', psnr is '29.13504548039295'
At step '13400', psnr is '29.11541178135277'
At step '13600', psnr is '29.026719490101623'
At step '13800', psnr is '29.02220159509934'
At step '14000', psnr is '28.98855191670735'
At step '14200', psnr is '28.760277496071392'
At step '14400', psnr is '28.837640938307874'
At step '14600', psnr is '28.773463955676316'
At step '14800', psnr is '28.638745184758186'
At step '15000', psnr is '28.656560673720747'
At step '15200', psnr is '28.666617809666562'
At step '15400', psnr is '28.532810759265477'
At step '15600', psnr is '28.533458354094627'
At step '15800', psnr is '28.566252132190254'
At step '16000', psnr is '28.45504121461176'
At step '16200', psnr is '28.460945642976153'
At step '16400', psnr is '28.396764035378407'
At step '16600', psnr is '28.349406309972743'
At step '16800', psnr is '28.335856984800625'
At step '17000', psnr is '28.311991953973465'
At step '17200', psnr is '28.21551732877407'
At step '17400', psnr is '28.178873879912437'
At step '17600', psnr is '28.135855028935232'
At step '17800', psnr is '27.992785981149723'
At step '18000', psnr is '28.08803545365179'
At step '18200', psnr is '28.06739151341132'
At step '18400', psnr is '27.90245703360735'
At step '18600', psnr is '27.974989885200895'
At step '18800', psnr is '27.93855929308171'
At step '19000', psnr is '27.846650306453824'
At step '19200', psnr is '27.792568630880886'
At step '19400', psnr is '27.734905853107623'
At step '19600', psnr is '27.792583418049063'
At step '19800', psnr is '27.72852926944081'
At step '20000', psnr is '27.652867073245055'
At step '20200', psnr is '27.629436246486062'
At step '20400', psnr is '27.66482629138522'
At step '20600', psnr is '27.45902488836807'
At step '20800', psnr is '27.651238416595938'
At step '21000', psnr is '27.433980835307548'
At step '21200', psnr is '27.54695687625265'
At step '21400', psnr is '27.4607183821356'
At step '21600', psnr is '27.324908677068823'
At step '21800', psnr is '27.382628743859016'
At step '22000', psnr is '27.402308251054322'
At step '22200', psnr is '27.325306073657174'
At step '22400', psnr is '27.327144308349478'
At step '22600', psnr is '27.369835048823916'
At step '22800', psnr is '27.30421786218683'
At step '23000', psnr is '27.302117272221444'
At step '23200', psnr is '27.233228602767532'
At step '23400', psnr is '27.25724684876713'
At step '23600', psnr is '27.19236310354692'
At step '23800', psnr is '27.195459328683476'
At step '24000', psnr is '27.181896650605193'
At step '24200', psnr is '27.12496054052373'
At step '24400', psnr is '27.170522290527668'
At step '24600', psnr is '27.106574691306463'
At step '24800', psnr is '27.063433096893093'
At step '25000', psnr is '27.065707522076057'
At step '25200', psnr is '27.048080733714293'
At step '25400', psnr is '26.969004703169066'
At step '25600', psnr is '26.99670180931534'
At step '25800', psnr is '26.876751220913025'
At step '26000', psnr is '26.908278901445403'
At step '26200', psnr is '26.91234057382883'
At step '26400', psnr is '26.947242021714686'
At step '26600', psnr is '26.92632121504341'
At step '26800', psnr is '26.877985753483596'
At step '27000', psnr is '26.9105237738178'
At step '27200', psnr is '26.811024375938423'
