(3, 256, 256)
Starting vanilla DIP on 1 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '26.225833584690147'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '20.266128540592895'
At step '400', psnr is '21.523944182151897'
At step '600', psnr is '22.931625134780795'
At step '800', psnr is '23.454795833965235'
At step '1000', psnr is '24.16431256759783'
At step '1200', psnr is '24.673941336731037'
At step '1400', psnr is '25.26179240994848'
At step '1600', psnr is '25.479014445922722'
At step '1800', psnr is '26.102301868103478'
At step '2000', psnr is '26.265274085895342'
At step '2200', psnr is '26.692322256233144'
At step '2400', psnr is '27.022135651218395'
At step '2600', psnr is '27.388724449884325'
At step '2800', psnr is '27.66832413323316'
At step '3000', psnr is '27.7535411670533'
At step '3200', psnr is '28.08823186382014'
At step '3400', psnr is '28.114601872540934'
At step '3600', psnr is '28.3737787215329'
At step '3800', psnr is '28.55436330287697'
At step '4000', psnr is '28.994206335911894'
At step '4200', psnr is '29.010471880751396'
At step '4400', psnr is '29.316719698744805'
At step '4600', psnr is '29.29627205614902'
At step '4800', psnr is '29.578534088317816'
At step '5000', psnr is '29.5814858001081'
At step '5200', psnr is '29.77676221485381'
At step '5400', psnr is '30.067201735649405'
At step '5600', psnr is '30.05652443728261'
At step '5800', psnr is '30.381490204655535'
At step '6000', psnr is '30.5119753916479'
At step '6200', psnr is '30.395511399759656'
At step '6400', psnr is '30.86182563243264'
At step '6600', psnr is '30.70499617450585'
At step '6800', psnr is '30.988967718923632'
At step '7000', psnr is '30.97786835081893'
At step '7200', psnr is '31.202988076521116'
At step '7400', psnr is '31.371834532349535'
At step '7600', psnr is '31.474910305809367'
At step '7800', psnr is '31.65290647996784'
At step '8000', psnr is '31.75746907064874'
At step '8200', psnr is '31.63360975363173'
At step '8400', psnr is '31.836774016070564'
At step '8600', psnr is '31.754159983258802'
At step '8800', psnr is '31.804182874424583'
At step '9000', psnr is '31.89349147065664'
At step '9200', psnr is '32.18747319907097'
At step '9400', psnr is '32.13142597162868'
At step '9600', psnr is '32.19617633961233'
At step '9800', psnr is '32.254896266646014'
At step '10000', psnr is '32.401206866474624'
At step '10200', psnr is '32.46819492711024'
At step '10400', psnr is '32.49562660093181'
At step '10600', psnr is '32.279207155069344'
At step '10800', psnr is '32.53109731674087'
At step '11000', psnr is '32.61552134855938'
At step '11200', psnr is '32.66731819891895'
At step '11400', psnr is '32.905207466381164'
At step '11600', psnr is '32.75064016785591'
At step '11800', psnr is '32.653681711427055'
At step '12000', psnr is '32.880347738449196'
At step '12200', psnr is '32.70104183702279'
At step '12400', psnr is '32.76843662980252'
At step '12600', psnr is '32.704431758434936'
At step '12800', psnr is '32.758953318383405'
At step '13000', psnr is '32.678879781134036'
At step '13200', psnr is '32.5266507112396'
At step '13400', psnr is '32.67135288201561'
At step '13600', psnr is '32.59267060539406'
At step '13800', psnr is '32.52112211292804'
At step '14000', psnr is '32.19842866280031'
At step '14200', psnr is '32.37001710482436'
