(3, 256, 256)
Starting vanilla DIP on 9 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.203960039142164'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '21.8731571717103'
At step '400', psnr is '22.455200227271778'
At step '600', psnr is '22.82364817445034'
At step '800', psnr is '23.251749317625503'
At step '1000', psnr is '23.630934144751144'
At step '1200', psnr is '24.00373755779233'
At step '1400', psnr is '24.328619624086123'
At step '1600', psnr is '24.7090074283214'
At step '1800', psnr is '24.929472026299887'
At step '2000', psnr is '25.270207372993895'
At step '2200', psnr is '25.471852627458116'
At step '2400', psnr is '25.646684824734013'
At step '2600', psnr is '25.801888379310697'
At step '2800', psnr is '26.060906489505278'
At step '3000', psnr is '26.14432948663836'
At step '3200', psnr is '26.203011556105164'
At step '3400', psnr is '26.455238512964314'
At step '3600', psnr is '26.59830298194061'
At step '3800', psnr is '26.722147514416896'
At step '4000', psnr is '26.94367542910956'
At step '4200', psnr is '26.96895373345862'
At step '4400', psnr is '27.091396705571277'
At step '4600', psnr is '27.19590355172057'
At step '4800', psnr is '27.23438197184127'
At step '5000', psnr is '27.22499628290256'
At step '5200', psnr is '27.399865625545754'
At step '5400', psnr is '27.351489758474116'
At step '5600', psnr is '27.440748610061434'
At step '5800', psnr is '27.404636384022915'
At step '6000', psnr is '27.523662433922812'
At step '6200', psnr is '27.357495902632984'
At step '6400', psnr is '27.472834114834175'
At step '6600', psnr is '27.530345375129617'
At step '6800', psnr is '27.4848036744314'
At step '7000', psnr is '27.507014172793845'
At step '7200', psnr is '27.361001146550418'
At step '7400', psnr is '27.36822836824505'
At step '7600', psnr is '27.31719259322366'
At step '7800', psnr is '27.28501074494138'
At step '8000', psnr is '27.102801700303083'
At step '8200', psnr is '27.0638808124956'
At step '8400', psnr is '27.02442233016031'
At step '8600', psnr is '26.873060264995885'
At step '8800', psnr is '26.784224694789586'
At step '9000', psnr is '26.61747398145588'
At step '9200', psnr is '26.640287466353932'
At step '9400', psnr is '26.53241352914963'
At step '9600', psnr is '26.515724566628997'
At step '9800', psnr is '26.241422560604875'
At step '10000', psnr is '26.093357963320077'
At step '10200', psnr is '26.0459673752531'
At step '10400', psnr is '25.829908873097246'
At step '10600', psnr is '25.750713809680015'
At step '10800', psnr is '25.59435685768879'
At step '11000', psnr is '25.152849587821052'
At step '11200', psnr is '25.394602552353337'
At step '11400', psnr is '25.19861431745767'
At step '11600', psnr is '24.969309116338817'
At step '11800', psnr is '25.030896196452062'
At step '12000', psnr is '24.820695933702286'
At step '12200', psnr is '24.66747541331758'
At step '12400', psnr is '23.200400560120716'
At step '12600', psnr is '24.448549561969415'
At step '12800', psnr is '24.31726024105101'
At step '13000', psnr is '24.202630986880365'
At step '13200', psnr is '23.947537764308965'
At step '13400', psnr is '23.96733922107738'
At step '13600', psnr is '23.942261593558214'
At step '13800', psnr is '23.786737932405366'
At step '14000', psnr is '23.7582788148165'
At step '14200', psnr is '23.652671981192462'
At step '14400', psnr is '23.430519041679432'
At step '14600', psnr is '23.49526871301636'
At step '14800', psnr is '23.282850989955847'
At step '15000', psnr is '23.258855718174356'
At step '15200', psnr is '23.190015329232267'
At step '15400', psnr is '23.219083028789896'
At step '15600', psnr is '23.163156026788293'
At step '15800', psnr is '23.100060721722684'
At step '16000', psnr is '22.937470393669578'
At step '16200', psnr is '22.88243343713112'
At step '16400', psnr is '22.873724672353795'
At step '16600', psnr is '22.821120390585925'
At step '16800', psnr is '22.82320223870103'
At step '17000', psnr is '22.774083901793475'
At step '17200', psnr is '22.62879060697138'
At step '17400', psnr is '22.720990243222037'
At step '17600', psnr is '22.578266114121636'
At step '17800', psnr is '22.633467504487133'
At step '18000', psnr is '22.570127227003912'
At step '18200', psnr is '22.42229768336536'
At step '18400', psnr is '22.479258749753875'
At step '18600', psnr is '22.50478101992804'
At step '18800', psnr is '22.486629467075915'
At step '19000', psnr is '22.437064658796796'
At step '19200', psnr is '22.35977989522938'
At step '19400', psnr is '22.37442804950519'
At step '19600', psnr is '22.317337626441628'
At step '19800', psnr is '22.273718799173388'
At step '20000', psnr is '22.378941930200106'
At step '20200', psnr is '22.253763121419198'
At step '20400', psnr is '22.193845166159555'
At step '20600', psnr is '22.247913228936223'
At step '20800', psnr is '22.141728296763272'
At step '21000', psnr is '22.14637319854958'
At step '21200', psnr is '22.209728436601868'
At step '21400', psnr is '22.118481174691272'
At step '21600', psnr is '22.13305515310125'
At step '21800', psnr is '22.123369678548276'
At step '22000', psnr is '22.049035390047024'
At step '22200', psnr is '22.03695459712447'
At step '22400', psnr is '21.924111098070007'
At step '22600', psnr is '21.933128519807006'
At step '22800', psnr is '21.899046649300566'
At step '23000', psnr is '22.025408297192527'
