(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 3 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '10.629688734812765'
Starting optimization with optimizer 'ADAM'
At step '200', psnr is '23.16588597427387'
At step '400', psnr is '25.76920613233127'
At step '600', psnr is '26.539695537204942'
At step '800', psnr is '26.51846207181532'
At step '1000', psnr is '27.039650650747692'
At step '1200', psnr is '26.941376862574042'
At step '1400', psnr is '26.912277100662703'
At step '1600', psnr is '26.804384405355343'
At step '1800', psnr is '26.673166089344523'
At step '2000', psnr is '26.561752091804124'
At step '2200', psnr is '26.599286720275757'
At step '2400', psnr is '26.30163730314051'
At step '2600', psnr is '26.36539129020974'
At step '2800', psnr is '26.30820074021491'
At step '3000', psnr is '26.288264357402525'
At step '3200', psnr is '26.187638205058065'
At step '3400', psnr is '26.17052678219644'
At step '3600', psnr is '26.148046944730666'
At step '3800', psnr is '26.17248662378691'
At step '4000', psnr is '26.05272450762083'
At step '4200', psnr is '26.01628445651128'
At step '4400', psnr is '26.05104686535789'
At step '4600', psnr is '25.94073998726378'
At step '4800', psnr is '25.9435030845076'
At step '5000', psnr is '26.040288380946564'
At step '5200', psnr is '25.98002179433948'
At step '5400', psnr is '26.017170664859925'
At step '5600', psnr is '25.935262686639614'
At step '5800', psnr is '25.93984621009996'
At step '6000', psnr is '25.889711576657717'
At step '6200', psnr is '25.740175459544744'
At step '6400', psnr is '25.89920653385193'
At step '6600', psnr is '25.90380647673269'
At step '6800', psnr is '25.867869669700056'
At step '7000', psnr is '25.838071427642724'
At step '7200', psnr is '25.90787843385232'
At step '7400', psnr is '25.87725471919633'
At step '7600', psnr is '25.321506590347713'
At step '7800', psnr is '25.90924540619906'
At step '8000', psnr is '25.913906909870946'
At step '8200', psnr is '25.762142804223352'
At step '8400', psnr is '25.871708724502206'
At step '8600', psnr is '25.864672332310867'
At step '8800', psnr is '25.784211486429175'
At step '9000', psnr is '25.69529669551162'
At step '9200', psnr is '25.77373493011669'
At step '9400', psnr is '25.83015158720132'
At step '9600', psnr is '25.92233618535182'
At step '9800', psnr is '25.774186617545677'
At step '10000', psnr is '25.824531610486506'
At step '10200', psnr is '25.68185513888565'
At step '10400', psnr is '25.790181839579134'
At step '10600', psnr is '25.959383224766306'
At step '10800', psnr is '25.71139933006792'
At step '11000', psnr is '25.74817549552518'
At step '11200', psnr is '25.79440429285504'
At step '11400', psnr is '25.868581203222583'
At step '11600', psnr is '25.76985663214764'
At step '11800', psnr is '25.644578962180972'
At step '12000', psnr is '25.800516330601866'
At step '12200', psnr is '25.810576411995868'
At step '12400', psnr is '25.71352089331969'
At step '12600', psnr is '25.816685025717724'
At step '12800', psnr is '25.812265448024448'
At step '13000', psnr is '25.797890343220725'
At step '13200', psnr is '25.672993073059157'
At step '13400', psnr is '25.790349078549543'
At step '13600', psnr is '25.818722368953317'
At step '13800', psnr is '25.82667088610709'
At step '14000', psnr is '25.797727040188345'
At step '14200', psnr is '25.468892174465154'
At step '14400', psnr is '24.705714483431628'
At step '14600', psnr is '26.09289239502804'
At step '14800', psnr is '26.631457176013914'
At step '15000', psnr is '26.983062531946857'
At step '15200', psnr is '27.11814406238006'
At step '15400', psnr is '27.194768076929627'
At step '15600', psnr is '27.225305592206755'
At step '15800', psnr is '27.04909277156814'
At step '16000', psnr is '27.064589054830854'
At step '16200', psnr is '27.02798008094881'
At step '16400', psnr is '26.990104829785302'
At step '16600', psnr is '26.881809335338627'
At step '16800', psnr is '26.84581718674692'
At step '17000', psnr is '26.762606093109014'
