(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 8 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '10.510369629004385'
Starting optimization with optimizer 'ADAM'
At step '200', psnr is '23.20491041191349'
At step '400', psnr is '26.216957307446073'
At step '600', psnr is '27.88422081108585'
At step '800', psnr is '28.800917167987414'
At step '1000', psnr is '29.448597371078954'
At step '1200', psnr is '29.90282549277303'
At step '1400', psnr is '30.16030098714474'
At step '1600', psnr is '30.63056195622191'
At step '1800', psnr is '31.006121709758013'
At step '2000', psnr is '30.981879681375197'
At step '2200', psnr is '31.228693219061952'
At step '2400', psnr is '31.257291759861488'
At step '2600', psnr is '30.90422950169678'
At step '2800', psnr is '31.281587818638723'
At step '3000', psnr is '30.92987324160864'
At step '3200', psnr is '31.68384476853459'
At step '3400', psnr is '31.391365082605933'
At step '3600', psnr is '31.065245262154203'
At step '3800', psnr is '31.568302186748234'
At step '4000', psnr is '31.61250012982268'
At step '4200', psnr is '31.16195171670547'
At step '4400', psnr is '31.824282838859364'
At step '4600', psnr is '31.691862450272204'
At step '4800', psnr is '31.73850511160428'
At step '5000', psnr is '31.936622677259273'
At step '5200', psnr is '31.78273966870558'
At step '5400', psnr is '31.54934948109355'
At step '5600', psnr is '31.769666689645085'
At step '5800', psnr is '31.879311290265107'
At step '6000', psnr is '31.936848929381206'
At step '6200', psnr is '31.475824229062344'
At step '6400', psnr is '30.825081792227035'
At step '6600', psnr is '30.550772860682144'
At step '6800', psnr is '31.92690181794304'
At step '7000', psnr is '31.667321106131567'
At step '7200', psnr is '31.914634234754455'
At step '7400', psnr is '31.834701612938126'
At step '7600', psnr is '31.36906358786112'
At step '7800', psnr is '31.765310042213247'
At step '8000', psnr is '31.206641831131986'
At step '8200', psnr is '31.552123713104724'
At step '8400', psnr is '31.876661961289244'
At step '8600', psnr is '31.81212751871421'
At step '8800', psnr is '31.669458082124212'
At step '9000', psnr is '31.86072534004223'
At step '9200', psnr is '31.85597488145033'
At step '9400', psnr is '31.818820339496146'
At step '9600', psnr is '14.82892848373653'
At step '9800', psnr is '20.88670507193058'
