(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 8 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.485116185869694'
Starting optimization with optimizer 'ADAM'
At step '200', psnr is '22.821765559954788'
At step '400', psnr is '24.79084260876175'
At step '600', psnr is '25.173906511118'
At step '800', psnr is '25.320816951724765'
At step '1000', psnr is '25.19829466851602'
At step '1200', psnr is '25.216766081690395'
At step '1400', psnr is '25.16553938424871'
At step '1600', psnr is '25.080297346125487'
At step '1800', psnr is '24.977901452932162'
At step '2000', psnr is '25.029822959245045'
At step '2200', psnr is '24.853178182582308'
At step '2400', psnr is '24.903723169159207'
At step '2600', psnr is '24.857460518137874'
At step '2800', psnr is '24.76958132571212'
At step '3000', psnr is '24.908311439460423'
At step '3200', psnr is '24.4852360371361'
At step '3400', psnr is '24.614122216514428'
At step '3600', psnr is '24.682827739875762'
At step '3800', psnr is '24.818220542730142'
At step '4000', psnr is '24.624430141107272'
At step '4200', psnr is '24.639330909324112'
At step '4400', psnr is '24.626121464538933'
At step '4600', psnr is '24.63714879897061'
At step '4800', psnr is '24.587694357574208'
At step '5000', psnr is '24.591162655583744'
At step '5200', psnr is '24.610328595722905'
At step '5400', psnr is '24.551480395342434'
At step '5600', psnr is '24.519086688744096'
At step '5800', psnr is '24.496447109101744'
At step '6000', psnr is '24.567776125536234'
At step '6200', psnr is '24.59287717233807'
At step '6400', psnr is '24.476108729905633'
At step '6600', psnr is '24.893366939179483'
At step '6800', psnr is '24.52594243689837'
At step '7000', psnr is '24.550243112078526'
At step '7200', psnr is '24.510982447414342'
At step '7400', psnr is '24.691741001060063'
At step '7600', psnr is '24.448206549787702'
At step '7800', psnr is '24.532184236145234'
At step '8000', psnr is '24.450213189227643'
At step '8200', psnr is '24.461420533626548'
At step '8400', psnr is '24.356410041733895'
At step '8600', psnr is '24.43134817844822'
At step '8800', psnr is '24.4553494957281'
At step '9000', psnr is '24.413286547538814'
At step '9200', psnr is '24.46118157378677'
At step '9400', psnr is '24.47071173999118'
At step '9600', psnr is '24.439635541365064'
At step '9800', psnr is '24.655966473355587'
At step '10000', psnr is '24.47023507431784'
At step '10200', psnr is '24.547153317844405'
At step '10400', psnr is '24.445232379097735'
At step '10600', psnr is '24.415370460977503'
At step '10800', psnr is '24.34325341700168'
At step '11000', psnr is '24.469031754564643'
At step '11200', psnr is '24.395661950396455'
At step '11400', psnr is '24.392679327752127'
At step '11600', psnr is '24.441058464004257'
At step '11800', psnr is '24.576696873894647'
At step '12000', psnr is '24.448086023203736'
At step '12200', psnr is '24.372563218550162'
At step '12400', psnr is '24.422741752555176'
At step '12600', psnr is '24.505656399668162'
At step '12800', psnr is '24.430892923133246'
At step '13000', psnr is '24.443994328311092'
At step '13200', psnr is '24.514073767176217'
At step '13400', psnr is '24.436165363248627'
At step '13600', psnr is '24.439792933816896'
At step '13800', psnr is '24.42007033989046'
At step '14000', psnr is '24.375219958809467'
At step '14200', psnr is '24.499678270420333'
At step '14400', psnr is '24.43977044883169'
At step '14600', psnr is '24.349936593564223'
At step '14800', psnr is '24.355875732707275'
At step '15000', psnr is '24.438536763703436'
At step '15200', psnr is '24.39780172234691'
At step '15400', psnr is '24.367871317787944'
At step '15600', psnr is '24.40745143602795'
At step '15800', psnr is '24.380093904089257'
At step '16000', psnr is '24.36640308055115'
At step '16200', psnr is '24.37472901630453'
At step '16400', psnr is '24.360430219087434'
At step '16600', psnr is '24.429162098308087'
At step '16800', psnr is '24.358430974929526'
At step '17000', psnr is '24.342994483796154'
At step '17200', psnr is '24.39392480476855'
At step '17400', psnr is '24.36010182297034'
At step '17600', psnr is '24.3353593241285'
At step '17800', psnr is '24.33366231005231'
At step '18000', psnr is '24.66713954560815'
At step '18200', psnr is '24.405889999217205'
At step '18400', psnr is '24.42096100133959'
At step '18600', psnr is '24.318873226041354'
At step '18800', psnr is '24.338526882009745'
At step '19000', psnr is '24.328352247815616'
At step '19200', psnr is '24.3422474573121'
At step '19400', psnr is '24.34685259250626'
At step '19600', psnr is '24.34890926733335'
At step '19800', psnr is '24.358223819115487'
At step '20000', psnr is '24.400984526991873'
At step '20200', psnr is '24.349907135757107'
At step '20400', psnr is '24.335866142814496'
At step '20600', psnr is '24.325854882841927'
At step '20800', psnr is '24.297898774596824'
At step '21000', psnr is '24.30891001609666'
At step '21200', psnr is '24.316259737146172'
At step '21400', psnr is '24.289335062874017'
At step '21600', psnr is '24.384835113874'
At step '21800', psnr is '24.31495139744974'
At step '22000', psnr is '24.308483777162124'
At step '22200', psnr is '24.256770565481737'
At step '22400', psnr is '24.31455542242635'
At step '22600', psnr is '24.220358653491274'
At step '22800', psnr is '24.278531162251866'
At step '23000', psnr is '24.31395579381608'
At step '23200', psnr is '24.284395079671803'
At step '23400', psnr is '24.356775659473257'
At step '23600', psnr is '24.23734472912169'
At step '23800', psnr is '24.284811909382398'
At step '24000', psnr is '24.298359071126733'
At step '24200', psnr is '24.272869882315703'
At step '24400', psnr is '24.541797140705427'
At step '24600', psnr is '24.27591909562045'
At step '24800', psnr is '24.35198674204111'
At step '25000', psnr is '24.268310609808527'
At step '25200', psnr is '24.31354680503679'
At step '25400', psnr is '24.2700257900519'
At step '25600', psnr is '24.286964765167895'
At step '25800', psnr is '24.27259888461265'
At step '26000', psnr is '24.28092043433951'
At step '26200', psnr is '24.276277457877082'
At step '26400', psnr is '24.29411976781925'
At step '26600', psnr is '24.318499852272858'
At step '26800', psnr is '24.2696022691495'
At step '27000', psnr is '24.41046990827487'
At step '27200', psnr is '24.221944060324446'
At step '27400', psnr is '24.2722078339026'
At step '27600', psnr is '24.252506767220584'
At step '27800', psnr is '24.284344368572054'
At step '28000', psnr is '24.367099546874776'
At step '28200', psnr is '24.285288451433086'
At step '28400', psnr is '24.31997795530505'
At step '28600', psnr is '24.26143291625587'
At step '28800', psnr is '24.25221819436078'
At step '29000', psnr is '24.251832204300516'
At step '29200', psnr is '24.193714806953803'
At step '29400', psnr is '24.259527253316104'
At step '29600', psnr is '24.2311284559258'
At step '29800', psnr is '24.34475206936966'
At step '30000', psnr is '24.25538250638656'
At step '30200', psnr is '24.25036419427057'
At step '30400', psnr is '24.264676029299398'
At step '30600', psnr is '24.238482040027947'
At step '30800', psnr is '24.300435364441626'
At step '31000', psnr is '24.255046335207492'
At step '31200', psnr is '24.235133741292177'
At step '31400', psnr is '24.24002468697344'
At step '31600', psnr is '24.245914218783962'
At step '31800', psnr is '24.223385112388748'
At step '32000', psnr is '24.269744429186918'
At step '32200', psnr is '24.237624803528792'
At step '32400', psnr is '24.238469428436847'
At step '32600', psnr is '24.245602162818834'
At step '32800', psnr is '24.23577058561257'
At step '33000', psnr is '24.235668684245553'
At step '33200', psnr is '24.296790128150228'
At step '33400', psnr is '24.235113095691784'
At step '33600', psnr is '24.232520037975895'
At step '33800', psnr is '24.264964351259447'
At step '34000', psnr is '24.250741712055607'
At step '34200', psnr is '24.248646808438792'
At step '34400', psnr is '24.33051200082858'
At step '34600', psnr is '24.249388396920732'
At step '34800', psnr is '24.224309348442645'
At step '35000', psnr is '24.225339718384376'
At step '35200', psnr is '24.231971818232584'
At step '35400', psnr is '24.194304169727538'
At step '35600', psnr is '24.31230642310131'
At step '35800', psnr is '24.22251694825297'
At step '36000', psnr is '24.214407586293177'
At step '36200', psnr is '24.271405830373496'
At step '36400', psnr is '24.22431148810615'
At step '36600', psnr is '24.22273377249669'
At step '36800', psnr is '24.214104723497464'
At step '37000', psnr is '24.214608528067107'
At step '37200', psnr is '24.314845436457286'
At step '37400', psnr is '24.2453148546289'
At step '37600', psnr is '24.198644650483395'
At step '37800', psnr is '24.226028908023043'
At step '38000', psnr is '24.211422307939063'
At step '38200', psnr is '24.222517750295577'
At step '38400', psnr is '24.21277317829768'
At step '38600', psnr is '24.212111159313277'
At step '38800', psnr is '24.22650680324668'
At step '39000', psnr is '24.264992968528148'
At step '39200', psnr is '24.2164758898588'
At step '39400', psnr is '24.206780811045494'
At step '39600', psnr is '24.177901762689004'
At step '39800', psnr is '24.20156874121397'
Experiment done
