noisy psnr: 20.18313630542922
Starting vanilla DIP on 2 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '20.18313630542922'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '27.326562934530543'
At step '400', psnr is '28.78727943416889'
At step '600', psnr is '29.611666298928668'
At step '800', psnr is '29.36018060669862'
At step '1000', psnr is '29.01179090517067'
At step '1200', psnr is '28.16362199806168'
At step '1400', psnr is '27.26587655713978'
At step '1600', psnr is '26.948837208666767'
At step '1800', psnr is '26.33840675709266'
At step '2000', psnr is '25.710621109394314'
At step '2200', psnr is '25.408637353322025'
At step '2400', psnr is '24.96509221397612'
At step '2600', psnr is '24.727388838902293'
At step '2800', psnr is '24.38895402823787'
At step '3000', psnr is '24.195367784636804'
At step '3200', psnr is '23.99782389331535'
At step '3400', psnr is '23.97325021583488'
At step '3600', psnr is '23.771608939801663'
At step '3800', psnr is '23.610143029052967'
At step '4000', psnr is '23.288338077633796'
At step '4200', psnr is '23.482738193875754'
At step '4400', psnr is '23.471674335335493'
At step '4600', psnr is '23.169488201929283'
At step '4800', psnr is '23.2966269693815'
At step '5000', psnr is '22.963348834945926'
At step '5200', psnr is '23.190071766145422'
At step '5400', psnr is '23.10447641660142'
At step '5600', psnr is '23.06745063130529'
At step '5800', psnr is '22.936494704215487'
At step '6000', psnr is '22.959389443746613'
At step '6200', psnr is '22.950264772403777'
At step '6400', psnr is '22.765786800580084'
At step '6600', psnr is '22.886296984336077'
At step '6800', psnr is '22.849129718051717'
At step '7000', psnr is '22.626800604792535'
At step '7200', psnr is '22.796521066456854'
At step '7400', psnr is '22.715178084253328'
At step '7600', psnr is '22.761149956021942'
At step '7800', psnr is '22.570148193325473'
At step '8000', psnr is '22.649206649449614'
At step '8200', psnr is '22.714815507866565'
At step '8400', psnr is '22.73643902584365'
At step '8600', psnr is '22.633038521384933'
At step '8800', psnr is '22.618471554606753'
At step '9000', psnr is '22.526947582892106'
At step '9200', psnr is '22.418121338477846'
At step '9400', psnr is '22.51938220093863'
At step '9600', psnr is '22.49811845525302'
At step '9800', psnr is '22.468172231598388'
At step '10000', psnr is '22.511644483946792'
At step '10200', psnr is '22.51028502229621'
At step '10400', psnr is '22.576743006145254'
At step '10600', psnr is '22.217441905960676'
At step '10800', psnr is '22.4967531682691'
At step '11000', psnr is '22.465356281125057'
At step '11200', psnr is '22.47737394661401'
At step '11400', psnr is '22.465602159792347'
At step '11600', psnr is '22.29693049824471'
At step '11800', psnr is '22.35696458303909'
At step '12000', psnr is '22.35574552826881'
At step '12200', psnr is '22.406806294446845'
At step '12400', psnr is '22.34964057620592'
At step '12600', psnr is '22.226235302053766'
At step '12800', psnr is '22.34349096616606'
At step '13000', psnr is '22.164214246841954'
At step '13200', psnr is '22.337643996528538'
At step '13400', psnr is '22.209089654060538'
At step '13600', psnr is '22.358593028568094'
At step '13800', psnr is '22.393775499735007'
At step '14000', psnr is '22.320431655105423'
At step '14200', psnr is '22.230672541784298'
At step '14400', psnr is '22.298863634172854'
At step '14600', psnr is '22.2562466164458'
At step '14800', psnr is '22.20142739382667'
At step '15000', psnr is '22.229254369221398'
At step '15200', psnr is '22.215868541795917'
At step '15400', psnr is '22.302811907402607'
At step '15600', psnr is '22.315610199768237'
At step '15800', psnr is '22.205313834106363'
At step '16000', psnr is '22.24041877572025'
At step '16200', psnr is '22.262319959995214'
At step '16400', psnr is '22.213021166823353'
At step '16600', psnr is '22.233116614962963'
At step '16800', psnr is '22.05929281864879'
At step '17000', psnr is '22.136066113575012'
At step '17200', psnr is '22.20759669422167'
At step '17400', psnr is '22.112143563305455'
At step '17600', psnr is '22.159218497383844'
At step '17800', psnr is '22.145368430809853'
At step '18000', psnr is '22.104601520365485'
At step '18200', psnr is '22.25579993555074'
