noisy psnr: 26.048475673557526
Starting vanilla DIP on 4 using ADAM(sigma=0.05,lr=0.001,decay=0,beta=0)
Noisy PSNR is '26.048475673557526'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '24.479755349049977'
At step '400', psnr is '26.86294636856722'
At step '600', psnr is '27.94876693533044'
At step '800', psnr is '28.732780200480057'
At step '1000', psnr is '29.323290844966973'
At step '1200', psnr is '29.787056344116625'
At step '1400', psnr is '29.959054548421232'
At step '1600', psnr is '30.075703712768398'
At step '1800', psnr is '29.969860593079357'
At step '2000', psnr is '30.415165538681887'
At step '2200', psnr is '30.163758842402547'
At step '2400', psnr is '30.404144691248934'
At step '2600', psnr is '30.5855721181688'
At step '2800', psnr is '30.483003534636683'
At step '3000', psnr is '30.475160643848756'
At step '3200', psnr is '30.56855812169035'
At step '3400', psnr is '30.519808544507963'
At step '3600', psnr is '30.45802222921376'
At step '3800', psnr is '30.50724572058481'
At step '4000', psnr is '30.40039429208962'
At step '4200', psnr is '30.309780095826596'
At step '4400', psnr is '30.258970174174973'
At step '4600', psnr is '30.390594032361953'
At step '4800', psnr is '30.47406884468281'
At step '5000', psnr is '30.259276679154894'
At step '5200', psnr is '30.390614470766945'
At step '5400', psnr is '30.32386533129214'
At step '5600', psnr is '30.156819368160125'
At step '5800', psnr is '30.293343333973848'
At step '6000', psnr is '30.29167460553878'
At step '6200', psnr is '30.269317168778226'
At step '6400', psnr is '30.184597016852088'
At step '6600', psnr is '30.185411311356148'
At step '6800', psnr is '30.158764129548175'
At step '7000', psnr is '30.10572255136882'
At step '7200', psnr is '30.147879310853078'
At step '7400', psnr is '30.13877991789307'
At step '7600', psnr is '30.065466524428118'
At step '7800', psnr is '30.024509395113274'
At step '8000', psnr is '29.99919711176642'
At step '8200', psnr is '29.86041935158884'
At step '8400', psnr is '29.844572703003497'
At step '8600', psnr is '29.863759920492278'
At step '8800', psnr is '29.75327629921776'
At step '9000', psnr is '29.832250184654775'
At step '9200', psnr is '29.890934524627568'
At step '9400', psnr is '29.628546160788222'
At step '9600', psnr is '29.804031805626472'
At step '9800', psnr is '29.660026137455127'
At step '10000', psnr is '29.68824911557148'
At step '10200', psnr is '29.757591501349104'
At step '10400', psnr is '29.666989782103983'
At step '10600', psnr is '29.651500777766465'
At step '10800', psnr is '29.504776750877557'
At step '11000', psnr is '29.563038292530518'
At step '11200', psnr is '29.52629635166491'
At step '11400', psnr is '29.58365925079157'
At step '11600', psnr is '29.474092431635896'
At step '11800', psnr is '29.476353993758188'
At step '12000', psnr is '29.4269219918694'
At step '12200', psnr is '29.507789507696103'
At step '12400', psnr is '29.39792919171307'
At step '12600', psnr is '29.36634564107826'
At step '12800', psnr is '29.4030125711442'
At step '13000', psnr is '29.45926859606488'
At step '13200', psnr is '29.418582764517627'
At step '13400', psnr is '29.355313494517212'
At step '13600', psnr is '29.3258298272621'
At step '13800', psnr is '29.350122975969867'
At step '14000', psnr is '29.317626985737682'
At step '14200', psnr is '29.28490355705656'
At step '14400', psnr is '29.13005834824928'
At step '14600', psnr is '29.119846619561407'
At step '14800', psnr is '29.291744808953567'
At step '15000', psnr is '29.31997560819459'
At step '15200', psnr is '29.22095013676959'
At step '15400', psnr is '29.21585015183531'
At step '15600', psnr is '29.068706709287248'
At step '15800', psnr is '29.23551685252489'
At step '16000', psnr is '29.166185156509606'
At step '16200', psnr is '29.143069597067996'
At step '16400', psnr is '29.154537834165705'
At step '16600', psnr is '29.2054700789045'
At step '16800', psnr is '29.0841988562713'
At step '17000', psnr is '28.865491634142366'
At step '17200', psnr is '29.08637258865461'
At step '17400', psnr is '28.9438731321969'
At step '17600', psnr is '29.043948534097503'
At step '17800', psnr is '29.08956419878741'
At step '18000', psnr is '29.04302121091365'
At step '18200', psnr is '29.041671978897487'
At step '18400', psnr is '29.047842282017022'
At step '18600', psnr is '28.968473175184823'
At step '18800', psnr is '28.969133142257068'
At step '19000', psnr is '28.98787739190233'
At step '19200', psnr is '28.943181324824835'
At step '19400', psnr is '28.98629850398023'
At step '19600', psnr is '29.027744685653346'
At step '19800', psnr is '28.9376135957803'
At step '20000', psnr is '28.860734520173285'
At step '20200', psnr is '28.982180711960545'
At step '20400', psnr is '28.93892851436458'
At step '20600', psnr is '28.83231864648005'
At step '20800', psnr is '28.9120535602563'
At step '21000', psnr is '28.93191001417589'
At step '21200', psnr is '28.937877861962768'
At step '21400', psnr is '28.93429063611428'
At step '21600', psnr is '28.76924667580574'
At step '21800', psnr is '28.769717847158738'
At step '22000', psnr is '28.86508100444772'
At step '22200', psnr is '28.89700114052488'
At step '22400', psnr is '28.92002251428127'
At step '22600', psnr is '28.8490528813373'
At step '22800', psnr is '28.741316837243858'
At step '23000', psnr is '28.895094665239963'
At step '23200', psnr is '28.83863450081764'
At step '23400', psnr is '28.780248391522193'
At step '23600', psnr is '28.82811397094109'
At step '23800', psnr is '28.749919733154144'
At step '24000', psnr is '28.806366033229196'
At step '24200', psnr is '28.848387970360893'
At step '24400', psnr is '28.739993018759378'
At step '24600', psnr is '28.77549083881246'
At step '24800', psnr is '28.796716277509653'
At step '25000', psnr is '28.81458643145093'
At step '25200', psnr is '28.74155086518867'
At step '25400', psnr is '28.777451356162764'
At step '25600', psnr is '28.774730620416587'
At step '25800', psnr is '28.72790676180643'
At step '26000', psnr is '28.734519285841486'
At step '26200', psnr is '28.733901721662157'
At step '26400', psnr is '28.733627655896775'
At step '26600', psnr is '28.65669248063041'
At step '26800', psnr is '28.748702536569468'
At step '27000', psnr is '28.648223630906422'
At step '27200', psnr is '28.680195796887723'
At step '27400', psnr is '28.64361325153166'
At step '27600', psnr is '28.718168257417705'
At step '27800', psnr is '28.735876347047938'
At step '28000', psnr is '28.73289201179488'
At step '28200', psnr is '28.694191374344754'
At step '28400', psnr is '28.614368879038324'
At step '28600', psnr is '28.669463677662673'
At step '28800', psnr is '28.66659038650762'
At step '29000', psnr is '28.643739384579263'
At step '29200', psnr is '28.660492509799454'
At step '29400', psnr is '28.61349284020592'
At step '29600', psnr is '28.626302270709303'
At step '29800', psnr is '28.64732120740431'
At step '30000', psnr is '28.636503582494125'
At step '30200', psnr is '28.564691113759686'
At step '30400', psnr is '28.659423130535245'
At step '30600', psnr is '28.653207676693242'
At step '30800', psnr is '28.563430505344446'
At step '31000', psnr is '28.674790322636206'
At step '31200', psnr is '28.6496497672729'
At step '31400', psnr is '28.661847314705188'
At step '31600', psnr is '28.46809197233754'
At step '31800', psnr is '28.62795479737671'
At step '32000', psnr is '28.653366001499517'
At step '32200', psnr is '28.601944434858716'
At step '32400', psnr is '28.62371188285588'
At step '32600', psnr is '28.660764917029013'
At step '32800', psnr is '28.48933921136387'
At step '33000', psnr is '28.637267469138852'
At step '33200', psnr is '28.54078010360525'
At step '33400', psnr is '28.59448676056196'
At step '33600', psnr is '28.56415278218026'
At step '33800', psnr is '28.559671217824587'
At step '34000', psnr is '28.57205596920453'
At step '34200', psnr is '28.559356890651006'
At step '34400', psnr is '28.521390285232687'
At step '34600', psnr is '28.530956465870972'
At step '34800', psnr is '28.572501463983038'
At step '35000', psnr is '28.51786219872137'
At step '35200', psnr is '28.551320468089465'
At step '35400', psnr is '28.53318300751433'
At step '35600', psnr is '28.552801294042155'
At step '35800', psnr is '28.600834937623006'
At step '36000', psnr is '28.500393208418604'
At step '36200', psnr is '28.490972352725976'
At step '36400', psnr is '28.45702082170325'
At step '36600', psnr is '28.445573805117146'
At step '36800', psnr is '28.459027846716385'
At step '37000', psnr is '28.50626714435995'
At step '37200', psnr is '28.485970668964026'
At step '37400', psnr is '28.47000601086428'
At step '37600', psnr is '28.534372199275605'
At step '37800', psnr is '28.467060073692345'
At step '38000', psnr is '28.508774805457435'
At step '38200', psnr is '28.45968701309868'
At step '38400', psnr is '28.44428816233229'
At step '38600', psnr is '28.50447979824625'
At step '38800', psnr is '28.46916055320427'
At step '39000', psnr is '28.533027824615893'
At step '39200', psnr is '28.480430541368065'
At step '39400', psnr is '28.51660932326015'
At step '39600', psnr is '28.454039472637458'
At step '39800', psnr is '28.471987693482564'
Experiment done
