noisy psnr: 20.109710200921885
Starting vanilla DIP on 4 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '20.109710200921885'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '24.445373119589114'
At step '400', psnr is '26.068870226221645'
At step '600', psnr is '26.30613837538091'
At step '800', psnr is '26.332720020439023'
At step '1000', psnr is '26.09501151213135'
At step '1200', psnr is '25.813640287720247'
At step '1400', psnr is '25.591754864168294'
At step '1600', psnr is '25.110424298291466'
At step '1800', psnr is '24.96784161058635'
At step '2000', psnr is '24.611810843665758'
At step '2200', psnr is '24.357594968358352'
At step '2400', psnr is '24.23261565260949'
At step '2600', psnr is '23.984376454687244'
At step '2800', psnr is '23.898974326598186'
At step '3000', psnr is '23.82767840817533'
At step '3200', psnr is '23.638901791059354'
At step '3400', psnr is '23.551829950589397'
At step '3600', psnr is '23.345164910473567'
At step '3800', psnr is '23.33248025440271'
At step '4000', psnr is '23.19587426186515'
At step '4200', psnr is '23.157983735372124'
At step '4400', psnr is '23.12905429853798'
At step '4600', psnr is '23.07534205695859'
At step '4800', psnr is '22.96137845175442'
At step '5000', psnr is '22.95825333861128'
At step '5200', psnr is '22.865606400315702'
At step '5400', psnr is '22.807728380106514'
At step '5600', psnr is '22.803370701641207'
At step '5800', psnr is '22.784014101434124'
At step '6000', psnr is '22.696011228920607'
At step '6200', psnr is '22.716181179935056'
At step '6400', psnr is '22.69207687569075'
At step '6600', psnr is '22.690856631179095'
At step '6800', psnr is '22.660924886461608'
At step '7000', psnr is '22.588465907819423'
At step '7200', psnr is '22.634640971914738'
At step '7400', psnr is '22.50063789002067'
At step '7600', psnr is '22.604644356541236'
At step '7800', psnr is '22.501153717475326'
At step '8000', psnr is '22.53504971407'
At step '8200', psnr is '22.448516267512133'
At step '8400', psnr is '22.407274611170624'
At step '8600', psnr is '22.360974937617712'
At step '8800', psnr is '22.42612179562158'
At step '9000', psnr is '22.44359606598024'
At step '9200', psnr is '22.43837972383121'
At step '9400', psnr is '22.31964682653438'
At step '9600', psnr is '22.39568965005447'
At step '9800', psnr is '22.349445381387874'
At step '10000', psnr is '22.33410464390868'
At step '10200', psnr is '22.31255590857904'
At step '10400', psnr is '22.396147887022767'
At step '10600', psnr is '22.38287748506155'
At step '10800', psnr is '22.32893134993016'
At step '11000', psnr is '22.271020800868655'
At step '11200', psnr is '22.25987770598078'
At step '11400', psnr is '22.315307053953983'
At step '11600', psnr is '22.250798079055954'
At step '11800', psnr is '22.285736894414683'
At step '12000', psnr is '22.267415759770056'
At step '12200', psnr is '22.200739911963666'
At step '12400', psnr is '22.229985376360286'
At step '12600', psnr is '22.105975446876386'
At step '12800', psnr is '22.23805749149612'
At step '13000', psnr is '22.198894342620473'
At step '13200', psnr is '22.259923296352525'
At step '13400', psnr is '22.147105474688672'
At step '13600', psnr is '22.23255258845283'
At step '13800', psnr is '22.17511696009012'
At step '14000', psnr is '22.125488898528317'
At step '14200', psnr is '22.03112649905489'
At step '14400', psnr is '22.126719750288594'
At step '14600', psnr is '22.17521836697032'
At step '14800', psnr is '22.110106162507908'
At step '15000', psnr is '22.129514365253375'
At step '15200', psnr is '22.12347463698358'
At step '15400', psnr is '22.165002525991042'
At step '15600', psnr is '22.119927514020397'
At step '15800', psnr is '22.025505570616613'
At step '16000', psnr is '22.132466102761047'
At step '16200', psnr is '22.016336766093687'
At step '16400', psnr is '22.099006324124396'
At step '16600', psnr is '22.130486269911028'
At step '16800', psnr is '22.094576735556956'
At step '17000', psnr is '22.080542374978926'
At step '17200', psnr is '22.068223067609843'
At step '17400', psnr is '22.052275407151143'
At step '17600', psnr is '22.117333834444658'
At step '17800', psnr is '22.020159366518154'
At step '18000', psnr is '21.996092529454053'
At step '18200', psnr is '22.057644495645658'
At step '18400', psnr is '22.05748116832202'
At step '18600', psnr is '21.950739155588114'
At step '18800', psnr is '22.01861719895416'
At step '19000', psnr is '21.98151954751841'
At step '19200', psnr is '21.99201123476834'
At step '19400', psnr is '21.92588707639418'
At step '19600', psnr is '22.010485675630154'
At step '19800', psnr is '22.042647802974436'
At step '20000', psnr is '22.00841654486704'
At step '20200', psnr is '21.953751664159988'
At step '20400', psnr is '22.014704582666745'
At step '20600', psnr is '21.943337972708864'
At step '20800', psnr is '21.99036539749798'
At step '21000', psnr is '21.98241095091316'
At step '21200', psnr is '21.961765952135597'
At step '21400', psnr is '21.979882994135277'
At step '21600', psnr is '21.97028780080071'
At step '21800', psnr is '21.909902755743747'
At step '22000', psnr is '21.927194419620818'
At step '22200', psnr is '21.97948783774784'
At step '22400', psnr is '21.87716743627629'
At step '22600', psnr is '21.961751372296444'
At step '22800', psnr is '21.89117372030216'
At step '23000', psnr is '21.86515055528836'
At step '23200', psnr is '21.95911628682992'
At step '23400', psnr is '21.956687054739405'
At step '23600', psnr is '21.93892191964686'
At step '23800', psnr is '21.986439350519888'
At step '24000', psnr is '21.975220826997486'
At step '24200', psnr is '21.954247353000206'
At step '24400', psnr is '21.95733045892258'
At step '24600', psnr is '21.882871351267056'
At step '24800', psnr is '21.878628745597403'
At step '25000', psnr is '21.881874480703605'
At step '25200', psnr is '21.903587670819125'
At step '25400', psnr is '21.950611605513807'
At step '25600', psnr is '21.945575007995725'
At step '25800', psnr is '21.94684828024378'
At step '26000', psnr is '21.942570167932622'
At step '26200', psnr is '21.842314111098574'
At step '26400', psnr is '21.91757736831992'
At step '26600', psnr is '21.97520633028716'
At step '26800', psnr is '21.816441752837378'
At step '27000', psnr is '21.886591892349973'
At step '27200', psnr is '21.864800716664433'
At step '27400', psnr is '21.91849237595607'
At step '27600', psnr is '21.921839670338894'
At step '27800', psnr is '21.88466281084739'
At step '28000', psnr is '21.831599927135265'
At step '28200', psnr is '21.838701045203468'
At step '28400', psnr is '21.848166498881398'
At step '28600', psnr is '21.809828319882598'
At step '28800', psnr is '21.847292890636627'
At step '29000', psnr is '21.875145134248164'
At step '29200', psnr is '21.800777102029674'
At step '29400', psnr is '21.804264308859942'
At step '29600', psnr is '21.878627246649227'
At step '29800', psnr is '21.868634019382135'
At step '30000', psnr is '21.826301826388605'
At step '30200', psnr is '21.899027417635324'
At step '30400', psnr is '21.83569180917217'
At step '30600', psnr is '21.7722669843635'
At step '30800', psnr is '21.819010750343285'
At step '31000', psnr is '21.87614091594512'
At step '31200', psnr is '21.893388070775078'
At step '31400', psnr is '21.84263985919763'
At step '31600', psnr is '21.812221141319498'
At step '31800', psnr is '21.843154441459337'
At step '32000', psnr is '21.856136401572638'
At step '32200', psnr is '21.812620068912917'
At step '32400', psnr is '21.87197334196653'
At step '32600', psnr is '21.845613594042412'
At step '32800', psnr is '21.798307520904583'
At step '33000', psnr is '21.833822706469878'
At step '33200', psnr is '21.819585446858344'
At step '33400', psnr is '21.773121847917928'
At step '33600', psnr is '21.8276347381697'
At step '33800', psnr is '21.77924873646583'
At step '34000', psnr is '21.825162287502845'
At step '34200', psnr is '21.7990342838401'
At step '34400', psnr is '21.78909094892397'
At step '34600', psnr is '21.81587893586547'
At step '34800', psnr is '21.79969572439584'
At step '35000', psnr is '21.84749936945874'
At step '35200', psnr is '21.748948247796672'
At step '35400', psnr is '21.826814506302846'
At step '35600', psnr is '21.78758263291371'
At step '35800', psnr is '21.816907614899957'
At step '36000', psnr is '21.80194380819107'
