(3, 256, 256)
Starting vanilla DIP on 9 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '20.20639654739458'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.956430308659566'
At step '400', psnr is '26.31820335638286'
At step '600', psnr is '26.818047941692246'
At step '800', psnr is '27.01377161549868'
At step '1000', psnr is '26.825224682234897'
At step '1200', psnr is '25.91726433435317'
At step '1400', psnr is '25.131037339256103'
At step '1600', psnr is '24.178641954202952'
At step '1800', psnr is '23.669285132123655'
At step '2000', psnr is '23.1929123897049'
At step '2200', psnr is '22.688670395995423'
At step '2400', psnr is '22.57294345537998'
At step '2600', psnr is '22.2850739678133'
At step '2800', psnr is '22.154884005536417'
At step '3000', psnr is '21.813314271605435'
At step '3200', psnr is '21.873758321215245'
At step '3400', psnr is '21.376699865737983'
At step '3600', psnr is '21.620170170038033'
At step '3800', psnr is '21.505418685708264'
At step '4000', psnr is '21.30697968477137'
At step '4200', psnr is '21.142745799388244'
At step '4400', psnr is '21.203600913397118'
At step '4600', psnr is '21.32104395341406'
At step '4800', psnr is '21.192288716389072'
At step '5000', psnr is '21.13212278437598'
At step '5200', psnr is '21.088883413685615'
At step '5400', psnr is '21.091083182859194'
At step '5600', psnr is '21.08787188870267'
At step '5800', psnr is '20.991740296691944'
At step '6000', psnr is '21.15283548283427'
At step '6200', psnr is '21.045573203804086'
At step '6400', psnr is '21.03125739161716'
At step '6600', psnr is '20.928211174023737'
At step '6800', psnr is '20.922723350138742'
At step '7000', psnr is '21.016775452713272'
At step '7200', psnr is '21.007520946897138'
At step '7400', psnr is '20.911267041477362'
At step '7600', psnr is '20.870821277383712'
At step '7800', psnr is '20.892159463220263'
At step '8000', psnr is '20.57570947565764'
At step '8200', psnr is '20.71449192862189'
At step '8400', psnr is '20.81674584832009'
At step '8600', psnr is '20.614736129059345'
At step '8800', psnr is '20.84809930091535'
At step '9000', psnr is '20.942433966926206'
At step '9200', psnr is '20.861979837419828'
At step '9400', psnr is '20.92398707726382'
At step '9600', psnr is '20.82642700992882'
At step '9800', psnr is '20.735021673423113'
At step '10000', psnr is '20.70091206707562'
At step '10200', psnr is '20.6994540651377'
At step '10400', psnr is '20.85614643030418'
At step '10600', psnr is '20.730644825500953'
At step '10800', psnr is '20.804943145148258'
At step '11000', psnr is '20.610449921989172'
At step '11200', psnr is '20.766891133929917'
At step '11400', psnr is '20.681889636242868'
At step '11600', psnr is '20.622561687652144'
At step '11800', psnr is '20.429752944830742'
At step '12000', psnr is '20.760930961224457'
At step '12200', psnr is '20.72505294210904'
At step '12400', psnr is '20.678056735394946'
At step '12600', psnr is '20.496228154154803'
At step '12800', psnr is '20.6346797066792'
At step '13000', psnr is '20.67601135194799'
At step '13200', psnr is '20.687305831079392'
At step '13400', psnr is '20.699522487137145'
At step '13600', psnr is '20.77312287584608'
At step '13800', psnr is '20.693624100156672'
At step '14000', psnr is '20.52828556837428'
At step '14200', psnr is '20.70282227695781'
At step '14400', psnr is '20.637442931240905'
At step '14600', psnr is '20.61467881511468'
At step '14800', psnr is '20.476001705401757'
At step '15000', psnr is '20.662320721737665'
At step '15200', psnr is '20.718497917955617'
At step '15400', psnr is '20.678879036381538'
At step '15600', psnr is '20.643432437998264'
At step '15800', psnr is '20.483320155415488'
At step '16000', psnr is '20.641904511838327'
At step '16200', psnr is '20.552852825818743'
At step '16400', psnr is '20.682204819684344'
At step '16600', psnr is '20.69206466047489'
At step '16800', psnr is '20.57669969106568'
At step '17000', psnr is '20.57267742172847'
At step '17200', psnr is '20.515487023941237'
At step '17400', psnr is '20.659004946693337'
At step '17600', psnr is '20.630652510004328'
At step '17800', psnr is '20.660721148188337'
At step '18000', psnr is '20.669502980024284'
At step '18200', psnr is '20.68651841066074'
At step '18400', psnr is '20.682182102995732'
At step '18600', psnr is '20.56624178794374'
At step '18800', psnr is '20.48720436529639'
At step '19000', psnr is '20.589836771342803'
At step '19200', psnr is '20.57053991444123'
At step '19400', psnr is '20.599050579354397'
At step '19600', psnr is '20.649437731828534'
At step '19800', psnr is '20.558994909880223'
At step '20000', psnr is '20.532892416046813'
At step '20200', psnr is '20.637155335317487'
At step '20400', psnr is '20.549081137259627'
At step '20600', psnr is '20.63482716535812'
At step '20800', psnr is '20.495385315386144'
At step '21000', psnr is '20.665540495447694'
At step '21200', psnr is '20.60975497049459'
At step '21400', psnr is '20.626727634697776'
At step '21600', psnr is '20.499555314432012'
At step '21800', psnr is '20.523376977888205'
At step '22000', psnr is '20.247183302385523'
At step '22200', psnr is '20.477229017975876'
At step '22400', psnr is '20.434922033544364'
At step '22600', psnr is '20.52956293049064'
At step '22800', psnr is '20.61767319961286'
At step '23000', psnr is '20.53393740605005'
At step '23200', psnr is '20.63779612883788'
At step '23400', psnr is '20.636928176104426'
At step '23600', psnr is '20.552893710609066'
At step '23800', psnr is '20.62348326934035'
At step '24000', psnr is '20.605195626706923'
At step '24200', psnr is '20.43003784628074'
At step '24400', psnr is '20.548042592590583'
At step '24600', psnr is '20.48621624890152'
At step '24800', psnr is '20.473307258176913'
At step '25000', psnr is '20.601537100668544'
At step '25200', psnr is '20.645071171018962'
At step '25400', psnr is '20.545778205723558'
At step '25600', psnr is '20.519125252369157'
At step '25800', psnr is '20.587841769797684'
At step '26000', psnr is '20.54034409205495'
At step '26200', psnr is '20.559419076083234'
At step '26400', psnr is '20.49926808474745'
At step '26600', psnr is '20.517754806548968'
At step '26800', psnr is '20.460714451337388'
At step '27000', psnr is '20.4846612353232'
At step '27200', psnr is '20.556219070299374'
At step '27400', psnr is '20.581908041303457'
At step '27600', psnr is '20.507646838176203'
At step '27800', psnr is '20.44753925579193'
At step '28000', psnr is '20.558413933824504'
At step '28200', psnr is '20.401269820145448'
At step '28400', psnr is '20.528347234952392'
At step '28600', psnr is '20.35821147958466'
At step '28800', psnr is '20.528132547684898'
At step '29000', psnr is '20.529687671604734'
At step '29200', psnr is '20.580618428674214'
At step '29400', psnr is '20.527230063684243'
At step '29600', psnr is '20.482462642023126'
At step '29800', psnr is '20.541748261556712'
At step '30000', psnr is '20.438524685514373'
At step '30200', psnr is '20.472110813577817'
At step '30400', psnr is '20.60661115784372'
At step '30600', psnr is '20.388317695223655'
At step '30800', psnr is '20.47788502087276'
At step '31000', psnr is '20.3347359692523'
At step '31200', psnr is '20.518925150345048'
At step '31400', psnr is '20.40114516462665'
At step '31600', psnr is '20.49886064141598'
At step '31800', psnr is '20.531497506189545'
At step '32000', psnr is '20.43726397648962'
At step '32200', psnr is '20.50803692018193'
At step '32400', psnr is '20.392646423128657'
At step '32600', psnr is '20.39613263112605'
At step '32800', psnr is '20.54517193945806'
At step '33000', psnr is '20.476101448274584'
At step '33200', psnr is '20.530082937259195'
At step '33400', psnr is '20.45519791923695'
At step '33600', psnr is '20.482759610891122'
At step '33800', psnr is '20.31798181017453'
At step '34000', psnr is '20.469382277109787'
At step '34200', psnr is '20.451032580570086'
At step '34400', psnr is '20.51785232315354'
At step '34600', psnr is '20.598605812136206'
At step '34800', psnr is '20.53116061873739'
At step '35000', psnr is '20.49413745272545'
At step '35200', psnr is '20.428117132763234'
At step '35400', psnr is '20.46813150096234'
At step '35600', psnr is '20.57519090347523'
At step '35800', psnr is '20.55168340815061'
At step '36000', psnr is '20.525887189494128'
At step '36200', psnr is '20.521588766762644'
At step '36400', psnr is '20.451006554152617'
At step '36600', psnr is '20.49920546847573'
At step '36800', psnr is '20.499891574265583'
At step '37000', psnr is '20.496425399324192'
At step '37200', psnr is '20.549663620321596'
At step '37400', psnr is '20.42617228265929'
At step '37600', psnr is '20.442549054603724'
At step '37800', psnr is '20.533151239159146'
At step '38000', psnr is '20.55067775871641'
At step '38200', psnr is '20.535629588239345'
At step '38400', psnr is '20.49061382570056'
At step '38600', psnr is '20.543369233035346'
At step '38800', psnr is '20.559491768158992'
At step '39000', psnr is '20.546971724425877'
At step '39200', psnr is '20.419896956991792'
At step '39400', psnr is '20.48105310787519'
At step '39600', psnr is '20.479219003371483'
At step '39800', psnr is '20.532542160566116'
Experiment done
