(3, 512, 512)
Starting vanilla DIP on 2 using ADAM(sigma=0.05,lr=0.001,decay=0,beta=0)
Noisy PSNR is '26.18623621733294'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.15772638048709'
At step '400', psnr is '26.645635467385897'
At step '600', psnr is '28.660529135122847'
At step '800', psnr is '29.520481340651745'
At step '1000', psnr is '29.775885360211486'
At step '1200', psnr is '30.520492483039515'
At step '1400', psnr is '30.54610803039624'
At step '1600', psnr is '31.171809967370308'
At step '1800', psnr is '31.074242871516226'
At step '2000', psnr is '30.941330826381193'
At step '2200', psnr is '31.36669019573739'
At step '2400', psnr is '31.434871426122456'
At step '2600', psnr is '31.38008990726941'
At step '2800', psnr is '31.200397081955238'
At step '3000', psnr is '31.061828908881076'
At step '3200', psnr is '30.825349579623825'
At step '3400', psnr is '31.116390394986553'
At step '3600', psnr is '30.9300774199105'
At step '3800', psnr is '30.92843455777855'
At step '4000', psnr is '30.991804651521907'
At step '4200', psnr is '30.366825020393687'
At step '4400', psnr is '30.021773724540772'
At step '4600', psnr is '30.453371107329442'
At step '4800', psnr is '30.53903316105793'
At step '5000', psnr is '30.35520309814768'
At step '5200', psnr is '30.317359582126755'
At step '5400', psnr is '30.313723406465275'
At step '5600', psnr is '30.480935912086395'
At step '5800', psnr is '30.18661134667279'
At step '6000', psnr is '30.200916695504823'
At step '6200', psnr is '30.096099192571497'
At step '6400', psnr is '30.043734998246943'
At step '6600', psnr is '29.759113264096293'
At step '6800', psnr is '30.021478513090322'
At step '7000', psnr is '29.79513325809483'
At step '7200', psnr is '29.867594579181628'
At step '7400', psnr is '29.590130320341792'
At step '7600', psnr is '29.557102992457153'
At step '7800', psnr is '29.78259833478177'
At step '8000', psnr is '29.602593529303807'
At step '8200', psnr is '29.745075693547186'
At step '8400', psnr is '29.41759374587672'
At step '8600', psnr is '29.62526921377112'
At step '8800', psnr is '29.55586404568612'
At step '9000', psnr is '29.68224926540636'
At step '9200', psnr is '29.290099729958925'
At step '9400', psnr is '29.51599887707136'
At step '9600', psnr is '29.459176360120548'
At step '9800', psnr is '29.390878786701006'
At step '10000', psnr is '29.54505629599103'
At step '10200', psnr is '29.41072488259077'
At step '10400', psnr is '29.45029474688004'
At step '10600', psnr is '29.36928878338233'
At step '10800', psnr is '29.266580574379077'
At step '11000', psnr is '29.263547626564183'
At step '11200', psnr is '29.209402593250285'
At step '11400', psnr is '29.123855293271554'
At step '11600', psnr is '29.331161107779295'
At step '11800', psnr is '29.309656910794608'
At step '12000', psnr is '29.423826113950575'
At step '12200', psnr is '29.086962831738077'
At step '12400', psnr is '29.014726716107383'
At step '12600', psnr is '29.30318260724867'
At step '12800', psnr is '29.19273761665727'
At step '13000', psnr is '29.165462614033757'
At step '13200', psnr is '29.273128800736615'
At step '13400', psnr is '29.11809842839589'
At step '13600', psnr is '29.15299342141087'
At step '13800', psnr is '29.143466651879024'
At step '14000', psnr is '29.085473742598545'
At step '14200', psnr is '29.241438988800226'
At step '14400', psnr is '29.205782677048077'
At step '14600', psnr is '28.947253273753077'
At step '14800', psnr is '29.076424023107727'
At step '15000', psnr is '29.119005574713228'
At step '15200', psnr is '28.845529972113138'
At step '15400', psnr is '29.103023739421005'
At step '15600', psnr is '29.05207892394482'
At step '15800', psnr is '29.012100179922513'
At step '16000', psnr is '29.045999504407447'
At step '16200', psnr is '29.08219872404853'
At step '16400', psnr is '29.053081740825984'
At step '16600', psnr is '28.9935718969515'
At step '16800', psnr is '28.865932093971036'
At step '17000', psnr is '28.822918558661375'
At step '17200', psnr is '29.055145418448163'
At step '17400', psnr is '28.885001566993846'
At step '17600', psnr is '29.018782838631473'
At step '17800', psnr is '29.0934659107985'
At step '18000', psnr is '28.53434760307044'
At step '18200', psnr is '28.987698715639254'
At step '18400', psnr is '29.03442998236556'
At step '18600', psnr is '28.957556056952942'
At step '18800', psnr is '28.929177598964877'
At step '19000', psnr is '28.87501833326318'
At step '19200', psnr is '28.539967689721927'
At step '19400', psnr is '28.83856090036165'
At step '19600', psnr is '28.957888542645588'
At step '19800', psnr is '28.729594743320487'
At step '20000', psnr is '28.947645283013678'
At step '20200', psnr is '28.841848090906588'
At step '20400', psnr is '28.829438944487844'
At step '20600', psnr is '28.86916057932416'
