(3, 256, 256)
Starting vanilla DIP on 12 using ADAM(sigma=0.15,lr=0.001,decay=0,beta=0)
Noisy PSNR is '17.60572430480165'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.99496437372047'
At step '400', psnr is '25.780303925396968'
At step '600', psnr is '25.012879557866967'
At step '800', psnr is '23.304838167202536'
At step '1000', psnr is '21.71227892649459'
At step '1200', psnr is '20.905493650045322'
At step '1400', psnr is '20.156341100315736'
At step '1600', psnr is '19.502943407370203'
At step '1800', psnr is '19.324308659806448'
At step '2000', psnr is '19.076611470878294'
At step '2200', psnr is '19.19089019223442'
At step '2400', psnr is '19.093367102689534'
At step '2600', psnr is '18.66940883607135'
At step '2800', psnr is '18.766799748937874'
At step '3000', psnr is '18.66452074650866'
At step '3200', psnr is '18.597193325396553'
At step '3400', psnr is '18.413539465052395'
At step '3600', psnr is '18.496125063808012'
At step '3800', psnr is '18.46542946258497'
At step '4000', psnr is '18.491164016350098'
At step '4200', psnr is '18.5585100949003'
At step '4400', psnr is '18.217460865759104'
At step '4600', psnr is '18.230759944007474'
At step '4800', psnr is '18.383833753049764'
At step '5000', psnr is '18.043834294400384'
At step '5200', psnr is '18.28430734168447'
At step '5400', psnr is '18.125185482298598'
At step '5600', psnr is '18.065518297545427'
At step '5800', psnr is '18.095060822206605'
At step '6000', psnr is '18.113861777250403'
At step '6200', psnr is '18.073862512210614'
At step '6400', psnr is '17.76802271560203'
At step '6600', psnr is '18.0225281373496'
At step '6800', psnr is '18.21225536059992'
At step '7000', psnr is '18.042399666279415'
At step '7200', psnr is '18.050119662139878'
At step '7400', psnr is '18.056551684482475'
At step '7600', psnr is '18.234208585761863'
At step '7800', psnr is '17.845368180251842'
At step '8000', psnr is '17.969174825748606'
At step '8200', psnr is '17.938037761940553'
At step '8400', psnr is '17.93594405641294'
At step '8600', psnr is '18.067586259556865'
At step '8800', psnr is '17.99584144857644'
At step '9000', psnr is '18.17427483793008'
At step '9200', psnr is '17.919304297841233'
At step '9400', psnr is '17.92642394645514'
At step '9600', psnr is '18.12467751698109'
At step '9800', psnr is '17.827814213444274'
At step '10000', psnr is '17.921012570849815'
At step '10200', psnr is '17.957703996542207'
At step '10400', psnr is '18.026349541835494'
At step '10600', psnr is '17.726457684874966'
At step '10800', psnr is '17.86865180311426'
At step '11000', psnr is '18.045740304186108'
