(3, 512, 512)
Starting vanilla DIP on 5 using ADAM(sigma=0.05,lr=0.001,decay=0,beta=0)
Noisy PSNR is '25.96408790531347'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '23.28424720502653'
At step '400', psnr is '25.111002964144408'
At step '600', psnr is '26.740520880539332'
At step '800', psnr is '28.233882562571445'
At step '1000', psnr is '29.11032722449089'
At step '1200', psnr is '29.568797797336394'
At step '1400', psnr is '29.74998453349402'
At step '1600', psnr is '30.41559933483702'
At step '1800', psnr is '30.508177374189177'
At step '2000', psnr is '30.379553920749025'
At step '2200', psnr is '30.751092619558413'
At step '2400', psnr is '30.721101585535816'
At step '2600', psnr is '30.730771147931293'
At step '2800', psnr is '30.596129559644723'
At step '3000', psnr is '30.692851370389832'
At step '3200', psnr is '30.604324884370588'
At step '3400', psnr is '30.59584748360684'
At step '3600', psnr is '30.631685910100312'
At step '3800', psnr is '30.66933851638772'
At step '4000', psnr is '30.538786265938217'
At step '4200', psnr is '30.347477015118464'
At step '4400', psnr is '30.298072636721617'
At step '4600', psnr is '30.3308942205795'
At step '4800', psnr is '30.226531424799475'
At step '5000', psnr is '29.998027727736375'
At step '5200', psnr is '29.766245781398286'
At step '5400', psnr is '29.833725791742705'
At step '5600', psnr is '30.053155714844554'
At step '5800', psnr is '30.074941879124747'
At step '6000', psnr is '29.76950829580034'
At step '6200', psnr is '29.99585700954931'
At step '6400', psnr is '29.796158351580175'
At step '6600', psnr is '29.740975283714448'
At step '6800', psnr is '29.606072566330838'
At step '7000', psnr is '29.702621538215993'
At step '7200', psnr is '29.58980834758932'
At step '7400', psnr is '29.670091190858848'
At step '7600', psnr is '29.486085450795237'
At step '7800', psnr is '29.56905984387229'
At step '8000', psnr is '29.429959103016575'
At step '8200', psnr is '29.561908227024354'
At step '8400', psnr is '29.399708842427927'
At step '8600', psnr is '29.56526288673381'
At step '8800', psnr is '29.482099314516805'
At step '9000', psnr is '29.433259679659237'
At step '9200', psnr is '29.297323250445842'
At step '9400', psnr is '29.358935427754332'
At step '9600', psnr is '29.28989108327684'
At step '9800', psnr is '29.35161609340435'
At step '10000', psnr is '29.325044893996207'
At step '10200', psnr is '29.32072428539977'
At step '10400', psnr is '29.095823837118168'
At step '10600', psnr is '29.248577608662107'
At step '10800', psnr is '29.23769733159868'
At step '11000', psnr is '29.13843562561029'
At step '11200', psnr is '29.221957115292057'
At step '11400', psnr is '29.078035207976825'
At step '11600', psnr is '29.204989750720127'
At step '11800', psnr is '29.139585853280195'
At step '12000', psnr is '29.054914813227796'
At step '12200', psnr is '29.151974018036427'
At step '12400', psnr is '29.07086879883299'
At step '12600', psnr is '29.100738916816354'
At step '12800', psnr is '28.92233480666866'
At step '13000', psnr is '28.906437342285038'
At step '13200', psnr is '28.987100965453415'
At step '13400', psnr is '29.04871036064864'
At step '13600', psnr is '28.896719674556415'
At step '13800', psnr is '28.990739599072448'
At step '14000', psnr is '28.871951810736686'
At step '14200', psnr is '28.80761449789711'
At step '14400', psnr is '28.979234454675776'
At step '14600', psnr is '28.789078122343742'
At step '14800', psnr is '28.87908707078065'
At step '15000', psnr is '28.843538531692072'
At step '15200', psnr is '28.66313919335262'
At step '15400', psnr is '28.88365585764098'
At step '15600', psnr is '28.91709454077301'
At step '15800', psnr is '28.937652191925483'
At step '16000', psnr is '28.893135262524265'
At step '16200', psnr is '28.819003814886486'
At step '16400', psnr is '28.764852193364455'
At step '16600', psnr is '28.72197335860367'
At step '16800', psnr is '28.633659061953054'
At step '17000', psnr is '28.80127514640734'
At step '17200', psnr is '28.67818775549317'
At step '17400', psnr is '28.835087409783636'
At step '17600', psnr is '28.779706031118714'
At step '17800', psnr is '28.78268008855569'
At step '18000', psnr is '28.654411405967252'
At step '18200', psnr is '28.687768998706762'
At step '18400', psnr is '28.545824295682074'
At step '18600', psnr is '28.787210777952804'
At step '18800', psnr is '28.767973579726103'
At step '19000', psnr is '28.59076997307001'
At step '19200', psnr is '28.617196364901734'
At step '19400', psnr is '28.737722631343452'
At step '19600', psnr is '28.75269435049212'
At step '19800', psnr is '28.667179625543824'
At step '20000', psnr is '28.57424058019076'
At step '20200', psnr is '28.727868444556197'
At step '20400', psnr is '28.68374454982334'
At step '20600', psnr is '28.639357440749386'
At step '20800', psnr is '28.644356624969355'
At step '21000', psnr is '28.632871098091634'
At step '21200', psnr is '28.628094601032338'
At step '21400', psnr is '28.609213477393276'
At step '21600', psnr is '28.66532930881394'
At step '21800', psnr is '28.593354498043205'
At step '22000', psnr is '28.618529466610113'
At step '22200', psnr is '28.35874628655839'
At step '22400', psnr is '28.54796640362205'
At step '22600', psnr is '28.525057146182633'
At step '22800', psnr is '28.62078047511004'
At step '23000', psnr is '28.552087615623293'
At step '23200', psnr is '28.533821457063745'
At step '23400', psnr is '28.507723492819235'
At step '23600', psnr is '28.52004495809131'
At step '23800', psnr is '28.48042286792499'
At step '24000', psnr is '28.544926569500944'
At step '24200', psnr is '28.479610784633422'
At step '24400', psnr is '28.488915420544764'
At step '24600', psnr is '28.38498658310179'
At step '24800', psnr is '28.551397755652957'
At step '25000', psnr is '28.49407991020485'
At step '25200', psnr is '28.384692133061993'
At step '25400', psnr is '28.551506048999503'
At step '25600', psnr is '28.562049755049564'
At step '25800', psnr is '28.419120331195504'
At step '26000', psnr is '28.47906437379651'
At step '26200', psnr is '28.42163850444967'
At step '26400', psnr is '28.349556798387106'
At step '26600', psnr is '28.50941051744352'
At step '26800', psnr is '28.46810145349703'
At step '27000', psnr is '28.506018772826085'
At step '27200', psnr is '28.330641624217293'
At step '27400', psnr is '28.526633284659827'
At step '27600', psnr is '28.438403279502218'
At step '27800', psnr is '28.465824551376535'
At step '28000', psnr is '28.35747674599537'
At step '28200', psnr is '28.408465754212692'
At step '28400', psnr is '28.49930807954152'
At step '28600', psnr is '28.330134783567225'
At step '28800', psnr is '28.415366653615717'
At step '29000', psnr is '28.438464707456703'
At step '29200', psnr is '28.375837983769205'
At step '29400', psnr is '28.39121432494543'
At step '29600', psnr is '28.415540619647967'
At step '29800', psnr is '28.321751245079135'
At step '30000', psnr is '28.41006511136216'
At step '30200', psnr is '28.3580758207391'
At step '30400', psnr is '28.443008086474574'
At step '30600', psnr is '28.41301196856373'
At step '30800', psnr is '28.402149816935083'
At step '31000', psnr is '28.424300042085918'
At step '31200', psnr is '28.426525723097097'
At step '31400', psnr is '28.396380164480664'
At step '31600', psnr is '28.32844867767711'
At step '31800', psnr is '28.409513740399074'
At step '32000', psnr is '28.384611118189497'
At step '32200', psnr is '28.31630024662595'
At step '32400', psnr is '28.377166701705203'
At step '32600', psnr is '28.308347308152975'
At step '32800', psnr is '28.382459958919558'
At step '33000', psnr is '28.360881824626986'
At step '33200', psnr is '28.362743558849036'
At step '33400', psnr is '28.291052687748074'
At step '33600', psnr is '28.240505130788943'
At step '33800', psnr is '28.33889085347777'
At step '34000', psnr is '28.28408307674181'
At step '34200', psnr is '28.361947502347267'
At step '34400', psnr is '28.340649557986435'
At step '34600', psnr is '28.22505576698446'
At step '34800', psnr is '28.22949447165898'
At step '35000', psnr is '28.34229799651365'
At step '35200', psnr is '28.31654617808948'
At step '35400', psnr is '28.312288261153398'
At step '35600', psnr is '28.257900440914856'
At step '35800', psnr is '28.330511207549762'
At step '36000', psnr is '28.208309034686753'
At step '36200', psnr is '28.313637349516938'
At step '36400', psnr is '28.340666869523684'
At step '36600', psnr is '28.205807756964276'
At step '36800', psnr is '28.178523139613205'
At step '37000', psnr is '28.339365163767518'
At step '37200', psnr is '28.272657177845257'
At step '37400', psnr is '28.33883293678282'
At step '37600', psnr is '28.316232442257295'
At step '37800', psnr is '28.238876927192557'
At step '38000', psnr is '28.29583352675533'
At step '38200', psnr is '28.203242198256262'
At step '38400', psnr is '28.288857292661852'
At step '38600', psnr is '28.304701787907604'
At step '38800', psnr is '28.305975269017715'
At step '39000', psnr is '28.259459854080788'
At step '39200', psnr is '28.189744676881986'
At step '39400', psnr is '28.13144939951578'
At step '39600', psnr is '28.221950408212024'
At step '39800', psnr is '28.270634102720717'
Experiment done
