(3, 512, 512)
Starting vanilla DIP on 4 using ADAM(sigma=0.05,lr=0.001,decay=0,beta=0)
Noisy PSNR is '25.61495328177809'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '26.441092163598917'
At step '400', psnr is '28.469054741895704'
At step '600', psnr is '29.771089429091326'
At step '800', psnr is '30.70855727521078'
At step '1000', psnr is '30.888073735543173'
At step '1200', psnr is '31.077977271253502'
At step '1400', psnr is '31.21050012451523'
At step '1600', psnr is '31.05206930132098'
At step '1800', psnr is '31.09575115592449'
At step '2000', psnr is '30.88100309806816'
At step '2200', psnr is '30.68233364198953'
At step '2400', psnr is '30.639538137212217'
At step '2600', psnr is '29.985268687302913'
At step '2800', psnr is '30.1964178384625'
At step '3000', psnr is '30.176068325614164'
At step '3200', psnr is '29.996718901258177'
At step '3400', psnr is '29.833896354891827'
At step '3600', psnr is '29.85816481277714'
At step '3800', psnr is '29.63389301722014'
At step '4000', psnr is '29.599771970927605'
At step '4200', psnr is '29.24815852833686'
At step '4400', psnr is '29.30998739295476'
At step '4600', psnr is '29.306779005466463'
At step '4800', psnr is '29.288057614589896'
At step '5000', psnr is '29.224725456989976'
At step '5200', psnr is '28.981718467532758'
At step '5400', psnr is '29.01775570651904'
At step '5600', psnr is '28.948294894963098'
At step '5800', psnr is '28.844065901880445'
At step '6000', psnr is '28.739127276337495'
At step '6200', psnr is '28.852575028294673'
At step '6400', psnr is '28.76874438935467'
At step '6600', psnr is '28.763399884703155'
At step '6800', psnr is '28.684485596050806'
At step '7000', psnr is '28.75783842974119'
At step '7200', psnr is '28.491535583013984'
At step '7400', psnr is '28.735865796164447'
At step '7600', psnr is '28.522758086992972'
At step '7800', psnr is '28.53495724504635'
At step '8000', psnr is '28.345248762880093'
At step '8200', psnr is '28.35042760823669'
At step '8400', psnr is '28.41273737770245'
At step '8600', psnr is '28.43743458234343'
At step '8800', psnr is '28.351225167962248'
At step '9000', psnr is '28.40318582538028'
At step '9200', psnr is '28.341651076210418'
At step '9400', psnr is '28.3061853119252'
At step '9600', psnr is '28.37937274360882'
At step '9800', psnr is '28.34050780085493'
At step '10000', psnr is '28.155544215316265'
At step '10200', psnr is '28.248575873216023'
At step '10400', psnr is '28.034813499689495'
At step '10600', psnr is '28.161469771408164'
At step '10800', psnr is '28.26014990556221'
At step '11000', psnr is '27.87987733719902'
At step '11200', psnr is '28.140609378770137'
At step '11400', psnr is '28.070534741836358'
At step '11600', psnr is '27.970267627487292'
At step '11800', psnr is '28.18820975961312'
At step '12000', psnr is '28.190814521011553'
At step '12200', psnr is '28.142455492666457'
At step '12400', psnr is '27.96257012467116'
At step '12600', psnr is '28.09575063796503'
At step '12800', psnr is '28.10114408978677'
At step '13000', psnr is '27.990607245641655'
At step '13200', psnr is '27.991145554620246'
At step '13400', psnr is '27.9135642062999'
At step '13600', psnr is '28.06789965144088'
At step '13800', psnr is '28.042961095870233'
At step '14000', psnr is '28.03597084332423'
At step '14200', psnr is '27.97053815454516'
At step '14400', psnr is '27.839507377406957'
At step '14600', psnr is '27.965495543634127'
At step '14800', psnr is '27.816472760673513'
At step '15000', psnr is '28.014075811766105'
At step '15200', psnr is '27.892020163528002'
At step '15400', psnr is '27.89589077942925'
At step '15600', psnr is '27.985242295230954'
At step '15800', psnr is '27.944305589748097'
At step '16000', psnr is '27.940233691152585'
At step '16200', psnr is '27.850994512192177'
At step '16400', psnr is '27.796662711122423'
At step '16600', psnr is '27.953132862963834'
At step '16800', psnr is '27.49915326703883'
At step '17000', psnr is '27.819546008632265'
At step '17200', psnr is '27.718653888348975'
At step '17400', psnr is '27.87887107060115'
At step '17600', psnr is '27.855785231877903'
At step '17800', psnr is '27.76486590218431'
At step '18000', psnr is '27.796634657623123'
At step '18200', psnr is '27.89593054735939'
At step '18400', psnr is '27.815277743166313'
At step '18600', psnr is '27.797841121758232'
At step '18800', psnr is '27.79260055888201'
At step '19000', psnr is '27.811408753984914'
At step '19200', psnr is '27.816990590535468'
At step '19400', psnr is '27.85982600767288'
At step '19600', psnr is '27.73620846888344'
At step '19800', psnr is '27.695876284920423'
At step '20000', psnr is '27.829202430025806'
At step '20200', psnr is '27.816396704307287'
At step '20400', psnr is '27.666770444735057'
At step '20600', psnr is '27.851988520108634'
At step '20800', psnr is '27.67036096726981'
At step '21000', psnr is '27.831061138202223'
At step '21200', psnr is '27.74385762460017'
At step '21400', psnr is '27.77402746049053'
At step '21600', psnr is '27.62553070924128'
At step '21800', psnr is '27.659525917124782'
At step '22000', psnr is '27.626254725865632'
At step '22200', psnr is '27.821858151972037'
At step '22400', psnr is '27.625016366815338'
At step '22600', psnr is '27.60586503941644'
At step '22800', psnr is '27.798293505434057'
At step '23000', psnr is '27.58620010961801'
At step '23200', psnr is '27.702360792942187'
At step '23400', psnr is '27.80872762595353'
At step '23600', psnr is '27.784713126736943'
At step '23800', psnr is '27.760471683339077'
At step '24000', psnr is '27.68480255502552'
