(3, 512, 512)
Starting vanilla DIP on 10 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '20.163769370882783'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.371213900877905'
At step '400', psnr is '24.30596673896998'
At step '600', psnr is '24.977872502534062'
At step '800', psnr is '25.72676573385284'
At step '1000', psnr is '25.96965427195658'
At step '1200', psnr is '26.03980165357531'
At step '1400', psnr is '26.105057548551308'
At step '1600', psnr is '25.93514251905308'
At step '1800', psnr is '25.843659258944108'
At step '2000', psnr is '25.56966900486819'
At step '2200', psnr is '25.530545625687367'
At step '2400', psnr is '25.001875201001525'
At step '2600', psnr is '24.87885180343301'
At step '2800', psnr is '24.8358630890463'
At step '3000', psnr is '24.180345906174722'
At step '3200', psnr is '24.521327108952633'
At step '3400', psnr is '24.275723686969396'
At step '3600', psnr is '23.996690385728286'
At step '3800', psnr is '23.763381708618716'
At step '4000', psnr is '23.86160874256673'
At step '4200', psnr is '23.48291988407737'
At step '4400', psnr is '23.359100739657173'
At step '4600', psnr is '23.54526659203579'
At step '4800', psnr is '23.381593349868446'
At step '5000', psnr is '23.429765664799667'
At step '5200', psnr is '23.425042106691762'
At step '5400', psnr is '23.278728468830874'
At step '5600', psnr is '23.023533363993202'
At step '5800', psnr is '23.103873599190567'
At step '6000', psnr is '23.01849583772046'
At step '6200', psnr is '23.01796542106235'
At step '6400', psnr is '23.02732143784943'
At step '6600', psnr is '22.876876674700828'
At step '6800', psnr is '22.927079493671734'
At step '7000', psnr is '22.870518948623534'
At step '7200', psnr is '22.944940443567432'
At step '7400', psnr is '22.79490343171946'
At step '7600', psnr is '22.81439403477524'
At step '7800', psnr is '22.571464369603195'
At step '8000', psnr is '22.842505332032566'
At step '8200', psnr is '22.673903040456523'
At step '8400', psnr is '22.72204270681368'
At step '8600', psnr is '22.517871071706924'
At step '8800', psnr is '22.511644555060833'
At step '9000', psnr is '22.496166253217453'
At step '9200', psnr is '22.328124462236943'
At step '9400', psnr is '22.458354271921685'
At step '9600', psnr is '22.496859779710377'
At step '9800', psnr is '22.57394308335925'
At step '10000', psnr is '22.40373236315428'
At step '10200', psnr is '22.51566379582059'
At step '10400', psnr is '22.47606338359095'
At step '10600', psnr is '22.540140773936905'
At step '10800', psnr is '22.471803690822966'
At step '11000', psnr is '22.49175758416471'
At step '11200', psnr is '22.231168168910962'
At step '11400', psnr is '22.405697654194682'
At step '11600', psnr is '22.468584168931294'
At step '11800', psnr is '22.26285359827616'
At step '12000', psnr is '22.352840186891243'
At step '12200', psnr is '22.26652184257917'
At step '12400', psnr is '22.223938053533516'
At step '12600', psnr is '22.254763964746825'
At step '12800', psnr is '22.189920659998812'
At step '13000', psnr is '22.345009202487628'
At step '13200', psnr is '22.244813709183965'
At step '13400', psnr is '22.382601080267072'
At step '13600', psnr is '22.21752998538077'
At step '13800', psnr is '22.28333321726879'
At step '14000', psnr is '22.316163684480593'
At step '14200', psnr is '22.1470276412615'
At step '14400', psnr is '22.299085237146954'
At step '14600', psnr is '22.137876721445174'
At step '14800', psnr is '22.22942354416343'
At step '15000', psnr is '22.241652016173372'
At step '15200', psnr is '22.13219992596808'
At step '15400', psnr is '22.17252974993148'
At step '15600', psnr is '22.19377411498353'
At step '15800', psnr is '22.195419650132976'
At step '16000', psnr is '22.135659213199762'
At step '16200', psnr is '22.124431619530256'
At step '16400', psnr is '22.047355923269162'
At step '16600', psnr is '22.1410246559413'
At step '16800', psnr is '22.233959606386016'
At step '17000', psnr is '22.11567572892115'
At step '17200', psnr is '22.049168297240325'
At step '17400', psnr is '22.164947045018536'
At step '17600', psnr is '22.0612565043765'
At step '17800', psnr is '22.02469649593006'
At step '18000', psnr is '22.142482063938324'
At step '18200', psnr is '22.164707011211547'
At step '18400', psnr is '22.13453203908091'
At step '18600', psnr is '22.06290493424239'
At step '18800', psnr is '22.072855935802828'
At step '19000', psnr is '22.042788156412595'
