(3, 512, 512)
Starting vanilla DIP on 8 using ADAM(sigma=0.05,lr=0.001,decay=0,beta=0)
Noisy PSNR is '27.44591549273709'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '19.198686493984802'
At step '400', psnr is '24.142813302293888'
At step '600', psnr is '27.196968262738178'
At step '800', psnr is '28.803178350752205'
At step '1000', psnr is '30.18287572067864'
At step '1200', psnr is '30.79756800937917'
At step '1400', psnr is '30.90721844442189'
At step '1600', psnr is '31.49198275304684'
At step '1800', psnr is '31.828049757900104'
At step '2000', psnr is '31.747533485940075'
At step '2200', psnr is '31.092091035235274'
At step '2400', psnr is '32.231654554745745'
At step '2600', psnr is '32.254851230864986'
At step '2800', psnr is '31.530840533160966'
At step '3000', psnr is '31.748880589497766'
At step '3200', psnr is '32.228239596013026'
At step '3400', psnr is '32.16849524972085'
At step '3600', psnr is '31.555449779773408'
At step '3800', psnr is '32.07188791510812'
At step '4000', psnr is '32.170151148969246'
At step '4200', psnr is '32.02904649470227'
At step '4400', psnr is '31.82822536539902'
At step '4600', psnr is '31.63564730928286'
At step '4800', psnr is '31.537956843525457'
At step '5000', psnr is '31.809705593735945'
At step '5200', psnr is '31.20739217867634'
At step '5400', psnr is '31.463167505984465'
At step '5600', psnr is '31.669782228162365'
At step '5800', psnr is '31.574934859747444'
At step '6000', psnr is '31.345653519733983'
At step '6200', psnr is '31.384793902666424'
At step '6400', psnr is '31.181865531783686'
At step '6600', psnr is '31.17228245783982'
At step '6800', psnr is '31.061902833063172'
At step '7000', psnr is '30.82300822171929'
At step '7200', psnr is '30.969686442346834'
At step '7400', psnr is '31.01688401295621'
At step '7600', psnr is '30.889900095707645'
At step '7800', psnr is '30.887526478163267'
At step '8000', psnr is '30.805145367530056'
At step '8200', psnr is '30.86788326450662'
At step '8400', psnr is '30.839522133602173'
At step '8600', psnr is '30.4512252594388'
At step '8800', psnr is '30.504851366662106'
At step '9000', psnr is '30.54232082571181'
At step '9200', psnr is '30.569582172242985'
At step '9400', psnr is '30.6310790559888'
At step '9600', psnr is '30.452485595662285'
At step '9800', psnr is '30.399955350293396'
At step '10000', psnr is '30.510835580975822'
At step '10200', psnr is '30.29021191186509'
At step '10400', psnr is '30.35611262133758'
At step '10600', psnr is '30.212015934104762'
At step '10800', psnr is '30.19407480536834'
At step '11000', psnr is '30.217457938477285'
At step '11200', psnr is '30.24708905540868'
At step '11400', psnr is '30.028788992234805'
At step '11600', psnr is '30.159545897581935'
At step '11800', psnr is '30.11234331422264'
At step '12000', psnr is '30.231413200133193'
At step '12200', psnr is '30.165863686554665'
At step '12400', psnr is '30.049141594308004'
At step '12600', psnr is '29.779364047847835'
At step '12800', psnr is '29.93249757937988'
At step '13000', psnr is '29.980941670025913'
At step '13200', psnr is '30.018242157411347'
At step '13400', psnr is '30.04987849580569'
At step '13600', psnr is '29.785821556952886'
At step '13800', psnr is '29.874738280005964'
At step '14000', psnr is '29.968110073746686'
At step '14200', psnr is '29.68307404468241'
At step '14400', psnr is '29.967995645145944'
At step '14600', psnr is '29.74564784614888'
At step '14800', psnr is '29.5672533773247'
At step '15000', psnr is '29.679789486776727'
At step '15200', psnr is '29.80023405206802'
At step '15400', psnr is '29.737612672564154'
At step '15600', psnr is '29.884054753565557'
At step '15800', psnr is '29.825388728595247'
At step '16000', psnr is '29.6394378958839'
At step '16200', psnr is '29.638197103215774'
At step '16400', psnr is '29.65554076233459'
At step '16600', psnr is '29.78171356990883'
At step '16800', psnr is '29.60418002537906'
At step '17000', psnr is '29.642725127523974'
At step '17200', psnr is '29.59947160609814'
